model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
GBM,ele,0.2,a,0.5,-0.14543765207349957,-0.25689995041784686,0.11146229834434729
GBM,ele,0.2,a,0.6071428571428571,-0.17184558451194198,-0.25689995041784686,0.08505436590590487
GBM,ele,0.2,a,0.7142857142857143,-0.19680112760439084,-0.25689995041784686,0.06009882281345602
GBM,ele,0.2,a,0.8214285714285714,-0.2203924996618769,-0.25689995041784686,0.03650745075596995
GBM,ele,0.2,a,0.9285714285714286,-0.24270166936122317,-0.25689995041784686,0.014198281056623685
GBM,ele,0.2,a,1.0357142857142856,-0.26380479511403543,-0.25689995041784686,-0.006904844696188572
GBM,ele,0.2,a,1.1428571428571428,-0.283772625429096,-0.25689995041784686,-0.026872675011249125
GBM,ele,0.2,a,1.25,-0.30267086966087076,-0.25689995041784686,-0.0457709192430239
GBM,ele,0.2,a,1.3571428571428572,-0.32056054528657996,-0.25689995041784686,-0.0636605948687331
GBM,ele,0.2,a,1.4642857142857142,-0.3374983053918158,-0.25689995041784686,-0.08059835497396894
GBM,ele,0.2,a,1.5714285714285714,-0.35353674833429594,-0.25689995041784686,-0.09663679791644908
GBM,ele,0.2,a,1.6785714285714286,-0.3687247104941541,-0.25689995041784686,-0.11182476007630726
GBM,ele,0.2,a,1.7857142857142856,-0.3831075424624466,-0.25689995041784686,-0.12620759204459975
GBM,ele,0.2,a,1.8928571428571428,-0.3967273688124705,-0.25689995041784686,-0.13982741839462365
GBM,ele,0.2,a,2.0,-0.4096233316018818,-0.25689995041784686,-0.15272338118403495
