model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
GBM,ente,0.2,a,0.5,-0.13881457970976052,-0.23624137421809133,0.0974267945083308
GBM,ente,0.2,a,0.6071428571428571,-0.16262993827410588,-0.23624137421809133,0.07361143594398545
GBM,ente,0.2,a,0.7142857142857143,-0.1847330984818638,-0.23624137421809133,0.051508275736227516
GBM,ente,0.2,a,0.8214285714285714,-0.2052541293660024,-0.23624137421809133,0.030987244852088924
GBM,ente,0.2,a,0.9285714285714286,-0.22430643821899976,-0.23624137421809133,0.011934935999091567
GBM,ente,0.2,a,1.0357142857142856,-0.2419888663958022,-0.23624137421809133,-0.005747492177710867
GBM,ente,0.2,a,1.1428571428571428,-0.25838750417393497,-0.23624137421809133,-0.02214612995584364
GBM,ente,0.2,a,1.25,-0.27357725283717804,-0.23624137421809133,-0.037335878619086715
GBM,ente,0.2,a,1.3571428571428572,-0.2876231586942686,-0.23624137421809133,-0.05138178447617725
GBM,ente,0.2,a,1.4642857142857142,-0.30058154410875904,-0.23624137421809133,-0.06434016989066771
GBM,ente,0.2,a,1.5714285714285714,-0.3125009594132828,-0.23624137421809133,-0.07625958519519149
GBM,ente,0.2,a,1.6785714285714286,-0.32342297688808863,-0.23624137421809133,-0.0871816026699973
GBM,ente,0.2,a,1.7857142857142856,-0.3333828449929741,-0.23624137421809133,-0.09714147077488278
GBM,ente,0.2,a,1.8928571428571428,-0.34241001853027775,-0.23624137421809133,-0.10616864431218642
GBM,ente,0.2,a,2.0,-0.3505285786027508,-0.23624137421809133,-0.11428720438465945
