model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
GBM,ente,0.2,gamma,0.1,-0.2548739084107795,-0.23624137421809133,-0.018632534192688177
GBM,ente,0.2,gamma,0.2357142857142857,-0.2521092721343723,-0.23624137421809133,-0.01586789791628096
GBM,ente,0.2,gamma,0.37142857142857144,-0.24932799969526076,-0.23624137421809133,-0.013086625477169433
GBM,ente,0.2,gamma,0.5071428571428571,-0.24653064499650823,-0.23624137421809133,-0.010289270778416904
GBM,ente,0.2,gamma,0.6428571428571428,-0.24371760475451132,-0.23624137421809133,-0.007476230536419992
GBM,ente,0.2,gamma,0.7785714285714285,-0.2408891297917476,-0.23624137421809133,-0.004647755573656265
GBM,ente,0.2,gamma,0.9142857142857143,-0.23804533881582135,-0.23624137421809133,-0.0018039645977300234
GBM,ente,0.2,gamma,1.05,-0.23518623381722492,-0.23624137421809133,0.0010551404008664056
GBM,ente,0.2,gamma,1.1857142857142857,-0.23231171651806481,-0.23624137421809133,0.003929657700026512
GBM,ente,0.2,gamma,1.3214285714285714,-0.2294216055182552,-0.23624137421809133,0.006819768699836137
GBM,ente,0.2,gamma,1.457142857142857,-0.22651565390393624,-0.23624137421809133,0.009725720314155084
GBM,ente,0.2,gamma,1.5928571428571427,-0.22359356712151746,-0.23624137421809133,0.012647807096573871
GBM,ente,0.2,gamma,1.7285714285714286,-0.22065502090861122,-0.23624137421809133,0.015586353309480105
GBM,ente,0.2,gamma,1.8642857142857143,-0.2176996790400132,-0.23624137421809133,0.018541695178078132
GBM,ente,0.2,gamma,2.0,-0.21472721061596656,-0.23624137421809133,0.02151416360212477
