model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Heston,ente,0.8,gamma,0.1,-0.0486788405235582,-0.017739429313775035,-0.030939411209783163
Heston,ente,0.8,gamma,0.2357142857142857,-0.04409616404264105,-0.017739429313775035,-0.026356734728866016
Heston,ente,0.8,gamma,0.37142857142857144,-0.03951228183801225,-0.017739429313775035,-0.02177285252423722
Heston,ente,0.8,gamma,0.5071428571428571,-0.03492363831388512,-0.017739429313775035,-0.017184209000110084
Heston,ente,0.8,gamma,0.6428571428571428,-0.030326902490456553,-0.017739429313775035,-0.012587473176681518
Heston,ente,0.8,gamma,0.7785714285714285,-0.02571873699221805,-0.017739429313775035,-0.007979307678443015
Heston,ente,0.8,gamma,0.9142857142857143,-0.02109549487773643,-0.017739429313775035,-0.0033560655639613968
Heston,ente,0.8,gamma,1.05,-0.01589958190635643,-0.017739429313775035,0.0018398474074186044
Heston,ente,0.8,gamma,1.1857142857142857,-0.01088319130063653,-0.017739429313775035,0.006856238013138505
Heston,ente,0.8,gamma,1.3214285714285714,-0.006023209190797463,-0.017739429313775035,0.011716220122977572
Heston,ente,0.8,gamma,1.457142857142857,-0.0011634016001176306,-0.017739429313775035,0.016576027713657404
Heston,ente,0.8,gamma,1.5928571428571427,0.0036074916032839965,-0.017739429313775035,0.02134692091705903
Heston,ente,0.8,gamma,1.7285714285714286,0.008417939530688812,-0.017739429313775035,0.026157368844463846
Heston,ente,0.8,gamma,1.8642857142857143,0.013194695228367248,-0.017739429313775035,0.030934124542142283
Heston,ente,0.8,gamma,2.0,0.01797921284401216,-0.017739429313775035,0.035718642157787195
