model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Jump,ente,0.8,a,0.5,0.0055459473321093355,0.026733556838384187,-0.02118760950627485
Jump,ente,0.8,a,0.6071428571428571,0.008366394445742609,0.026733556838384187,-0.01836716239264158
Jump,ente,0.8,a,0.7142857142857143,0.011952490261446291,0.026733556838384187,-0.014781066576937896
Jump,ente,0.8,a,0.8214285714285714,0.016447675977169007,0.026733556838384187,-0.01028588086121518
Jump,ente,0.8,a,0.9285714285714286,0.022050213883282765,0.026733556838384187,-0.004683342955101422
Jump,ente,0.8,a,1.0357142857142856,0.029213364726695,0.026733556838384187,0.0024798078883108143
Jump,ente,0.8,a,1.1428571428571428,0.03806700988611045,0.026733556838384187,0.01133345304772626
Jump,ente,0.8,a,1.25,0.048863688573505426,0.026733556838384187,0.02213013173512124
Jump,ente,0.8,a,1.3571428571428572,0.062312386741294024,0.026733556838384187,0.035578829902909836
Jump,ente,0.8,a,1.4642857142857142,0.07950773435025726,0.026733556838384187,0.05277417751187308
Jump,ente,0.8,a,1.5714285714285714,0.10231661737612696,0.026733556838384187,0.07558306053774277
Jump,ente,0.8,a,1.6785714285714286,0.1336817136305657,0.026733556838384187,0.1069481567921815
Jump,ente,0.8,a,1.7857142857142856,0.17804545395853033,0.026733556838384187,0.15131189712014614
Jump,ente,0.8,a,1.8928571428571428,0.24173851056959927,0.026733556838384187,0.2150049537312151
Jump,ente,0.8,a,2.0,0.3358941814709471,0.026733556838384187,0.3091606246325629
