model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Jump,entl,0.2,gamma,0.1,-0.14867154012180783,-0.10944564481440039,-0.03922589530740744
Jump,entl,0.2,gamma,0.2357142857142857,-0.1438532525430813,-0.10944564481440039,-0.0344076077286809
Jump,entl,0.2,gamma,0.37142857142857144,-0.1387290698554971,-0.10944564481440039,-0.02928342504109671
Jump,entl,0.2,gamma,0.5071428571428571,-0.1332541149921341,-0.10944564481440039,-0.023808470177733715
Jump,entl,0.2,gamma,0.6428571428571428,-0.1273742960961833,-0.10944564481440039,-0.01792865128178292
Jump,entl,0.2,gamma,0.7785714285714285,-0.12102445652110423,-0.10944564481440039,-0.011578811706703843
Jump,entl,0.2,gamma,0.9142857142857143,-0.11412635328813187,-0.10944564481440039,-0.004680708473731476
Jump,entl,0.2,gamma,1.05,-0.10658657145109628,-0.10944564481440039,0.0028590733633041127
Jump,entl,0.2,gamma,1.1857142857142857,-0.09829454633307237,-0.10944564481440039,0.011151098481328017
Jump,entl,0.2,gamma,1.3214285714285714,-0.08912091016549885,-0.10944564481440039,0.02032473464890154
Jump,entl,0.2,gamma,1.457142857142857,-0.07891636608179597,-0.10944564481440039,0.030529278732604415
Jump,entl,0.2,gamma,1.5928571428571427,-0.06751121185884637,-0.10944564481440039,0.04193443295555402
Jump,entl,0.2,gamma,1.7285714285714286,-0.054715575306895595,-0.10944564481440039,0.054730069507504794
Jump,entl,0.2,gamma,1.8642857142857143,-0.04032058217201098,-0.10944564481440039,0.0691250626423894
Jump,entl,0.2,gamma,2.0,-0.024101218223062163,-0.10944564481440039,0.08534442659133823
