model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,ele,0.8,0.025,0.1,-0.02750531106113141,-0.00023632858598121587,-0.027268982475150194
GBM,ele,0.8,0.025,0.1375,-0.015365735796965097,-0.00023632858598121587,-0.01512940721098388
GBM,ele,0.8,0.025,0.17500000000000002,-0.003666336243946078,-0.00023632858598121587,-0.003430007657964862
GBM,ele,0.8,0.025,0.21250000000000002,0.015272461135938054,-0.00023632858598121587,0.01550878972191927
GBM,ele,0.8,0.025,0.25,0.0005731121048311305,-0.00023632858598121587,0.0008094406908123464
GBM,ele,0.8,0.025,0.28750000000000003,-0.03048345493224469,-0.00023632858598121587,-0.030247126346263475
GBM,ele,0.8,0.025,0.32500000000000007,0.055267223939652554,-0.00023632858598121587,0.05550355252563377
GBM,ele,0.8,0.025,0.36250000000000004,0.06746059526036285,-0.00023632858598121587,0.06769692384634407
GBM,ele,0.8,0.025,0.4,0.07143393701945833,-0.00023632858598121587,0.07167026560543954
GBM,ele,0.8,0.03125,0.1,-0.024797530375753052,-0.00023632858598121587,-0.024561201789771836
GBM,ele,0.8,0.03125,0.1375,-0.02660926730578128,-0.00023632858598121587,-0.026372938719800065
GBM,ele,0.8,0.03125,0.17500000000000002,0.010528365412945329,-0.00023632858598121587,0.010764693998926544
GBM,ele,0.8,0.03125,0.21250000000000002,0.009718756518491745,-0.00023632858598121587,0.00995508510447296
GBM,ele,0.8,0.03125,0.25,-0.039343652722624634,-0.00023632858598121587,-0.03910732413664342
GBM,ele,0.8,0.03125,0.28750000000000003,0.004955940819545868,-0.00023632858598121587,0.0051922694055270835
GBM,ele,0.8,0.03125,0.32500000000000007,0.05737185809811951,-0.00023632858598121587,0.057608186684100726
GBM,ele,0.8,0.03125,0.36250000000000004,0.04010508072046726,-0.00023632858598121587,0.04034140930644847
GBM,ele,0.8,0.03125,0.4,0.08212041993995878,-0.00023632858598121587,0.08235674852594
GBM,ele,0.8,0.0375,0.1,-0.06510280013026415,-0.00023632858598121587,-0.06486647154428293
GBM,ele,0.8,0.0375,0.1375,-0.032613719977518496,-0.00023632858598121587,-0.03237739139153728
GBM,ele,0.8,0.0375,0.17500000000000002,-0.03898546495087496,-0.00023632858598121587,-0.038749136364893744
GBM,ele,0.8,0.0375,0.21250000000000002,3.387113430930455e-05,-0.00023632858598121587,0.0002701997202905204
GBM,ele,0.8,0.0375,0.25,-0.021381267187136732,-0.00023632858598121587,-0.021144938601155516
GBM,ele,0.8,0.0375,0.28750000000000003,0.03729139849385965,-0.00023632858598121587,0.03752772707984087
GBM,ele,0.8,0.0375,0.32500000000000007,0.036252169558329994,-0.00023632858598121587,0.03648849814431121
GBM,ele,0.8,0.0375,0.36250000000000004,0.03529853578661735,-0.00023632858598121587,0.03553486437259856
GBM,ele,0.8,0.0375,0.4,0.12747052306632445,-0.00023632858598121587,0.12770685165230566
GBM,ele,0.8,0.04375,0.1,-0.03277342964255059,-0.00023632858598121587,-0.03253710105656937
GBM,ele,0.8,0.04375,0.1375,-0.040877736149847355,-0.00023632858598121587,-0.04064140756386614
GBM,ele,0.8,0.04375,0.17500000000000002,-0.03941181681119521,-0.00023632858598121587,-0.039175488225213995
GBM,ele,0.8,0.04375,0.21250000000000002,-0.031154816869998547,-0.00023632858598121587,-0.03091848828401733
GBM,ele,0.8,0.04375,0.25,-0.03331376723657442,-0.00023632858598121587,-0.033077438650593205
GBM,ele,0.8,0.04375,0.28750000000000003,-0.03675186991770485,-0.00023632858598121587,-0.03651554133172363
GBM,ele,0.8,0.04375,0.32500000000000007,0.003728630033041247,-0.00023632858598121587,0.003964958619022463
GBM,ele,0.8,0.04375,0.36250000000000004,0.053402204767852623,-0.00023632858598121587,0.05363853335383384
GBM,ele,0.8,0.04375,0.4,0.030428686688926954,-0.00023632858598121587,0.03066501527490817
GBM,ele,0.8,0.05,0.1,-0.07976645665798643,-0.00023632858598121587,-0.07953012807200521
GBM,ele,0.8,0.05,0.1375,-0.058346828668391915,-0.00023632858598121587,-0.0581105000824107
GBM,ele,0.8,0.05,0.17500000000000002,-0.07527709136150507,-0.00023632858598121587,-0.07504076277552385
GBM,ele,0.8,0.05,0.21250000000000002,-0.059673785489027575,-0.00023632858598121587,-0.05943745690304636
GBM,ele,0.8,0.05,0.25,-0.004018772951327909,-0.00023632858598121587,-0.0037824443653466933
GBM,ele,0.8,0.05,0.28750000000000003,-0.016454675575998556,-0.00023632858598121587,-0.01621834699001734
GBM,ele,0.8,0.05,0.32500000000000007,-0.01895815060965922,-0.00023632858598121587,-0.018721822023678003
GBM,ele,0.8,0.05,0.36250000000000004,-0.02857527213657085,-0.00023632858598121587,-0.028338943550589635
GBM,ele,0.8,0.05,0.4,0.007061082228506876,-0.00023632858598121587,0.007297410814488092
GBM,ele,0.8,0.056249999999999994,0.1,-0.06910366455754124,-0.00023632858598121587,-0.06886733597156003
