model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,elw,0.8,0.025,0.1,0.0009343547635214389,0.005074665744623452,-0.004140310981102013
GBM,elw,0.8,0.025,0.1375,0.0018969277000195905,0.005074665744623452,-0.0031777380446038617
GBM,elw,0.8,0.025,0.17500000000000002,0.0032382758726154925,0.005074665744623452,-0.0018363898720079597
GBM,elw,0.8,0.025,0.21250000000000002,0.00716277344493732,0.005074665744623452,0.002088107700313868
GBM,elw,0.8,0.025,0.25,0.011904329455924012,0.005074665744623452,0.00682966371130056
GBM,elw,0.8,0.025,0.28750000000000003,0.018818706658460194,0.005074665744623452,0.013744040913836741
GBM,elw,0.8,0.025,0.32500000000000007,0.017236871942416077,0.005074665744623452,0.012162206197792624
GBM,elw,0.8,0.025,0.36250000000000004,0.03683204599834533,0.005074665744623452,0.03175738025372188
GBM,elw,0.8,0.025,0.4,0.05402630690610222,0.005074665744623452,0.048951641161478765
GBM,elw,0.8,0.03125,0.1,0.0004997335810974501,0.005074665744623452,-0.004574932163526002
GBM,elw,0.8,0.03125,0.1375,0.0017102217718480972,0.005074665744623452,-0.003364443972775355
GBM,elw,0.8,0.03125,0.17500000000000002,0.0023487360491081244,0.005074665744623452,-0.002725929695515328
GBM,elw,0.8,0.03125,0.21250000000000002,0.006913756118909209,0.005074665744623452,0.0018390903742857567
GBM,elw,0.8,0.03125,0.25,0.01051670733646115,0.005074665744623452,0.0054420415918376985
GBM,elw,0.8,0.03125,0.28750000000000003,0.018332408391166233,0.005074665744623452,0.01325774264654278
GBM,elw,0.8,0.03125,0.32500000000000007,0.030001123033022825,0.005074665744623452,0.024926457288399373
GBM,elw,0.8,0.03125,0.36250000000000004,0.03556957542741679,0.005074665744623452,0.030494909682793336
GBM,elw,0.8,0.03125,0.4,0.0462618098347769,0.005074665744623452,0.04118714409015345
GBM,elw,0.8,0.0375,0.1,0.0003312072053680559,0.005074665744623452,-0.004743458539255396
GBM,elw,0.8,0.0375,0.1375,0.0013540912079952339,0.005074665744623452,-0.0037205745366282184
GBM,elw,0.8,0.0375,0.17500000000000002,0.0032669411330237264,0.005074665744623452,-0.0018077246115997259
GBM,elw,0.8,0.0375,0.21250000000000002,0.006268085858689432,0.005074665744623452,0.0011934201140659795
GBM,elw,0.8,0.0375,0.25,0.009758293386169736,0.005074665744623452,0.004683627641546284
GBM,elw,0.8,0.0375,0.28750000000000003,0.016224042296968166,0.005074665744623452,0.011149376552344714
GBM,elw,0.8,0.0375,0.32500000000000007,0.02517124793051484,0.005074665744623452,0.020096582185891387
GBM,elw,0.8,0.0375,0.36250000000000004,0.04026543316840603,0.005074665744623452,0.035190767423782576
GBM,elw,0.8,0.0375,0.4,0.05248196633460034,0.005074665744623452,0.047407300589976886
GBM,elw,0.8,0.04375,0.1,0.0004887727984503876,0.005074665744623452,-0.004585892946173065
GBM,elw,0.8,0.04375,0.1375,0.0011571378640153895,0.005074665744623452,-0.003917527880608063
GBM,elw,0.8,0.04375,0.17500000000000002,0.003602285540283967,0.005074665744623452,-0.0014723802043394851
GBM,elw,0.8,0.04375,0.21250000000000002,0.0059654154160742046,0.005074665744623452,0.0008907496714507523
GBM,elw,0.8,0.04375,0.25,0.007690119306853704,0.005074665744623452,0.002615453562230252
GBM,elw,0.8,0.04375,0.28750000000000003,0.016799351732790235,0.005074665744623452,0.011724685988166783
GBM,elw,0.8,0.04375,0.32500000000000007,0.02464073535893041,0.005074665744623452,0.019566069614306958
GBM,elw,0.8,0.04375,0.36250000000000004,0.0373136680740318,0.005074665744623452,0.03223900232940835
GBM,elw,0.8,0.04375,0.4,0.07250646856040555,0.005074665744623452,0.0674318028157821
GBM,elw,0.8,0.05,0.1,0.0004362051465272021,0.005074665744623452,-0.00463846059809625
GBM,elw,0.8,0.05,0.1375,0.0010742614694523311,0.005074665744623452,-0.004000404275171121
GBM,elw,0.8,0.05,0.17500000000000002,0.0033059651555624736,0.005074665744623452,-0.0017687005890609786
GBM,elw,0.8,0.05,0.21250000000000002,0.004888955164959352,0.005074665744623452,-0.0001857105796641001
GBM,elw,0.8,0.05,0.25,0.008399933167384743,0.005074665744623452,0.003325267422761291
GBM,elw,0.8,0.05,0.28750000000000003,0.014976706872002143,0.005074665744623452,0.009902041127378691
GBM,elw,0.8,0.05,0.32500000000000007,0.02317757314176916,0.005074665744623452,0.018102907397145707
GBM,elw,0.8,0.05,0.36250000000000004,0.033910607285102756,0.005074665744623452,0.028835941540479304
GBM,elw,0.8,0.05,0.4,0.045967114880933524,0.005074665744623452,0.04089244913631007
GBM,elw,0.8,0.056249999999999994,0.1,0.000449289888170723,0.005074665744623452,-0.004625375856452729
