model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,ente,0.2,0.025,0.1,-0.06634610456918588,-0.12969727238841677,0.06335116781923089
GBM,ente,0.2,0.025,0.1375,-0.12179648605297932,-0.12969727238841677,0.007900786335437449
GBM,ente,0.2,0.025,0.17500000000000002,-0.021821230025107607,-0.12969727238841677,0.10787604236330917
GBM,ente,0.2,0.025,0.21250000000000002,-0.035664408420615135,-0.12969727238841677,0.09403286396780164
GBM,ente,0.2,0.025,0.25,-0.05836776210543826,-0.12969727238841677,0.07132951028297851
GBM,ente,0.2,0.025,0.28750000000000003,-0.027337860901448297,-0.12969727238841677,0.10235941148696848
GBM,ente,0.2,0.025,0.32500000000000007,0.019663249406747463,-0.12969727238841677,0.14936052179516424
GBM,ente,0.2,0.025,0.36250000000000004,0.180504821011628,-0.12969727238841677,0.3102020934000448
GBM,ente,0.2,0.025,0.4,0.19018009375440048,-0.12969727238841677,0.31987736614281725
GBM,ente,0.2,0.03125,0.1,-0.14384526123638286,-0.12969727238841677,-0.014147988847966086
GBM,ente,0.2,0.03125,0.1375,-0.16808594437909452,-0.12969727238841677,-0.03838867199067775
GBM,ente,0.2,0.03125,0.17500000000000002,-0.09138087997708944,-0.12969727238841677,0.03831639241132734
GBM,ente,0.2,0.03125,0.21250000000000002,-0.06386118726292922,-0.12969727238841677,0.06583608512548755
GBM,ente,0.2,0.03125,0.25,-0.10128575824179797,-0.12969727238841677,0.0284115141466188
GBM,ente,0.2,0.03125,0.28750000000000003,-0.010949735238380498,-0.12969727238841677,0.11874753715003628
GBM,ente,0.2,0.03125,0.32500000000000007,0.012534858985395747,-0.12969727238841677,0.14223213137381252
GBM,ente,0.2,0.03125,0.36250000000000004,0.17567095199814275,-0.12969727238841677,0.30536822438655953
GBM,ente,0.2,0.03125,0.4,0.17618351263889687,-0.12969727238841677,0.30588078502731364
GBM,ente,0.2,0.0375,0.1,-0.19073746486636067,-0.12969727238841677,-0.0610401924779439
GBM,ente,0.2,0.0375,0.1375,-0.13932513610350017,-0.12969727238841677,-0.009627863715083396
GBM,ente,0.2,0.0375,0.17500000000000002,-0.15924375930752033,-0.12969727238841677,-0.029546486919103554
GBM,ente,0.2,0.0375,0.21250000000000002,-0.11659110960678742,-0.12969727238841677,0.013106162781629349
GBM,ente,0.2,0.0375,0.25,-0.001502053081929633,-0.12969727238841677,0.12819521930648714
GBM,ente,0.2,0.0375,0.28750000000000003,0.0675512473918014,-0.12969727238841677,0.19724851978021818
GBM,ente,0.2,0.0375,0.32500000000000007,0.03399668824429747,-0.12969727238841677,0.16369396063271424
GBM,ente,0.2,0.0375,0.36250000000000004,0.1412832624553335,-0.12969727238841677,0.2709805348437503
GBM,ente,0.2,0.0375,0.4,0.16327760574315553,-0.12969727238841677,0.2929748781315723
GBM,ente,0.2,0.04375,0.1,-0.15737440432905758,-0.12969727238841677,-0.02767713194064081
GBM,ente,0.2,0.04375,0.1375,-0.1922149137285104,-0.12969727238841677,-0.06251764134009363
GBM,ente,0.2,0.04375,0.17500000000000002,-0.10357176110253496,-0.12969727238841677,0.02612551128588181
GBM,ente,0.2,0.04375,0.21250000000000002,-0.10449952205792212,-0.12969727238841677,0.02519775033049465
GBM,ente,0.2,0.04375,0.25,-0.10659971970024573,-0.12969727238841677,0.02309755268817104
GBM,ente,0.2,0.04375,0.28750000000000003,-0.08076810769832787,-0.12969727238841677,0.0489291646900889
GBM,ente,0.2,0.04375,0.32500000000000007,0.039101432406145165,-0.12969727238841677,0.16879870479456194
GBM,ente,0.2,0.04375,0.36250000000000004,0.09640194331451957,-0.12969727238841677,0.22609921570293634
GBM,ente,0.2,0.04375,0.4,0.14845952713857868,-0.12969727238841677,0.27815679952699546
GBM,ente,0.2,0.05,0.1,-0.22609564174207608,-0.12969727238841677,-0.09639836935365931
GBM,ente,0.2,0.05,0.1375,-0.2222074674000719,-0.12969727238841677,-0.09251019501165514
GBM,ente,0.2,0.05,0.17500000000000002,-0.18914021305154471,-0.12969727238841677,-0.05944294066312794
GBM,ente,0.2,0.05,0.21250000000000002,-0.09993423648476019,-0.12969727238841677,0.029763035903656587
GBM,ente,0.2,0.05,0.25,-0.11612819364031368,-0.12969727238841677,0.013569078748103092
GBM,ente,0.2,0.05,0.28750000000000003,-0.08973673453977737,-0.12969727238841677,0.0399605378486394
GBM,ente,0.2,0.05,0.32500000000000007,-0.05126272966827361,-0.12969727238841677,0.07843454272014316
GBM,ente,0.2,0.05,0.36250000000000004,0.02848680398185155,-0.12969727238841677,0.15818407637026832
GBM,ente,0.2,0.05,0.4,0.028437405779443425,-0.12969727238841677,0.1581346781678602
GBM,ente,0.2,0.056249999999999994,0.1,-0.2589256225748008,-0.12969727238841677,-0.129228350186384
GBM,ente,0.2,0.056249999999999994,0.1375,-0.2657824219997451,-0.12969727238841677,-0.13608514961132834
GBM,ente,0.2,0.056249999999999994,0.17500000000000002,-0.2639301513395167,-0.12969727238841677,-0.13423287895109992
GBM,ente,0.2,0.056249999999999994,0.21250000000000002,-0.18952501588378445,-0.12969727238841677,-0.05982774349536768
GBM,ente,0.2,0.056249999999999994,0.25,-0.20421823344002576,-0.12969727238841677,-0.07452096105160899
GBM,ente,0.2,0.056249999999999994,0.28750000000000003,-0.13001633053948347,-0.12969727238841677,-0.0003190581510666979
GBM,ente,0.2,0.056249999999999994,0.32500000000000007,-0.051835583498950566,-0.12969727238841677,0.07786168888946621
GBM,ente,0.2,0.056249999999999994,0.36250000000000004,-0.019590452882690124,-0.12969727238841677,0.11010681950572665
GBM,ente,0.2,0.056249999999999994,0.4,-0.04394506044223334,-0.12969727238841677,0.08575221194618343
