model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,entl,0.2,0.025,0.1,-0.12204943495606363,-0.20372827073486532,0.0816788357788017
GBM,entl,0.2,0.025,0.1375,-0.11462653672609117,-0.20372827073486532,0.08910173400877415
GBM,entl,0.2,0.025,0.17500000000000002,-0.1239549130389723,-0.20372827073486532,0.07977335769589303
GBM,entl,0.2,0.025,0.21250000000000002,-0.04505071769810714,-0.20372827073486532,0.15867755303675818
GBM,entl,0.2,0.025,0.25,-0.07169882932270952,-0.20372827073486532,0.1320294414121558
GBM,entl,0.2,0.025,0.28750000000000003,0.017458012071487377,-0.20372827073486532,0.2211862828063527
GBM,entl,0.2,0.025,0.32500000000000007,0.10742565668351303,-0.20372827073486532,0.31115392741837833
GBM,entl,0.2,0.025,0.36250000000000004,-0.016760430121141773,-0.20372827073486532,0.18696784061372354
GBM,entl,0.2,0.025,0.4,0.12701944984654706,-0.20372827073486532,0.3307477205814124
GBM,entl,0.2,0.03125,0.1,-0.14107645817979106,-0.20372827073486532,0.06265181255507427
GBM,entl,0.2,0.03125,0.1375,-0.14466407476858353,-0.20372827073486532,0.05906419596628179
GBM,entl,0.2,0.03125,0.17500000000000002,-0.13435632454082294,-0.20372827073486532,0.06937194619404238
GBM,entl,0.2,0.03125,0.21250000000000002,-0.009728630603208813,-0.20372827073486532,0.19399964013165652
GBM,entl,0.2,0.03125,0.25,-0.03279688711755725,-0.20372827073486532,0.17093138361730809
GBM,entl,0.2,0.03125,0.28750000000000003,-0.11066795317263167,-0.20372827073486532,0.09306031756223365
GBM,entl,0.2,0.03125,0.32500000000000007,0.12589934476706602,-0.20372827073486532,0.3296276155019313
GBM,entl,0.2,0.03125,0.36250000000000004,0.11736770791135882,-0.20372827073486532,0.32109597864622413
GBM,entl,0.2,0.03125,0.4,0.08635424367976914,-0.20372827073486532,0.29008251441463445
GBM,entl,0.2,0.0375,0.1,-0.19909367977725476,-0.20372827073486532,0.004634590957610568
GBM,entl,0.2,0.0375,0.1375,-0.12362458408985837,-0.20372827073486532,0.08010368664500696
GBM,entl,0.2,0.0375,0.17500000000000002,-0.12371619889002702,-0.20372827073486532,0.0800120718448383
GBM,entl,0.2,0.0375,0.21250000000000002,-0.1131492164610446,-0.20372827073486532,0.09057905427382072
GBM,entl,0.2,0.0375,0.25,-0.10143816195529995,-0.20372827073486532,0.10229010877956538
GBM,entl,0.2,0.0375,0.28750000000000003,-0.07797930069401646,-0.20372827073486532,0.12574897004084887
GBM,entl,0.2,0.0375,0.32500000000000007,-0.046552821249996976,-0.20372827073486532,0.15717544948486833
GBM,entl,0.2,0.0375,0.36250000000000004,-0.03364987546546136,-0.20372827073486532,0.17007839526940396
GBM,entl,0.2,0.0375,0.4,0.07860853031124397,-0.20372827073486532,0.2823368010461093
GBM,entl,0.2,0.04375,0.1,-0.28349006770581925,-0.20372827073486532,-0.07976179697095392
GBM,entl,0.2,0.04375,0.1375,-0.19958336137096816,-0.20372827073486532,0.004144909363897165
GBM,entl,0.2,0.04375,0.17500000000000002,-0.27298559682063267,-0.20372827073486532,-0.06925732608576735
GBM,entl,0.2,0.04375,0.21250000000000002,-0.22115134478551954,-0.20372827073486532,-0.017423074050654214
GBM,entl,0.2,0.04375,0.25,-0.12041396702585039,-0.20372827073486532,0.08331430370901494
GBM,entl,0.2,0.04375,0.28750000000000003,-0.1974266641537737,-0.20372827073486532,0.006301606581091634
GBM,entl,0.2,0.04375,0.32500000000000007,0.04241938809058967,-0.20372827073486532,0.246147658825455
GBM,entl,0.2,0.04375,0.36250000000000004,-0.0732092756802473,-0.20372827073486532,0.13051899505461803
GBM,entl,0.2,0.04375,0.4,0.011146808155806242,-0.20372827073486532,0.21487507889067156
GBM,entl,0.2,0.05,0.1,-0.23650997063921114,-0.20372827073486532,-0.03278169990434582
GBM,entl,0.2,0.05,0.1375,-0.2232158434468984,-0.20372827073486532,-0.01948757271203308
GBM,entl,0.2,0.05,0.17500000000000002,-0.2951524113766108,-0.20372827073486532,-0.09142414064174548
GBM,entl,0.2,0.05,0.21250000000000002,-0.21671396705502652,-0.20372827073486532,-0.012985696320161194
GBM,entl,0.2,0.05,0.25,-0.2109319940919098,-0.20372827073486532,-0.0072037233570444725
GBM,entl,0.2,0.05,0.28750000000000003,-0.16827950362976907,-0.20372827073486532,0.03544876710509626
GBM,entl,0.2,0.05,0.32500000000000007,-0.13098655535069884,-0.20372827073486532,0.07274171538416649
GBM,entl,0.2,0.05,0.36250000000000004,0.2107930743184709,-0.20372827073486532,0.41452134505333627
GBM,entl,0.2,0.05,0.4,0.13699797273451594,-0.20372827073486532,0.3407262434693813
GBM,entl,0.2,0.056249999999999994,0.1,-0.3446396129533153,-0.20372827073486532,-0.14091134221844998
GBM,entl,0.2,0.056249999999999994,0.1375,-0.2700684285005046,-0.20372827073486532,-0.06634015776563928
GBM,entl,0.2,0.056249999999999994,0.17500000000000002,-0.17494315701298332,-0.20372827073486532,0.028785113721882
GBM,entl,0.2,0.056249999999999994,0.21250000000000002,-0.18473982842490078,-0.20372827073486532,0.01898844230996455
GBM,entl,0.2,0.056249999999999994,0.25,-0.25083078812314297,-0.20372827073486532,-0.04710251738827764
GBM,entl,0.2,0.056249999999999994,0.28750000000000003,-0.1678337048855257,-0.20372827073486532,0.035894565849339616
GBM,entl,0.2,0.056249999999999994,0.32500000000000007,-0.06612105233331508,-0.20372827073486532,0.13760721840155024
GBM,entl,0.2,0.056249999999999994,0.36250000000000004,-0.022369385371979415,-0.20372827073486532,0.1813588853628859
GBM,entl,0.2,0.056249999999999994,0.4,-0.01144844060895123,-0.20372827073486532,0.1922798301259141
GBM,entl,0.2,0.0625,0.1,-0.4039881531746982,-0.20372827073486532,-0.2002598824398329
GBM,entl,0.2,0.0625,0.1375,-0.3668812118997293,-0.20372827073486532,-0.16315294116486395
GBM,entl,0.2,0.0625,0.17500000000000002,-0.40197300153521137,-0.20372827073486532,-0.19824473080034605
GBM,entl,0.2,0.0625,0.21250000000000002,-0.18745247492296438,-0.20372827073486532,0.016275795811900945
GBM,entl,0.2,0.0625,0.25,-0.17298770919728118,-0.20372827073486532,0.030740561537584143
