model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,entw,0.2,0.025,0.1,0.0005371829409444029,0.0027800569745091153,-0.0022428740335647124
GBM,entw,0.2,0.025,0.1375,0.0017626968071606797,0.0027800569745091153,-0.0010173601673484356
GBM,entw,0.2,0.025,0.17500000000000002,0.002950808357841339,0.0027800569745091153,0.00017075138333222384
GBM,entw,0.2,0.025,0.21250000000000002,0.02232821615317393,0.0027800569745091153,0.019548159178664815
GBM,entw,0.2,0.025,0.25,0.010467523258406164,0.0027800569745091153,0.007687466283897049
GBM,entw,0.2,0.025,0.28750000000000003,0.021323846022644144,0.0027800569745091153,0.01854378904813503
GBM,entw,0.2,0.025,0.32500000000000007,0.09259370058300531,0.0027800569745091153,0.0898136436084962
GBM,entw,0.2,0.025,0.36250000000000004,0.14280342391264012,0.0027800569745091153,0.140023366938131
GBM,entw,0.2,0.025,0.4,0.1766954864664576,0.0027800569745091153,0.1739154294919485
GBM,entw,0.2,0.03125,0.1,0.00027209922977045053,0.0027800569745091153,-0.0025079577447386647
GBM,entw,0.2,0.03125,0.1375,0.0009974218680337543,0.0027800569745091153,-0.001782635106475361
GBM,entw,0.2,0.03125,0.17500000000000002,0.0010467619466341116,0.0027800569745091153,-0.0017332950278750037
GBM,entw,0.2,0.03125,0.21250000000000002,0.0038238857185306507,0.0027800569745091153,0.0010438287440215355
GBM,entw,0.2,0.03125,0.25,0.00965244873666582,0.0027800569745091153,0.006872391762156704
GBM,entw,0.2,0.03125,0.28750000000000003,0.026904490673649528,0.0027800569745091153,0.024124433699140413
GBM,entw,0.2,0.03125,0.32500000000000007,0.03666174889403573,0.0027800569745091153,0.03388169191952661
GBM,entw,0.2,0.03125,0.36250000000000004,0.04903804303646253,0.0027800569745091153,0.046257986061953416
GBM,entw,0.2,0.03125,0.4,0.09754502545446475,0.0027800569745091153,0.09476496847995564
GBM,entw,0.2,0.0375,0.1,0.00013714351136817626,0.0027800569745091153,-0.002642913463140939
GBM,entw,0.2,0.0375,0.1375,0.0014731882627445625,0.0027800569745091153,-0.0013068687117645528
GBM,entw,0.2,0.0375,0.17500000000000002,0.0028189216403680106,0.0027800569745091153,3.8864665858895364e-05
GBM,entw,0.2,0.0375,0.21250000000000002,0.01229353811883005,0.0027800569745091153,0.009513481144320934
GBM,entw,0.2,0.0375,0.25,0.0067220599537409775,0.0027800569745091153,0.003942002979231862
GBM,entw,0.2,0.0375,0.28750000000000003,0.02750519022575415,0.0027800569745091153,0.024725133251245035
GBM,entw,0.2,0.0375,0.32500000000000007,0.03691431204923479,0.0027800569745091153,0.03413425507472567
GBM,entw,0.2,0.0375,0.36250000000000004,0.04293613469452562,0.0027800569745091153,0.0401560777200165
GBM,entw,0.2,0.0375,0.4,0.1537679402090728,0.0027800569745091153,0.1509878832345637
GBM,entw,0.2,0.04375,0.1,6.739661450683165e-05,0.0027800569745091153,-0.0027126603600022836
GBM,entw,0.2,0.04375,0.1375,0.0003727244449285294,0.0027800569745091153,-0.002407332529580586
GBM,entw,0.2,0.04375,0.17500000000000002,0.0008821292439666895,0.0027800569745091153,-0.0018979277305424258
GBM,entw,0.2,0.04375,0.21250000000000002,0.012524076685623609,0.0027800569745091153,0.009744019711114493
GBM,entw,0.2,0.04375,0.25,0.014255497506185488,0.0027800569745091153,0.011475440531676373
GBM,entw,0.2,0.04375,0.28750000000000003,0.031430554576756586,0.0027800569745091153,0.02865049760224747
GBM,entw,0.2,0.04375,0.32500000000000007,0.017129820812387342,0.0027800569745091153,0.014349763837878227
