model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,esl,0.8,0.025,0.1,0.10969050065003967,0.28137861219116805,-0.1716881115411284
GBM,esl,0.8,0.025,0.1375,0.14585784185220496,0.28137861219116805,-0.1355207703389631
GBM,esl,0.8,0.025,0.17500000000000002,0.20854746057024354,0.28137861219116805,-0.07283115162092452
GBM,esl,0.8,0.025,0.21250000000000002,0.25071261398991146,0.28137861219116805,-0.030665998201256595
GBM,esl,0.8,0.025,0.25,0.3359095410475566,0.28137861219116805,0.05453092885638855
GBM,esl,0.8,0.025,0.28750000000000003,0.37070883149378775,0.28137861219116805,0.0893302193026197
GBM,esl,0.8,0.025,0.32500000000000007,0.528667238556302,0.28137861219116805,0.247288626365134
GBM,esl,0.8,0.025,0.36250000000000004,0.5618449305489078,0.28137861219116805,0.2804663183577398
GBM,esl,0.8,0.025,0.4,0.6682383962337144,0.28137861219116805,0.38685978404254634
GBM,esl,0.8,0.03125,0.1,0.08831234243646983,0.28137861219116805,-0.1930662697546982
GBM,esl,0.8,0.03125,0.1375,0.15151078159985815,0.28137861219116805,-0.1298678305913099
GBM,esl,0.8,0.03125,0.17500000000000002,0.2107811464574456,0.28137861219116805,-0.07059746573372244
GBM,esl,0.8,0.03125,0.21250000000000002,0.27799185117196307,0.28137861219116805,-0.003386761019204987
GBM,esl,0.8,0.03125,0.25,0.32596725824810246,0.28137861219116805,0.04458864605693441
GBM,esl,0.8,0.03125,0.28750000000000003,0.3991476915634679,0.28137861219116805,0.11776907937229986
GBM,esl,0.8,0.03125,0.32500000000000007,0.49386495669011465,0.28137861219116805,0.2124863444989466
GBM,esl,0.8,0.03125,0.36250000000000004,0.5397593872779163,0.28137861219116805,0.2583807750867482
GBM,esl,0.8,0.03125,0.4,0.6772727549294477,0.28137861219116805,0.39589414273827966
GBM,esl,0.8,0.0375,0.1,0.09957249820059455,0.28137861219116805,-0.1818061139905735
GBM,esl,0.8,0.0375,0.1375,0.12965902314406108,0.28137861219116805,-0.15171958904710697
GBM,esl,0.8,0.0375,0.17500000000000002,0.20385085829856142,0.28137861219116805,-0.07752775389260663
GBM,esl,0.8,0.0375,0.21250000000000002,0.24383631241437584,0.28137861219116805,-0.037542299776792215
GBM,esl,0.8,0.0375,0.25,0.3227212033106793,0.28137861219116805,0.041342591119511274
GBM,esl,0.8,0.0375,0.28750000000000003,0.4089174771488405,0.28137861219116805,0.12753886495767247
GBM,esl,0.8,0.0375,0.32500000000000007,0.4610699175680803,0.28137861219116805,0.17969130537691225
GBM,esl,0.8,0.0375,0.36250000000000004,0.5784119085705124,0.28137861219116805,0.29703329637934434
GBM,esl,0.8,0.0375,0.4,0.687806517559282,0.28137861219116805,0.40642790536811396
