model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,ele,0.2,1.0,0.1,-0.11287427780822568,-0.11728778702763853,0.004413509219412859
Heston,ele,0.2,1.0,0.125,-0.16278763547244401,-0.11728778702763853,-0.04549984844480548
Heston,ele,0.2,1.0,0.15,-0.12799277629922234,-0.11728778702763853,-0.010704989271583809
Heston,ele,0.2,1.0,0.175,-0.15297856529280673,-0.11728778702763853,-0.0356907782651682
Heston,ele,0.2,1.0,0.2,0.2625179501399675,-0.11728778702763853,0.379805737167606
Heston,ele,0.2,1.0,0.22499999999999998,0.03430286392322568,-0.11728778702763853,0.15159065095086421
Heston,ele,0.2,1.0,0.25,0.2340172383229504,-0.11728778702763853,0.35130502535058894
Heston,ele,0.2,1.0,0.275,0.04444091649679138,-0.11728778702763853,0.16172870352442992
Heston,ele,0.2,1.0,0.3,-0.08477267767572516,-0.11728778702763853,0.032515109351913374
Heston,ele,0.2,1.375,0.1,-0.08528125580188495,-0.11728778702763853,0.03200653122575359
Heston,ele,0.2,1.375,0.125,-0.26041371202379027,-0.11728778702763853,-0.14312592499615173
Heston,ele,0.2,1.375,0.15,-0.042175954967765605,-0.11728778702763853,0.07511183205987293
Heston,ele,0.2,1.375,0.175,-0.13966926985512107,-0.11728778702763853,-0.022381482827482535
Heston,ele,0.2,1.375,0.2,-0.09977642230591033,-0.11728778702763853,0.017511364721728206
Heston,ele,0.2,1.375,0.22499999999999998,0.03931931903842134,-0.11728778702763853,0.15660710606605988
Heston,ele,0.2,1.375,0.25,0.14511253453897188,-0.11728778702763853,0.2624003215666104
Heston,ele,0.2,1.375,0.275,0.333730404558358,-0.11728778702763853,0.45101819158599654
Heston,ele,0.2,1.375,0.3,0.1491912271711049,-0.11728778702763853,0.2664790141987434
Heston,ele,0.2,1.75,0.1,-0.19458996465028666,-0.11728778702763853,-0.07730217762264813
Heston,ele,0.2,1.75,0.125,-0.16715696165189187,-0.11728778702763853,-0.04986917462425333
Heston,ele,0.2,1.75,0.15,-0.208549240690581,-0.11728778702763853,-0.09126145366294247
Heston,ele,0.2,1.75,0.175,0.3554365600998599,-0.11728778702763853,0.47272434712749845
Heston,ele,0.2,1.75,0.2,0.2542158144264377,-0.11728778702763853,0.37150360145407624
Heston,ele,0.2,1.75,0.22499999999999998,0.09877585365480268,-0.11728778702763853,0.21606364068244122
Heston,ele,0.2,1.75,0.25,0.12464170995289892,-0.11728778702763853,0.24192949698053745
Heston,ele,0.2,1.75,0.275,-0.13612844407842428,-0.11728778702763853,-0.018840657050785747
Heston,ele,0.2,1.75,0.3,0.6358944393405142,-0.11728778702763853,0.7531822263681527
Heston,ele,0.2,2.125,0.1,-0.05310025241876937,-0.11728778702763853,0.06418753460886917
Heston,ele,0.2,2.125,0.125,-0.1100158051923803,-0.11728778702763853,0.007271981835258234
Heston,ele,0.2,2.125,0.15,-0.10598786511404157,-0.11728778702763853,0.011299921913596966
Heston,ele,0.2,2.125,0.175,-0.021505804738899736,-0.11728778702763853,0.0957819822887388
Heston,ele,0.2,2.125,0.2,-0.05446507828322633,-0.11728778702763853,0.0628227087444122
Heston,ele,0.2,2.125,0.22499999999999998,-0.06880864593126146,-0.11728778702763853,0.048479141096377076
Heston,ele,0.2,2.125,0.25,0.1610521130805087,-0.11728778702763853,0.27833990010814724
Heston,ele,0.2,2.125,0.275,-0.003326886225109793,-0.11728778702763853,0.11396090080252874
Heston,ele,0.2,2.125,0.3,0.02680630916828508,-0.11728778702763853,0.14409409619592362
Heston,ele,0.2,2.5,0.1,-0.06808672847752151,-0.11728778702763853,0.04920105855011703
Heston,ele,0.2,2.5,0.125,-0.21435384681410596,-0.11728778702763853,-0.09706605978646743
Heston,ele,0.2,2.5,0.15,5.0727960564505015,-0.11728778702763853,5.19008384347814
Heston,ele,0.2,2.5,0.175,-0.030715160571150868,-0.11728778702763853,0.08657262645648767
Heston,ele,0.2,2.5,0.2,0.5727593459558675,-0.11728778702763853,0.6900471329835061
Heston,ele,0.2,2.5,0.22499999999999998,0.08751108535485108,-0.11728778702763853,0.20479887238248962
