model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,elw,0.2,1.0,0.1,0.08964081328994644,0.10359126611551095,-0.013950452825564508
Heston,elw,0.2,1.0,0.125,0.05307809305141964,0.10359126611551095,-0.05051317306409131
Heston,elw,0.2,1.0,0.15,7.488667868474073e+20,0.10359126611551095,7.488667868474073e+20
Heston,elw,0.2,1.0,0.175,0.4969276179429305,0.10359126611551095,0.39333635182741955
Heston,elw,0.2,1.0,0.2,0.9531336577048874,0.10359126611551095,0.8495423915893765
Heston,elw,0.2,1.0,0.22499999999999998,0.6048054040766209,0.10359126611551095,0.5012141379611099
Heston,elw,0.2,1.0,0.25,1.4552911189474362,0.10359126611551095,1.3516998528319253
Heston,elw,0.2,1.0,0.275,90.17791120384437,0.10359126611551095,90.07431993772886
Heston,elw,0.2,1.0,0.3,605778.3914147614,0.10359126611551095,605778.2878234953
Heston,elw,0.2,1.375,0.1,0.2947800079855274,0.10359126611551095,0.19118874187001644
Heston,elw,0.2,1.375,0.125,60.11693596294358,0.10359126611551095,60.01334469682807
Heston,elw,0.2,1.375,0.15,5545.808808832656,0.10359126611551095,5545.70521756654
Heston,elw,0.2,1.375,0.175,0.06520532579229532,0.10359126611551095,-0.03838594032321563
Heston,elw,0.2,1.375,0.2,0.088243187089869,0.10359126611551095,-0.015348079025641947
Heston,elw,0.2,1.375,0.22499999999999998,0.07447536841458957,0.10359126611551095,-0.029115897700921378
Heston,elw,0.2,1.375,0.25,175271396879.16266,0.10359126611551095,175271396879.05908
Heston,elw,0.2,1.375,0.275,0.4214679258100693,0.10359126611551095,0.31787665969455836
Heston,elw,0.2,1.375,0.3,0.5562506354889356,0.10359126611551095,0.45265936937342466
Heston,elw,0.2,1.75,0.1,1037.8084528427019,0.10359126611551095,1037.7048615765864
Heston,elw,0.2,1.75,0.125,0.3948028414276483,0.10359126611551095,0.29121157531213737
Heston,elw,0.2,1.75,0.15,0.10953993046704436,0.10359126611551095,0.005948664351533406
Heston,elw,0.2,1.75,0.175,2.9818284305224827,0.10359126611551095,2.878237164406972
Heston,elw,0.2,1.75,0.2,1.7831176876351598,0.10359126611551095,1.6795264215196488
Heston,elw,0.2,1.75,0.22499999999999998,813.9537255675718,0.10359126611551095,813.8501343014564
Heston,elw,0.2,1.75,0.25,275.1626541640225,0.10359126611551095,275.059062897907
Heston,elw,0.2,1.75,0.275,4.469799381352786,0.10359126611551095,4.366208115237275
Heston,elw,0.2,1.75,0.3,0.370838595770534,0.10359126611551095,0.26724732965502307
Heston,elw,0.2,2.125,0.1,0.4390035115546158,0.10359126611551095,0.33541224543910486
Heston,elw,0.2,2.125,0.125,0.04442641798228597,0.10359126611551095,-0.05916484813322498
Heston,elw,0.2,2.125,0.15,0.28409777561454175,0.10359126611551095,0.1805065094990308
Heston,elw,0.2,2.125,0.175,110332007.28656177,0.10359126611551095,110332007.18297051
Heston,elw,0.2,2.125,0.2,2072672081549.8228,0.10359126611551095,2072672081549.7192
Heston,elw,0.2,2.125,0.22499999999999998,1.4294085054389624e+18,0.10359126611551095,1.4294085054389624e+18
Heston,elw,0.2,2.125,0.25,6.120613540650121,0.10359126611551095,6.01702227453461
Heston,elw,0.2,2.125,0.275,34.21165144260255,0.10359126611551095,34.108060176487044
Heston,elw,0.2,2.125,0.3,1.4756259087828548e+45,0.10359126611551095,1.4756259087828548e+45
Heston,elw,0.2,2.5,0.1,6.256209101846952,0.10359126611551095,6.152617835731442
Heston,elw,0.2,2.5,0.125,3.4715851765070926,0.10359126611551095,3.367993910391582
Heston,elw,0.2,2.5,0.15,10.940170979571864,0.10359126611551095,10.836579713456352
Heston,elw,0.2,2.5,0.175,189.4881016390605,0.10359126611551095,189.384510372945
Heston,elw,0.2,2.5,0.2,2.9555995146346166,0.10359126611551095,2.8520082485191054
Heston,elw,0.2,2.5,0.22499999999999998,4536.8445531397165,0.10359126611551095,4536.740961873601
Heston,elw,0.2,2.5,0.25,135487.80548451285,0.10359126611551095,135487.70189324673
Heston,elw,0.2,2.5,0.275,1.0922125767844078,0.10359126611551095,0.9886213106688968
Heston,elw,0.2,2.5,0.3,293.41730600068803,0.10359126611551095,293.3137147345725
Heston,elw,0.2,2.875,0.1,2.3076129958998175,0.10359126611551095,2.2040217297843068
Heston,elw,0.2,2.875,0.125,57.16404956325267,0.10359126611551095,57.06045829713716
Heston,elw,0.2,2.875,0.15,219.1966950773555,0.10359126611551095,219.09310381124
Heston,elw,0.2,2.875,0.175,6269794689.755318,0.10359126611551095,6269794689.651727
Heston,elw,0.2,2.875,0.2,3.3560963383838395e+25,0.10359126611551095,3.3560963383838395e+25
Heston,elw,0.2,2.875,0.22499999999999998,37.632981413914386,0.10359126611551095,37.52939014779888
Heston,elw,0.2,2.875,0.25,3.2870006985905096e+22,0.10359126611551095,3.2870006985905096e+22
Heston,elw,0.2,2.875,0.275,2.7952511567505337e+26,0.10359126611551095,2.7952511567505337e+26
Heston,elw,0.2,2.875,0.3,12669384817965.748,0.10359126611551095,12669384817965.645
Heston,elw,0.2,3.25,0.1,0.057279084169668204,0.10359126611551095,-0.046312181945842745
Heston,elw,0.2,3.25,0.125,0.8844090194686987,0.10359126611551095,0.7808177533531877
Heston,elw,0.2,3.25,0.15,47511225326.94799,0.10359126611551095,47511225326.8444
Heston,elw,0.2,3.25,0.175,123.32249286978919,0.10359126611551095,123.21890160367367
Heston,elw,0.2,3.25,0.2,536668693236215.6,0.10359126611551095,536668693236215.5
Heston,elw,0.2,3.25,0.22499999999999998,3.2141638879955292e+19,0.10359126611551095,3.2141638879955292e+19
Heston,elw,0.2,3.25,0.25,2752953689995.6177,0.10359126611551095,2752953689995.514
Heston,elw,0.2,3.25,0.275,2.7846164571059952e+31,0.10359126611551095,2.7846164571059952e+31
Heston,elw,0.2,3.25,0.3,19386537.234055277,0.10359126611551095,19386537.13046401
Heston,elw,0.2,3.625,0.1,2.4777699505806886e+17,0.10359126611551095,2.4777699505806886e+17
Heston,elw,0.2,3.625,0.125,25979647107.326992,0.10359126611551095,25979647107.2234
Heston,elw,0.2,3.625,0.15,774840956632.3136,0.10359126611551095,774840956632.21
Heston,elw,0.2,3.625,0.175,4964.240222624728,0.10359126611551095,4964.136631358612
Heston,elw,0.2,3.625,0.2,183.89579476613972,0.10359126611551095,183.79220350002421
Heston,elw,0.2,3.625,0.22499999999999998,9137042205794.455,0.10359126611551095,9137042205794.352
Heston,elw,0.2,3.625,0.25,956.561134783175,0.10359126611551095,956.4575435170595
Heston,elw,0.2,3.625,0.275,1141.414795066895,0.10359126611551095,1141.3112038007796
Heston,elw,0.2,3.625,0.3,13205200.119213147,0.10359126611551095,13205200.01562188
Heston,elw,0.2,4.0,0.1,0.3970637351894526,0.10359126611551095,0.29347246907394164
Heston,elw,0.2,4.0,0.125,0.6944475801973558,0.10359126611551095,0.5908563140818448
Heston,elw,0.2,4.0,0.15,2.6166666740134086,0.10359126611551095,2.5130754078978974
Heston,elw,0.2,4.0,0.175,241235566.78586817,0.10359126611551095,241235566.6822769
Heston,elw,0.2,4.0,0.2,8248.57844210658,0.10359126611551095,8248.474850840465
Heston,elw,0.2,4.0,0.22499999999999998,1.2741091332452613e+23,0.10359126611551095,1.2741091332452613e+23
Heston,elw,0.2,4.0,0.25,458.66356376948784,0.10359126611551095,458.5599725033723
Heston,elw,0.2,4.0,0.275,6506.933126206517,0.10359126611551095,6506.829534940402
Heston,elw,0.2,4.0,0.3,1846863267535.58,0.10359126611551095,1846863267535.4766
