model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,entl,0.8,1.0,0.1,0.07117500176690776,-0.03552865676245173,0.1067036585293595
Heston,entl,0.8,1.0,0.125,0.09964665737783918,-0.03552865676245173,0.1351753141402909
Heston,entl,0.8,1.0,0.15,0.005045664022591787,-0.03552865676245173,0.04057432078504352
Heston,entl,0.8,1.0,0.175,0.012430158276022901,-0.03552865676245173,0.047958815038474635
Heston,entl,0.8,1.0,0.2,-0.018375154142321687,-0.03552865676245173,0.017153502620130046
Heston,entl,0.8,1.0,0.22499999999999998,0.12128223252359162,-0.03552865676245173,0.15681088928604336
Heston,entl,0.8,1.0,0.25,0.10178372680580976,-0.03552865676245173,0.13731238356826148
Heston,entl,0.8,1.0,0.275,0.208884895773008,-0.03552865676245173,0.24441355253545974
Heston,entl,0.8,1.0,0.3,0.07664036772042346,-0.03552865676245173,0.11216902448287519
Heston,entl,0.8,1.375,0.1,-0.04394142808364229,-0.03552865676245173,-0.00841277132119056
Heston,entl,0.8,1.375,0.125,0.014319939067534882,-0.03552865676245173,0.04984859582998662
Heston,entl,0.8,1.375,0.15,0.00712942216040766,-0.03552865676245173,0.042658078922859395
Heston,entl,0.8,1.375,0.175,-0.01912142201878895,-0.03552865676245173,0.016407234743662784
Heston,entl,0.8,1.375,0.2,0.05335923672753723,-0.03552865676245173,0.08888789348998896
Heston,entl,0.8,1.375,0.22499999999999998,0.07578854144613988,-0.03552865676245173,0.11131719820859161
Heston,entl,0.8,1.375,0.25,0.022711523259037667,-0.03552865676245173,0.058240180021489396
Heston,entl,0.8,1.375,0.275,0.028740613457979562,-0.03552865676245173,0.0642692702204313
Heston,entl,0.8,1.375,0.3,0.0010149175675746307,-0.03552865676245173,0.03654357433002636
Heston,entl,0.8,1.75,0.1,-0.04679439686024791,-0.03552865676245173,-0.011265740097796177
Heston,entl,0.8,1.75,0.125,-0.05438615500994197,-0.03552865676245173,-0.018857498247490237
Heston,entl,0.8,1.75,0.15,0.04496787477769179,-0.03552865676245173,0.08049653154014352
Heston,entl,0.8,1.75,0.175,0.11267272436685019,-0.03552865676245173,0.14820138112930192
Heston,entl,0.8,1.75,0.2,0.08648400940705664,-0.03552865676245173,0.12201266616950837
Heston,entl,0.8,1.75,0.22499999999999998,0.07573482387612267,-0.03552865676245173,0.1112634806385744
Heston,entl,0.8,1.75,0.25,0.08217659053584239,-0.03552865676245173,0.11770524729829412
Heston,entl,0.8,1.75,0.275,-0.03780503607268006,-0.03552865676245173,-0.002276379310228324
Heston,entl,0.8,1.75,0.3,0.22738172639615548,-0.03552865676245173,0.2629103831586072
Heston,entl,0.8,2.125,0.1,0.09381864764141191,-0.03552865676245173,0.12934730440386366
Heston,entl,0.8,2.125,0.125,0.0736737775283477,-0.03552865676245173,0.10920243429079943
Heston,entl,0.8,2.125,0.15,-0.042588659448022856,-0.03552865676245173,-0.007060002685571123
Heston,entl,0.8,2.125,0.175,0.0475864443463057,-0.03552865676245173,0.08311510110875743
Heston,entl,0.8,2.125,0.2,0.07522205293354878,-0.03552865676245173,0.11075070969600051
Heston,entl,0.8,2.125,0.22499999999999998,0.077599721122174,-0.03552865676245173,0.11312837788462574
Heston,entl,0.8,2.125,0.25,0.09303790312123615,-0.03552865676245173,0.12856655988368787
Heston,entl,0.8,2.125,0.275,0.21957776659998773,-0.03552865676245173,0.2551064233624395
Heston,entl,0.8,2.125,0.3,0.0671672113235661,-0.03552865676245173,0.10269586808601783
Heston,entl,0.8,2.5,0.1,0.012365194633339025,-0.03552865676245173,0.047893851395790756
Heston,entl,0.8,2.5,0.125,0.04793574463228677,-0.03552865676245173,0.0834644013947385
Heston,entl,0.8,2.5,0.15,0.06512758790773271,-0.03552865676245173,0.10065624467018444
Heston,entl,0.8,2.5,0.175,0.29622722269450835,-0.03552865676245173,0.33175587945696006
Heston,entl,0.8,2.5,0.2,0.12920907013158806,-0.03552865676245173,0.1647377268940398
Heston,entl,0.8,2.5,0.22499999999999998,0.05891005858937548,-0.03552865676245173,0.09443871535182721
Heston,entl,0.8,2.5,0.25,0.009359895772387416,-0.03552865676245173,0.04488855253483915
Heston,entl,0.8,2.5,0.275,0.08075565222768014,-0.03552865676245173,0.11628430899013187
Heston,entl,0.8,2.5,0.3,0.1334048729379127,-0.03552865676245173,0.16893352970036443
Heston,entl,0.8,2.875,0.1,0.0489321280869363,-0.03552865676245173,0.08446078484938803
