model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,entw,0.2,1.0,0.1,26.096313427494408,0.07968854722731744,26.01662488026709
Heston,entw,0.2,1.0,0.125,inf,0.07968854722731744,inf
Heston,entw,0.2,1.0,0.15,inf,0.07968854722731744,inf
Heston,entw,0.2,1.0,0.175,0.2151204035200167,0.07968854722731744,0.13543185629269927
Heston,entw,0.2,1.0,0.2,207.3782313109804,0.07968854722731744,207.2985427637531
Heston,entw,0.2,1.0,0.22499999999999998,inf,0.07968854722731744,inf
Heston,entw,0.2,1.0,0.25,inf,0.07968854722731744,inf
Heston,entw,0.2,1.0,0.275,inf,0.07968854722731744,inf
Heston,entw,0.2,1.0,0.3,inf,0.07968854722731744,inf
Heston,entw,0.2,1.375,0.1,0.11461644188968023,0.07968854722731744,0.03492789466236279
Heston,entw,0.2,1.375,0.125,4.599185129241887,0.07968854722731744,4.519496582014569
Heston,entw,0.2,1.375,0.15,inf,0.07968854722731744,inf
Heston,entw,0.2,1.375,0.175,inf,0.07968854722731744,inf
Heston,entw,0.2,1.375,0.2,0.06875003538387836,0.07968854722731744,-0.01093851184343908
Heston,entw,0.2,1.375,0.22499999999999998,155.31351119865784,0.07968854722731744,155.23382265143053
Heston,entw,0.2,1.375,0.25,268.187332113774,0.07968854722731744,268.1076435665467
Heston,entw,0.2,1.375,0.275,inf,0.07968854722731744,inf
Heston,entw,0.2,1.375,0.3,507.0179040904597,0.07968854722731744,506.9382155432324
Heston,entw,0.2,1.75,0.1,0.046942802742951484,0.07968854722731744,-0.03274574448436596
Heston,entw,0.2,1.75,0.125,inf,0.07968854722731744,inf
Heston,entw,0.2,1.75,0.15,inf,0.07968854722731744,inf
Heston,entw,0.2,1.75,0.175,455.4289348656997,0.07968854722731744,455.3492463184724
Heston,entw,0.2,1.75,0.2,318.81011032725223,0.07968854722731744,318.7304217800249
Heston,entw,0.2,1.75,0.22499999999999998,inf,0.07968854722731744,inf
Heston,entw,0.2,1.75,0.25,423.89045623815286,0.07968854722731744,423.81076769092556
Heston,entw,0.2,1.75,0.275,inf,0.07968854722731744,inf
Heston,entw,0.2,1.75,0.3,inf,0.07968854722731744,inf
Heston,entw,0.2,2.125,0.1,8.774601103297474,0.07968854722731744,8.694912556070157
Heston,entw,0.2,2.125,0.125,inf,0.07968854722731744,inf
Heston,entw,0.2,2.125,0.15,inf,0.07968854722731744,inf
Heston,entw,0.2,2.125,0.175,0.567737578562103,0.07968854722731744,0.4880490313347856
Heston,entw,0.2,2.125,0.2,inf,0.07968854722731744,inf
Heston,entw,0.2,2.125,0.22499999999999998,inf,0.07968854722731744,inf
Heston,entw,0.2,2.125,0.25,37.02583575573479,0.07968854722731744,36.94614720850747
Heston,entw,0.2,2.125,0.275,inf,0.07968854722731744,inf
Heston,entw,0.2,2.125,0.3,inf,0.07968854722731744,inf
Heston,entw,0.2,2.5,0.1,0.11394598433486958,0.07968854722731744,0.034257437107552136
Heston,entw,0.2,2.5,0.125,5.305139471005287,0.07968854722731744,5.225450923777969
Heston,entw,0.2,2.5,0.15,inf,0.07968854722731744,inf
Heston,entw,0.2,2.5,0.175,138.16884869392592,0.07968854722731744,138.08916014669862
Heston,entw,0.2,2.5,0.2,inf,0.07968854722731744,inf
Heston,entw,0.2,2.5,0.22499999999999998,inf,0.07968854722731744,inf
Heston,entw,0.2,2.5,0.25,218.62959988857688,0.07968854722731744,218.54991134134957
Heston,entw,0.2,2.5,0.275,inf,0.07968854722731744,inf
Heston,entw,0.2,2.5,0.3,inf,0.07968854722731744,inf
Heston,entw,0.2,2.875,0.1,inf,0.07968854722731744,inf
Heston,entw,0.2,2.875,0.125,54.714413358697875,0.07968854722731744,54.634724811470555
Heston,entw,0.2,2.875,0.15,inf,0.07968854722731744,inf
Heston,entw,0.2,2.875,0.175,469.8754582042608,0.07968854722731744,469.7957696570335
Heston,entw,0.2,2.875,0.2,inf,0.07968854722731744,inf
Heston,entw,0.2,2.875,0.22499999999999998,inf,0.07968854722731744,inf
Heston,entw,0.2,2.875,0.25,inf,0.07968854722731744,inf
Heston,entw,0.2,2.875,0.275,224.34836046880122,0.07968854722731744,224.2686719215739
Heston,entw,0.2,2.875,0.3,inf,0.07968854722731744,inf
Heston,entw,0.2,3.25,0.1,486.682474570043,0.07968854722731744,486.6027860228157
Heston,entw,0.2,3.25,0.125,inf,0.07968854722731744,inf
Heston,entw,0.2,3.25,0.15,inf,0.07968854722731744,inf
Heston,entw,0.2,3.25,0.175,0.30461790557894175,0.07968854722731744,0.2249293583516243
Heston,entw,0.2,3.25,0.2,inf,0.07968854722731744,inf
Heston,entw,0.2,3.25,0.22499999999999998,inf,0.07968854722731744,inf
Heston,entw,0.2,3.25,0.25,inf,0.07968854722731744,inf
