model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,esl,0.2,1.0,0.1,0.6681453800169387,1.2212883873345326,-0.5531430073175939
Heston,esl,0.2,1.0,0.125,0.8239780668422024,1.2212883873345326,-0.39731032049233017
Heston,esl,0.2,1.0,0.15,0.6449039864430426,1.2212883873345326,-0.57638440089149
Heston,esl,0.2,1.0,0.175,0.6702662802326855,1.2212883873345326,-0.5510221071018471
Heston,esl,0.2,1.0,0.2,0.8536985362173728,1.2212883873345326,-0.3675898511171598
Heston,esl,0.2,1.0,0.22499999999999998,0.8779936975433649,1.2212883873345326,-0.34329468979116773
Heston,esl,0.2,1.0,0.25,1.0202525272884024,1.2212883873345326,-0.20103586004613017
Heston,esl,0.2,1.0,0.275,2.443932453700579,1.2212883873345326,1.2226440663660465
Heston,esl,0.2,1.0,0.3,1.522854361067492,1.2212883873345326,0.30156597373295946
Heston,esl,0.2,1.375,0.1,0.8271670074020865,1.2212883873345326,-0.3941213799324461
Heston,esl,0.2,1.375,0.125,0.6119075257978553,1.2212883873345326,-0.6093808615366773
Heston,esl,0.2,1.375,0.15,0.6541667440378997,1.2212883873345326,-0.567121643296633
Heston,esl,0.2,1.375,0.175,0.8037174472468702,1.2212883873345326,-0.4175709400876624
Heston,esl,0.2,1.375,0.2,1.555982872598034,1.2212883873345326,0.33469448526350143
Heston,esl,0.2,1.375,0.22499999999999998,0.8529442055558708,1.2212883873345326,-0.3683441817786618
Heston,esl,0.2,1.375,0.25,1.2808627167113322,1.2212883873345326,0.05957432937679963
Heston,esl,0.2,1.375,0.275,0.9487594691445211,1.2212883873345326,-0.27252891819001146
Heston,esl,0.2,1.375,0.3,0.8833004628411021,1.2212883873345326,-0.3379879244934305
Heston,esl,0.2,1.75,0.1,0.7654738312899046,1.2212883873345326,-0.45581455604462795
Heston,esl,0.2,1.75,0.125,0.7461106544841238,1.2212883873345326,-0.47517773285040876
Heston,esl,0.2,1.75,0.15,0.7941181714012548,1.2212883873345326,-0.42717021593327775
Heston,esl,0.2,1.75,0.175,0.5847590925687327,1.2212883873345326,-0.6365292947657999
Heston,esl,0.2,1.75,0.2,1.3077446629746916,1.2212883873345326,0.08645627564015901
Heston,esl,0.2,1.75,0.22499999999999998,1.1657565236578176,1.2212883873345326,-0.05553186367671503
Heston,esl,0.2,1.75,0.25,1.19402901256384,1.2212883873345326,-0.027259374770692624
Heston,esl,0.2,1.75,0.275,1.058690125704723,1.2212883873345326,-0.16259826162980962
Heston,esl,0.2,1.75,0.3,0.8887654555391955,1.2212883873345326,-0.3325229317953371
Heston,esl,0.2,2.125,0.1,0.5341836879827212,1.2212883873345326,-0.6871046993518114
Heston,esl,0.2,2.125,0.125,0.734827694557856,1.2212883873345326,-0.4864606927766766
Heston,esl,0.2,2.125,0.15,0.6803763633386217,1.2212883873345326,-0.5409120239959109
Heston,esl,0.2,2.125,0.175,1.02376233082293,1.2212883873345326,-0.1975260565116026
Heston,esl,0.2,2.125,0.2,1.1266366275335002,1.2212883873345326,-0.09465175980103235
Heston,esl,0.2,2.125,0.22499999999999998,0.8891757083647536,1.2212883873345326,-0.33211267896977903
Heston,esl,0.2,2.125,0.25,2.0142013445410933,1.2212883873345326,0.7929129572065607
Heston,esl,0.2,2.125,0.275,1.1798617523288972,1.2212883873345326,-0.04142663500563537
Heston,esl,0.2,2.125,0.3,2.3864541401931603,1.2212883873345326,1.1651657528586277
Heston,esl,0.2,2.5,0.1,0.5706158600113385,1.2212883873345326,-0.6506725273231941
Heston,esl,0.2,2.5,0.125,1.0613764026188126,1.2212883873345326,-0.15991198471572
Heston,esl,0.2,2.5,0.15,0.6078441051369516,1.2212883873345326,-0.613444282197581
Heston,esl,0.2,2.5,0.175,1.7698489458909759,1.2212883873345326,0.5485605585564433
Heston,esl,0.2,2.5,0.2,0.9146801576777468,1.2212883873345326,-0.3066082296567858
Heston,esl,0.2,2.5,0.22499999999999998,0.974871193070123,1.2212883873345326,-0.24641719426440956
Heston,esl,0.2,2.5,0.25,1.0778892100232071,1.2212883873345326,-0.14339917731132545
Heston,esl,0.2,2.5,0.275,1.0813164657231056,1.2212883873345326,-0.13997192161142702
Heston,esl,0.2,2.5,0.3,1.3507115026941698,1.2212883873345326,0.12942311535963724
Heston,esl,0.2,2.875,0.1,0.7384053060036638,1.2212883873345326,-0.48288308133086877
Heston,esl,0.2,2.875,0.125,0.7168412521604564,1.2212883873345326,-0.5044471351740762
Heston,esl,0.2,2.875,0.15,0.6646759541258055,1.2212883873345326,-0.5566124332087271
Heston,esl,0.2,2.875,0.175,0.8714132343330652,1.2212883873345326,-0.34987515300146743
Heston,esl,0.2,2.875,0.2,0.8675697640280257,1.2212883873345326,-0.35371862330650694
Heston,esl,0.2,2.875,0.22499999999999998,1.0734234686070148,1.2212883873345326,-0.14786491872751784
Heston,esl,0.2,2.875,0.25,1.2082996938031552,1.2212883873345326,-0.012988693531377438
Heston,esl,0.2,2.875,0.275,2.6922564790590755,1.2212883873345326,1.470968091724543
Heston,esl,0.2,2.875,0.3,1.6980279228641368,1.2212883873345326,0.47673953552960424
Heston,esl,0.2,3.25,0.1,1.0185114934276829,1.2212883873345326,-0.20277689390684972
Heston,esl,0.2,3.25,0.125,0.7862092428701637,1.2212883873345326,-0.4350791444643689
Heston,esl,0.2,3.25,0.15,1.1554226174842404,1.2212883873345326,-0.06586576985029224
Heston,esl,0.2,3.25,0.175,0.9517511515004822,1.2212883873345326,-0.2695372358340504
Heston,esl,0.2,3.25,0.2,0.910230986582214,1.2212883873345326,-0.3110574007523186
Heston,esl,0.2,3.25,0.22499999999999998,0.9373905201368053,1.2212883873345326,-0.28389786719772725
Heston,esl,0.2,3.25,0.25,1.5770079386822853,1.2212883873345326,0.3557195513477527
Heston,esl,0.2,3.25,0.275,1.2104896297105263,1.2212883873345326,-0.010798757624006283
Heston,esl,0.2,3.25,0.3,2.328863836858601,1.2212883873345326,1.1075754495240686
Heston,esl,0.2,3.625,0.1,0.9958681979479989,1.2212883873345326,-0.22542018938653374
Heston,esl,0.2,3.625,0.125,0.6685893035274435,1.2212883873345326,-0.5526990838070891
Heston,esl,0.2,3.625,0.15,0.9395001618464948,1.2212883873345326,-0.28178822548803784
