model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,ele,0.2,-0.3,0.0,-0.2579499431464126,-0.10366911673044588,-0.15428082641596674
Jump,ele,0.2,-0.3,0.125,0.10251545827044217,-0.10366911673044588,0.20618457500088805
Jump,ele,0.2,-0.3,0.25,0.20152033087757593,-0.10366911673044588,0.3051894476080218
Jump,ele,0.2,-0.3,0.375,0.4056323986932251,-0.10366911673044588,0.509301515423671
Jump,ele,0.2,-0.3,0.5,0.43347996815043066,-0.10366911673044588,0.5371490848808765
Jump,ele,0.2,-0.3,0.625,0.42673744623582976,-0.10366911673044588,0.5304065629662756
Jump,ele,0.2,-0.3,0.75,0.5337141021995682,-0.10366911673044588,0.637383218930014
Jump,ele,0.2,-0.3,0.875,0.55143476665738,-0.10366911673044588,0.6551038833878259
Jump,ele,0.2,-0.3,1.0,0.5983368835495069,-0.10366911673044588,0.7020060002799527
Jump,ele,0.2,-0.22499999999999998,0.0,-0.12502039653622343,-0.10366911673044588,-0.021351279805777557
Jump,ele,0.2,-0.22499999999999998,0.125,0.050020192105870054,-0.10366911673044588,0.15368930883631593
Jump,ele,0.2,-0.22499999999999998,0.25,0.11956658507208129,-0.10366911673044588,0.22323570180252716
Jump,ele,0.2,-0.22499999999999998,0.375,0.19608006910757458,-0.10366911673044588,0.29974918583802046
Jump,ele,0.2,-0.22499999999999998,0.5,0.38721783350003447,-0.10366911673044588,0.49088695023048035
Jump,ele,0.2,-0.22499999999999998,0.625,0.4301474765556945,-0.10366911673044588,0.5338165932861404
Jump,ele,0.2,-0.22499999999999998,0.75,0.4200475003136557,-0.10366911673044588,0.5237166170441016
Jump,ele,0.2,-0.22499999999999998,0.875,0.5371067872387156,-0.10366911673044588,0.6407759039691615
Jump,ele,0.2,-0.22499999999999998,1.0,0.5372029430273826,-0.10366911673044588,0.6408720597578285
Jump,ele,0.2,-0.15,0.0,-0.1987994769881708,-0.10366911673044588,-0.09513036025772492
Jump,ele,0.2,-0.15,0.125,-0.07174119099938459,-0.10366911673044588,0.03192792573106129
Jump,ele,0.2,-0.15,0.25,0.019178651005596237,-0.10366911673044588,0.12284776773604211
Jump,ele,0.2,-0.15,0.375,0.09256919375920525,-0.10366911673044588,0.19623831048965112
Jump,ele,0.2,-0.15,0.5,0.25153960298024747,-0.10366911673044588,0.35520871971069334
Jump,ele,0.2,-0.15,0.625,0.18464493635408785,-0.10366911673044588,0.28831405308453373
Jump,ele,0.2,-0.15,0.75,0.31115559849629837,-0.10366911673044588,0.41482471522674425
Jump,ele,0.2,-0.15,0.875,0.3842657329421333,-0.10366911673044588,0.48793484967257916
Jump,ele,0.2,-0.15,1.0,0.4948521500766434,-0.10366911673044588,0.5985212668070893
Jump,ele,0.2,-0.07500000000000001,0.0,-0.13576133129381218,-0.10366911673044588,-0.032092214563366306
Jump,ele,0.2,-0.07500000000000001,0.125,-0.1448944389530603,-0.10366911673044588,-0.041225322222614436
Jump,ele,0.2,-0.07500000000000001,0.25,-0.09519086331800009,-0.10366911673044588,0.008478253412445791
Jump,ele,0.2,-0.07500000000000001,0.375,0.15731390391885247,-0.10366911673044588,0.26098302064929835
Jump,ele,0.2,-0.07500000000000001,0.5,-0.011601674236533466,-0.10366911673044588,0.09206744249391241
Jump,ele,0.2,-0.07500000000000001,0.625,0.06748679361658194,-0.10366911673044588,0.17115591034702782
Jump,ele,0.2,-0.07500000000000001,0.75,0.07137565092419718,-0.10366911673044588,0.17504476765464305
Jump,ele,0.2,-0.07500000000000001,0.875,0.4047243533189313,-0.10366911673044588,0.5083934700493772
Jump,ele,0.2,-0.07500000000000001,1.0,0.13162797449458985,-0.10366911673044588,0.23529709122503573
Jump,ele,0.2,0.0,0.0,-0.1604955446017503,-0.10366911673044588,-0.05682642787130443
