model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,entl,0.2,-0.3,0.0,-0.27287462996034095,-0.08403079400852875,-0.1888438359518122
Jump,entl,0.2,-0.3,0.125,0.17911392650531696,-0.08403079400852875,0.26314472051384574
Jump,entl,0.2,-0.3,0.25,0.1796868504032106,-0.08403079400852875,0.2637176444117394
Jump,entl,0.2,-0.3,0.375,0.3457448841102586,-0.08403079400852875,0.42977567811878736
Jump,entl,0.2,-0.3,0.5,0.3571745063552895,-0.08403079400852875,0.4412053003638183
Jump,entl,0.2,-0.3,0.625,0.3497127729627,-0.08403079400852875,0.43374356697122873
Jump,entl,0.2,-0.3,0.75,0.4146387758581697,-0.08403079400852875,0.49866956986669847
Jump,entl,0.2,-0.3,0.875,0.378447099165499,-0.08403079400852875,0.46247789317402777
Jump,entl,0.2,-0.3,1.0,0.4269954764276122,-0.08403079400852875,0.511026270436141
Jump,entl,0.2,-0.22499999999999998,0.0,-0.20194983544817635,-0.08403079400852875,-0.1179190414396476
Jump,entl,0.2,-0.22499999999999998,0.125,0.015335127455390417,-0.08403079400852875,0.09936592146391918
Jump,entl,0.2,-0.22499999999999998,0.25,0.11049586688069778,-0.08403079400852875,0.19452666088922654
Jump,entl,0.2,-0.22499999999999998,0.375,0.293617709130356,-0.08403079400852875,0.37764850313888476
Jump,entl,0.2,-0.22499999999999998,0.5,0.23019301425064662,-0.08403079400852875,0.3142238082591754
Jump,entl,0.2,-0.22499999999999998,0.625,0.2840089676086818,-0.08403079400852875,0.3680397616172105
Jump,entl,0.2,-0.22499999999999998,0.75,0.3797018530104042,-0.08403079400852875,0.46373264701893296
Jump,entl,0.2,-0.22499999999999998,0.875,0.4181291886846957,-0.08403079400852875,0.5021599826932244
Jump,entl,0.2,-0.22499999999999998,1.0,0.42198207570263147,-0.08403079400852875,0.5060128697111602
Jump,entl,0.2,-0.15,0.0,-0.24307296546537913,-0.08403079400852875,-0.15904217145685037
Jump,entl,0.2,-0.15,0.125,-0.13456946779250462,-0.08403079400852875,-0.05053867378397586
Jump,entl,0.2,-0.15,0.25,0.012430226853780634,-0.08403079400852875,0.09646102086230939
Jump,entl,0.2,-0.15,0.375,0.17958466120001979,-0.08403079400852875,0.26361545520854857
Jump,entl,0.2,-0.15,0.5,0.16727937665912262,-0.08403079400852875,0.2513101706676514
Jump,entl,0.2,-0.15,0.625,0.22504126633963464,-0.08403079400852875,0.30907206034816337
Jump,entl,0.2,-0.15,0.75,0.3571505840934526,-0.08403079400852875,0.4411813781019814
Jump,entl,0.2,-0.15,0.875,0.3020765924757373,-0.08403079400852875,0.38610738648426607
Jump,entl,0.2,-0.15,1.0,0.3728013902660684,-0.08403079400852875,0.45683218427459715
Jump,entl,0.2,-0.07500000000000001,0.0,-0.17591534757750618,-0.08403079400852875,-0.09188455356897743
Jump,entl,0.2,-0.07500000000000001,0.125,-0.1952139449874091,-0.08403079400852875,-0.11118315097888035
Jump,entl,0.2,-0.07500000000000001,0.25,-0.08412278070743226,-0.08403079400852875,-9.198669890350675e-05
Jump,entl,0.2,-0.07500000000000001,0.375,-0.04882860470717843,-0.08403079400852875,0.03520218930135032
Jump,entl,0.2,-0.07500000000000001,0.5,0.09343176464741847,-0.08403079400852875,0.17746255865594723
