model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,entw,0.2,-0.3,0.0,0.0071236461361599,0.43451681552927357,-0.42739316939311367
Jump,entw,0.2,-0.3,0.125,inf,0.43451681552927357,inf
Jump,entw,0.2,-0.3,0.25,114.24161920817488,0.43451681552927357,113.8071023926456
Jump,entw,0.2,-0.3,0.375,inf,0.43451681552927357,inf
Jump,entw,0.2,-0.3,0.5,inf,0.43451681552927357,inf
Jump,entw,0.2,-0.3,0.625,57.69723032305534,0.43451681552927357,57.262713507526065
Jump,entw,0.2,-0.3,0.75,12.594829316489204,0.43451681552927357,12.16031250095993
Jump,entw,0.2,-0.3,0.875,inf,0.43451681552927357,inf
Jump,entw,0.2,-0.3,1.0,224.35019599501223,0.43451681552927357,223.91567917948296
Jump,entw,0.2,-0.22499999999999998,0.0,0.001596340655337647,0.43451681552927357,-0.4329204748739359
Jump,entw,0.2,-0.22499999999999998,0.125,273.9326403234655,0.43451681552927357,273.4981235079362
Jump,entw,0.2,-0.22499999999999998,0.25,79.36075435423082,0.43451681552927357,78.92623753870154
Jump,entw,0.2,-0.22499999999999998,0.375,25.841735524516753,0.43451681552927357,25.40721870898748
Jump,entw,0.2,-0.22499999999999998,0.5,8.510073637698161,0.43451681552927357,8.075556822168888
Jump,entw,0.2,-0.22499999999999998,0.625,347.509399166663,0.43451681552927357,347.07488235113374
Jump,entw,0.2,-0.22499999999999998,0.75,2.037444985620151,0.43451681552927357,1.6029281700908775
Jump,entw,0.2,-0.22499999999999998,0.875,32.248428878320674,0.43451681552927357,31.8139120627914
Jump,entw,0.2,-0.22499999999999998,1.0,7.4637982183726415,0.43451681552927357,7.029281402843368
Jump,entw,0.2,-0.15,0.0,0.0015311350421640668,0.43451681552927357,-0.4329856804871095
Jump,entw,0.2,-0.15,0.125,16.605050698842074,0.43451681552927357,16.1705338833128
Jump,entw,0.2,-0.15,0.25,75.59852749428453,0.43451681552927357,75.16401067875525
Jump,entw,0.2,-0.15,0.375,51.619317064245216,0.43451681552927357,51.184800248715945
Jump,entw,0.2,-0.15,0.5,308.34904689383427,0.43451681552927357,307.914530078305
Jump,entw,0.2,-0.15,0.625,17.738825595504665,0.43451681552927357,17.30430877997539
Jump,entw,0.2,-0.15,0.75,25.10915521623312,0.43451681552927357,24.674638400703845
Jump,entw,0.2,-0.15,0.875,41.149603850767605,0.43451681552927357,40.715087035238334
Jump,entw,0.2,-0.15,1.0,122.4863367360806,0.43451681552927357,122.05181992055132
Jump,entw,0.2,-0.07500000000000001,0.0,0.0036028969238084407,0.43451681552927357,-0.43091391860546513
Jump,entw,0.2,-0.07500000000000001,0.125,10.64384400224506,0.43451681552927357,10.209327186715788
Jump,entw,0.2,-0.07500000000000001,0.25,9.0173194186823,0.43451681552927357,8.582802603153027
Jump,entw,0.2,-0.07500000000000001,0.375,9.515662831753989,0.43451681552927357,9.081146016224716
Jump,entw,0.2,-0.07500000000000001,0.5,11.083042921343274,0.43451681552927357,10.648526105814001
Jump,entw,0.2,-0.07500000000000001,0.625,590.2735200383495,0.43451681552927357,589.8390032228202
Jump,entw,0.2,-0.07500000000000001,0.75,184.15925262421666,0.43451681552927357,183.7247358086874
Jump,entw,0.2,-0.07500000000000001,0.875,7.345057805036799,0.43451681552927357,6.910540989507525
Jump,entw,0.2,-0.07500000000000001,1.0,1.0924786499318104,0.43451681552927357,0.6579618344025369
Jump,entw,0.2,0.0,0.0,0.003067782372232042,0.43451681552927357,-0.43144903315704153
Jump,entw,0.2,0.0,0.125,0.008843880141990779,0.43451681552927357,-0.4256729353872828
Jump,entw,0.2,0.0,0.25,0.029788520507133542,0.43451681552927357,-0.40472829502214
Jump,entw,0.2,0.0,0.375,0.10640978137097434,0.43451681552927357,-0.3281070341582992
Jump,entw,0.2,0.0,0.5,0.10232356525010111,0.43451681552927357,-0.33219325027917246
