model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,esl,0.2,-0.3,0.0,0.2720280116012687,0.8313151485528683,-0.5592871369515995
Jump,esl,0.2,-0.3,0.125,1.3314819441760013,0.8313151485528683,0.500166795623133
Jump,esl,0.2,-0.3,0.25,1.4086784097464373,0.8313151485528683,0.5773632611935691
Jump,esl,0.2,-0.3,0.375,1.2396807945447748,0.8313151485528683,0.4083656459919065
Jump,esl,0.2,-0.3,0.5,1.219622201528534,0.8313151485528683,0.3883070529756658
Jump,esl,0.2,-0.3,0.625,1.0778858477122635,0.8313151485528683,0.24657069915939522
Jump,esl,0.2,-0.3,0.75,1.0192605876579466,0.8313151485528683,0.18794543910507833
Jump,esl,0.2,-0.3,0.875,0.9406365806258533,0.8313151485528683,0.10932143207298506
Jump,esl,0.2,-0.3,1.0,1.0398051545059195,0.8313151485528683,0.20849000595305123
Jump,esl,0.2,-0.22499999999999998,0.0,0.2861701249497776,0.8313151485528683,-0.5451450236030906
Jump,esl,0.2,-0.22499999999999998,0.125,0.894472864107654,0.8313151485528683,0.06315771555478578
Jump,esl,0.2,-0.22499999999999998,0.25,1.0871895923318284,0.8313151485528683,0.2558744437789602
Jump,esl,0.2,-0.22499999999999998,0.375,1.1516881806744639,0.8313151485528683,0.3203730321215956
Jump,esl,0.2,-0.22499999999999998,0.5,1.2248999747654992,0.8313151485528683,0.3935848262126309
Jump,esl,0.2,-0.22499999999999998,0.625,1.0950540460886384,0.8313151485528683,0.2637388975357702
Jump,esl,0.2,-0.22499999999999998,0.75,1.212940974834194,0.8313151485528683,0.3816258262813257
Jump,esl,0.2,-0.22499999999999998,0.875,1.2060049732776301,0.8313151485528683,0.37468982472476187
Jump,esl,0.2,-0.22499999999999998,1.0,0.9996101654987162,0.8313151485528683,0.16829501694584792
Jump,esl,0.2,-0.15,0.0,0.2902365547258926,0.8313151485528683,-0.5410785938269757
Jump,esl,0.2,-0.15,0.125,0.635438379382551,0.8313151485528683,-0.19587676917031727
Jump,esl,0.2,-0.15,0.25,0.8823747383385749,0.8313151485528683,0.05105958978570668
Jump,esl,0.2,-0.15,0.375,1.01090508548566,0.8313151485528683,0.1795899369327918
Jump,esl,0.2,-0.15,0.5,0.9158879710609507,0.8313151485528683,0.0845728225080824
Jump,esl,0.2,-0.15,0.625,1.1313409148016698,0.8313151485528683,0.3000257662488015
Jump,esl,0.2,-0.15,0.75,1.2555510875617069,0.8313151485528683,0.4242359390088386
Jump,esl,0.2,-0.15,0.875,1.129027202059064,0.8313151485528683,0.2977120535061957
Jump,esl,0.2,-0.15,1.0,1.1495364187599466,0.8313151485528683,0.31822127020707835
Jump,esl,0.2,-0.07500000000000001,0.0,0.29037621370573624,0.8313151485528683,-0.5409389348471321
Jump,esl,0.2,-0.07500000000000001,0.125,0.48375169223555164,0.8313151485528683,-0.3475634563173166
Jump,esl,0.2,-0.07500000000000001,0.25,0.625469991113007,0.8313151485528683,-0.2058451574398612
Jump,esl,0.2,-0.07500000000000001,0.375,0.6932419664217583,0.8313151485528683,-0.13807318213110997
Jump,esl,0.2,-0.07500000000000001,0.5,0.8595055558363804,0.8313151485528683,0.028190407283512187
Jump,esl,0.2,-0.07500000000000001,0.625,1.022403730533994,0.8313151485528683,0.19108858198112566
Jump,esl,0.2,-0.07500000000000001,0.75,0.9795353653522272,0.8313151485528683,0.14822021679935893
Jump,esl,0.2,-0.07500000000000001,0.875,0.9614810096245342,0.8313151485528683,0.13016586107166594
Jump,esl,0.2,-0.07500000000000001,1.0,0.8678883512182252,0.8313151485528683,0.03657320266535691
Jump,esl,0.2,0.0,0.0,0.17043854524391355,0.8313151485528683,-0.6608766033089547
Jump,esl,0.2,0.0,0.125,0.342046865216002,0.8313151485528683,-0.4892682833368662
Jump,esl,0.2,0.0,0.25,0.3687838110164065,0.8313151485528683,-0.46253133753646175
Jump,esl,0.2,0.0,0.375,0.4232682010760087,0.8313151485528683,-0.40804694747685955
Jump,esl,0.2,0.0,0.5,0.6644769440880509,0.8313151485528683,-0.16683820446481734
Jump,esl,0.2,0.0,0.625,0.6200658851054053,0.8313151485528683,-0.21124926344746298
Jump,esl,0.2,0.0,0.75,0.5802501933509652,0.8313151485528683,-0.2510649552019031
Jump,esl,0.2,0.0,0.875,0.6704236996995152,0.8313151485528683,-0.16089144885335305
Jump,esl,0.2,0.0,1.0,0.6288867575409831,0.8313151485528683,-0.20242839101188514
Jump,esl,0.2,0.07500000000000001,0.0,0.273121366543068,0.8313151485528683,-0.5581937820098002
Jump,esl,0.2,0.07500000000000001,0.125,0.31055882042388583,0.8313151485528683,-0.5207563281289824
Jump,esl,0.2,0.07500000000000001,0.25,0.33873216256715355,0.8313151485528683,-0.4925829859857147
Jump,esl,0.2,0.07500000000000001,0.375,0.2892225253764379,0.8313151485528683,-0.5420926231764304
Jump,esl,0.2,0.07500000000000001,0.5,0.3638920158390623,0.8313151485528683,-0.467423132713806
Jump,esl,0.2,0.07500000000000001,0.625,0.4059346735317035,0.8313151485528683,-0.4253804750211648
Jump,esl,0.2,0.07500000000000001,0.75,0.2796920249628954,0.8313151485528683,-0.5516231235899729
Jump,esl,0.2,0.07500000000000001,0.875,0.38565873878205476,0.8313151485528683,-0.4456564097708135
Jump,esl,0.2,0.07500000000000001,1.0,0.3870929736920287,0.8313151485528683,-0.44422217486083954
Jump,esl,0.2,0.14999999999999997,0.0,0.2659099439189081,0.8313151485528683,-0.5654052046339602
Jump,esl,0.2,0.14999999999999997,0.125,0.3367770748326488,0.8313151485528683,-0.49453807372021946
Jump,esl,0.2,0.14999999999999997,0.25,0.2548937497842195,0.8313151485528683,-0.5764213987686487
Jump,esl,0.2,0.14999999999999997,0.375,0.31983698605721944,0.8313151485528683,-0.5114781624956488
Jump,esl,0.2,0.14999999999999997,0.5,0.30099812467593323,0.8313151485528683,-0.530317023876935
Jump,esl,0.2,0.14999999999999997,0.625,0.22426763101689215,0.8313151485528683,-0.6070475175359761
Jump,esl,0.2,0.14999999999999997,0.75,-0.14514887401867435,0.8313151485528683,-0.9764640225715426
Jump,esl,0.2,0.14999999999999997,0.875,0.09266560072408658,0.8313151485528683,-0.7386495478287817
Jump,esl,0.2,0.14999999999999997,1.0,-0.02275141564476607,0.8313151485528683,-0.8540665641976344
Jump,esl,0.2,0.22500000000000003,0.0,0.24562661969523303,0.8313151485528683,-0.5856885288576352
Jump,esl,0.2,0.22500000000000003,0.125,0.44817150019347335,0.8313151485528683,-0.3831436483593949
Jump,esl,0.2,0.22500000000000003,0.25,0.24746602437011567,0.8313151485528683,-0.5838491241827526
Jump,esl,0.2,0.22500000000000003,0.375,0.5331426759523274,0.8313151485528683,-0.2981724726005408
Jump,esl,0.2,0.22500000000000003,0.5,0.11220438600901561,0.8313151485528683,-0.7191107625438526
Jump,esl,0.2,0.22500000000000003,0.625,-0.23523983812136784,0.8313151485528683,-1.066554986674236
Jump,esl,0.2,0.22500000000000003,0.75,-0.5455410674519223,0.8313151485528683,-1.3768562160047906
Jump,esl,0.2,0.22500000000000003,0.875,-0.41285142279428977,0.8313151485528683,-1.244166571347158
Jump,esl,0.2,0.22500000000000003,1.0,-1.055314882527223,0.8313151485528683,-1.8866300310800912
Jump,esl,0.2,0.3,0.0,0.16008902895596305,0.8313151485528683,-0.6712261195969051
Jump,esl,0.2,0.3,0.125,0.47166482697960405,0.8313151485528683,-0.3596503215732642
Jump,esl,0.2,0.3,0.25,0.2362626224614427,0.8313151485528683,-0.5950525260914256
Jump,esl,0.2,0.3,0.375,0.28910295446415407,0.8313151485528683,-0.5422121940887141
Jump,esl,0.2,0.3,0.5,-0.5831229254697539,0.8313151485528683,-1.4144380740226221
Jump,esl,0.2,0.3,0.625,-0.4028650082565692,0.8313151485528683,-1.2341801568094375
Jump,esl,0.2,0.3,0.75,-0.61000084219789,0.8313151485528683,-1.4413159907507582
Jump,esl,0.2,0.3,0.875,-0.908696835099189,0.8313151485528683,-1.7400119836520571
Jump,esl,0.2,0.3,1.0,-1.3444850698644686,0.8313151485528683,-2.175800218417337
