model,risk_type,t,K,moneyness,MR
GBM,ele,0.0,8.0,1.25,-0.4685907337352023
GBM,ele,0.05,8.0,1.25,-0.44940305365806543
GBM,ele,0.1,8.0,1.25,-0.42828750648936664
GBM,ele,0.15000000000000002,8.0,1.25,-0.4082440955152681
GBM,ele,0.2,8.0,1.25,-0.38598367479963336
GBM,ele,0.25,8.0,1.25,-0.36363448749957294
GBM,ele,0.30000000000000004,8.0,1.25,-0.34250109941293505
GBM,ele,0.35000000000000003,8.0,1.25,-0.31873396060910375
GBM,ele,0.4,8.0,1.25,-0.29678968975774456
GBM,ele,0.45,8.0,1.25,-0.27407394770834725
GBM,ele,0.5,8.0,1.25,-0.24985745378854496
GBM,ele,0.55,8.0,1.25,-0.22769381762579788
GBM,ele,0.6000000000000001,8.0,1.25,-0.20336315733232235
GBM,ele,0.65,8.0,1.25,-0.17984830213337544
GBM,ele,0.7000000000000001,8.0,1.25,-0.15426852382364886
GBM,ele,0.75,8.0,1.25,-0.1299774724271079
GBM,ele,0.8,8.0,1.25,-0.10724356784513456
GBM,ele,0.8500000000000001,8.0,1.25,-0.07892488726574853
GBM,ele,0.9,8.0,1.25,-0.05451542598891779
GBM,ele,0.9500000000000001,8.0,1.25,-0.026596542054019956
GBM,ele,1.0,8.0,1.25,0.0
GBM,ele,0.0,8.4,1.1904761904761905,-0.453016911953825
GBM,ele,0.05,8.4,1.1904761904761905,-0.43419603305647225
GBM,ele,0.1,8.4,1.1904761904761905,-0.41356024525152224
GBM,ele,0.15000000000000002,8.4,1.1904761904761905,-0.39402742046944617
GBM,ele,0.2,8.4,1.1904761904761905,-0.37237591380254453
GBM,ele,0.25,8.4,1.1904761904761905,-0.35054504391552577
GBM,ele,0.30000000000000004,8.4,1.1904761904761905,-0.3300303947769746
GBM,ele,0.35000000000000003,8.4,1.1904761904761905,-0.3070085841657867
GBM,ele,0.4,8.4,1.1904761904761905,-0.285782006144896
GBM,ele,0.45,8.4,1.1904761904761905,-0.26343649823122806
GBM,ele,0.5,8.4,1.1904761904761905,-0.24009960800259733
GBM,ele,0.55,8.4,1.1904761904761905,-0.21860926078652598
GBM,ele,0.6000000000000001,8.4,1.1904761904761905,-0.19534821133137215
GBM,ele,0.65,8.4,1.1904761904761905,-0.17289925078492518
GBM,ele,0.7000000000000001,8.4,1.1904761904761905,-0.14827569574157085
