model,risk_type,t,K,moneyness,MR
GBM,ente,0.0,8.0,1.25,-0.46015720684711725
GBM,ente,0.05,8.0,1.25,-0.44036174729677413
GBM,ente,0.1,8.0,1.25,-0.4186965283497025
GBM,ente,0.15000000000000002,8.0,1.25,-0.398130875835639
GBM,ente,0.2,8.0,1.25,-0.37562558240030064
GBM,ente,0.25,8.0,1.25,-0.35296935738928803
GBM,ente,0.30000000000000004,8.0,1.25,-0.33182864255810773
GBM,ente,0.35000000000000003,8.0,1.25,-0.3078218260760872
GBM,ente,0.4,8.0,1.25,-0.2860606084137294
GBM,ente,0.45,8.0,1.25,-0.2648563907303608
GBM,ente,0.5,8.0,1.25,-0.24072245190116204
GBM,ente,0.55,8.0,1.25,-0.2193837638605769
GBM,ente,0.6000000000000001,8.0,1.25,-0.19532719495989115
GBM,ente,0.65,8.0,1.25,-0.17287169020749282
GBM,ente,0.7000000000000001,8.0,1.25,-0.14864409518396715
GBM,ente,0.75,8.0,1.25,-0.12569116113865375
GBM,ente,0.8,8.0,1.25,-0.10457872494441589
GBM,ente,0.8500000000000001,8.0,1.25,-0.07672286254958915
GBM,ente,0.9,8.0,1.25,-0.053635237249265
GBM,ente,0.9500000000000001,8.0,1.25,-0.02620596297419764
GBM,ente,1.0,8.0,1.25,0.0
GBM,ente,0.0,8.4,1.1904761904761905,-0.4439644121859203
GBM,ente,0.05,8.4,1.1904761904761905,-0.42453268289566626
GBM,ente,0.1,8.4,1.1904761904761905,-0.4033147572286998
GBM,ente,0.15000000000000002,8.4,1.1904761904761905,-0.3833071163303068
GBM,ente,0.2,8.4,1.1904761904761905,-0.36145245962488304
GBM,ente,0.25,8.4,1.1904761904761905,-0.33929074542871684
GBM,ente,0.30000000000000004,8.4,1.1904761904761905,-0.3187505879423579
GBM,ente,0.35000000000000003,8.4,1.1904761904761905,-0.29556667105386725
GBM,ente,0.4,8.4,1.1904761904761905,-0.2745443669556392
GBM,ente,0.45,8.4,1.1904761904761905,-0.25283572372197016
GBM,ente,0.5,8.4,1.1904761904761905,-0.2297844814441823
GBM,ente,0.55,8.4,1.1904761904761905,-0.20921609828833698
GBM,ente,0.6000000000000001,8.4,1.1904761904761905,-0.1868884302638253
GBM,ente,0.65,8.4,1.1904761904761905,-0.16549341219025493
GBM,ente,0.7000000000000001,8.4,1.1904761904761905,-0.14222867936402828
GBM,ente,0.75,8.4,1.1904761904761905,-0.12108271564259787
GBM,ente,0.8,8.4,1.1904761904761905,-0.10116142375937542
GBM,ente,0.8500000000000001,8.4,1.1904761904761905,-0.07455688447279962
GBM,ente,0.9,8.4,1.1904761904761905,-0.05143326161374007
GBM,ente,0.9500000000000001,8.4,1.1904761904761905,-0.025352846772452642
GBM,ente,1.0,8.4,1.1904761904761905,0.0
GBM,ente,0.0,8.8,1.1363636363636362,-0.4222741221147003
GBM,ente,0.05,8.8,1.1363636363636362,-0.403130824057931
GBM,ente,0.1,8.8,1.1363636363636362,-0.382338783189617
GBM,ente,0.15000000000000002,8.8,1.1363636363636362,-0.3628290273864322
GBM,ente,0.2,8.8,1.1363636363636362,-0.3415203478955935
GBM,ente,0.25,8.8,1.1363636363636362,-0.3200464955883421
GBM,ente,0.30000000000000004,8.8,1.1363636363636362,-0.30006931483188437
GBM,ente,0.35000000000000003,8.8,1.1363636363636362,-0.27799911834062563
GBM,ente,0.4,8.8,1.1363636363636362,-0.2574150167762399
GBM,ente,0.45,8.8,1.1363636363636362,-0.23634207839776022
GBM,ente,0.5,8.8,1.1363636363636362,-0.21464195661167307
GBM,ente,0.55,8.8,1.1363636363636362,-0.19499423729965903
GBM,ente,0.6000000000000001,8.8,1.1363636363636362,-0.17378951551272614
GBM,ente,0.65,8.8,1.1363636363636362,-0.15369111443101258
GBM,ente,0.7000000000000001,8.8,1.1363636363636362,-0.13231539153227123
GBM,ente,0.75,8.8,1.1363636363636362,-0.11245129270279153
GBM,ente,0.8,8.8,1.1363636363636362,-0.09375392518621617
GBM,ente,0.8500000000000001,8.8,1.1363636363636362,-0.06931526092115725
GBM,ente,0.9,8.8,1.1363636363636362,-0.046956611716925556
GBM,ente,0.9500000000000001,8.8,1.1363636363636362,-0.023390957367518506
GBM,ente,1.0,8.8,1.1363636363636362,0.0
GBM,ente,0.0,9.2,1.0869565217391306,-0.3928515244514833
GBM,ente,0.05,9.2,1.0869565217391306,-0.37394293750575824
GBM,ente,0.1,9.2,1.0869565217391306,-0.3535558503798316
GBM,ente,0.15000000000000002,9.2,1.0869565217391306,-0.3345079086877789
GBM,ente,0.2,9.2,1.0869565217391306,-0.3137762591616151
GBM,ente,0.25,9.2,1.0869565217391306,-0.2930611483480955
GBM,ente,0.30000000000000004,9.2,1.0869565217391306,-0.2736751395885817
GBM,ente,0.35000000000000003,9.2,1.0869565217391306,-0.2526143524312492
GBM,ente,0.4,9.2,1.0869565217391306,-0.23250867939405018
GBM,ente,0.45,9.2,1.0869565217391306,-0.21232045604489846
GBM,ente,0.5,9.2,1.0869565217391306,-0.1919160442370369
GBM,ente,0.55,9.2,1.0869565217391306,-0.17359955968428786
GBM,ente,0.6000000000000001,9.2,1.0869565217391306,-0.153767784627742
GBM,ente,0.65,9.2,1.0869565217391306,-0.13568696860715856
GBM,ente,0.7000000000000001,9.2,1.0869565217391306,-0.11564261839653867
GBM,ente,0.75,9.2,1.0869565217391306,-0.09709528459672612
GBM,ente,0.8,9.2,1.0869565217391306,-0.07978415761525892
GBM,ente,0.8500000000000001,9.2,1.0869565217391306,-0.05927762822753935
GBM,ente,0.9,9.2,1.0869565217391306,-0.03889178672749283
GBM,ente,0.9500000000000001,9.2,1.0869565217391306,-0.019182463378976555
GBM,ente,1.0,9.2,1.0869565217391306,0.0
GBM,ente,0.0,9.6,1.0416666666666667,-0.3554269105965546
GBM,ente,0.05,9.6,1.0416666666666667,-0.3367219614077409
GBM,ente,0.1,9.6,1.0416666666666667,-0.3166789400671268
GBM,ente,0.15000000000000002,9.6,1.0416666666666667,-0.29809404664539374
GBM,ente,0.2,9.6,1.0416666666666667,-0.27796902539177004
GBM,ente,0.25,9.6,1.0416666666666667,-0.25799421617441665
GBM,ente,0.30000000000000004,9.6,1.0416666666666667,-0.2392141681520802
GBM,ente,0.35000000000000003,9.6,1.0416666666666667,-0.21895323732405347
GBM,ente,0.4,9.6,1.0416666666666667,-0.1993411890623371
GBM,ente,0.45,9.6,1.0416666666666667,-0.17998472928059883
GBM,ente,0.5,9.6,1.0416666666666667,-0.1613324104362618
GBM,ente,0.55,9.6,1.0416666666666667,-0.14480556197811145
GBM,ente,0.6000000000000001,9.6,1.0416666666666667,-0.12644563096728212
GBM,ente,0.65,9.6,1.0416666666666667,-0.11087405816465723
GBM,ente,0.7000000000000001,9.6,1.0416666666666667,-0.0936903083521552
GBM,ente,0.75,9.6,1.0416666666666667,-0.07740926759227118
GBM,ente,0.8,9.6,1.0416666666666667,-0.06126496698590478
GBM,ente,0.8500000000000001,9.6,1.0416666666666667,-0.04609521480875456
