model,risk_type,t,K,moneyness,MR
Heston,ele,0.0,8.0,1.25,-0.29256936701191893
Heston,ele,0.05,8.0,1.25,-0.2718639384918934
Heston,ele,0.1,8.0,1.25,-0.2594319257411396
Heston,ele,0.15000000000000002,8.0,1.25,-0.2536345357126679
Heston,ele,0.2,8.0,1.25,-0.24974353209748668
Heston,ele,0.25,8.0,1.25,-0.24747184137539402
Heston,ele,0.30000000000000004,8.0,1.25,-0.24365692170195463
Heston,ele,0.35000000000000003,8.0,1.25,-0.2363397717209308
Heston,ele,0.4,8.0,1.25,-0.23036568372565247
Heston,ele,0.45,8.0,1.25,-0.22302785083754717
Heston,ele,0.5,8.0,1.25,-0.20843644949229256
Heston,ele,0.55,8.0,1.25,-0.1978578189769682
Heston,ele,0.6000000000000001,8.0,1.25,-0.18534875069433265
Heston,ele,0.65,8.0,1.25,-0.16953469459768689
Heston,ele,0.7000000000000001,8.0,1.25,-0.15398040785036804
Heston,ele,0.75,8.0,1.25,-0.13521099813729287
Heston,ele,0.8,8.0,1.25,-0.11531595803741235
Heston,ele,0.8500000000000001,8.0,1.25,-0.09127029906933237
Heston,ele,0.9,8.0,1.25,-0.06527242054942994
Heston,ele,0.9500000000000001,8.0,1.25,-0.03628865900869538
Heston,ele,1.0,8.0,1.25,0.0
Heston,ele,0.0,8.4,1.1904761904761905,-0.26505535248093126
Heston,ele,0.05,8.4,1.1904761904761905,-0.2452184030892013
Heston,ele,0.1,8.4,1.1904761904761905,-0.23351226383437984
Heston,ele,0.15000000000000002,8.4,1.1904761904761905,-0.22798240670573033
Heston,ele,0.2,8.4,1.1904761904761905,-0.2241544180551922
Heston,ele,0.25,8.4,1.1904761904761905,-0.22171244656919153
Heston,ele,0.30000000000000004,8.4,1.1904761904761905,-0.21756642481771993
Heston,ele,0.35000000000000003,8.4,1.1904761904761905,-0.21004502046118068
Heston,ele,0.4,8.4,1.1904761904761905,-0.20397934844907994
Heston,ele,0.45,8.4,1.1904761904761905,-0.19647742586736194
Heston,ele,0.5,8.4,1.1904761904761905,-0.18205013558301708
Heston,ele,0.55,8.4,1.1904761904761905,-0.17236074568839665
Heston,ele,0.6000000000000001,8.4,1.1904761904761905,-0.16139468058672735
Heston,ele,0.65,8.4,1.1904761904761905,-0.14738682733749875
Heston,ele,0.7000000000000001,8.4,1.1904761904761905,-0.13479768521247626
Heston,ele,0.75,8.4,1.1904761904761905,-0.11859423204861763
Heston,ele,0.8,8.4,1.1904761904761905,-0.10129915488847063
Heston,ele,0.8500000000000001,8.4,1.1904761904761905,-0.07997865986815578
Heston,ele,0.9,8.4,1.1904761904761905,-0.05827776666821394
Heston,ele,0.9500000000000001,8.4,1.1904761904761905,-0.03265776074897053
Heston,ele,1.0,8.4,1.1904761904761905,0.0
Heston,ele,0.0,8.8,1.1363636363636362,-0.2380381793093782
Heston,ele,0.05,8.8,1.1363636363636362,-0.21914471344488407
Heston,ele,0.1,8.8,1.1363636363636362,-0.2080603404021597
Heston,ele,0.15000000000000002,8.8,1.1363636363636362,-0.2024812486950791
Heston,ele,0.2,8.8,1.1363636363636362,-0.19839099761967938
Heston,ele,0.25,8.8,1.1363636363636362,-0.19541904562762813
Heston,ele,0.30000000000000004,8.8,1.1363636363636362,-0.19059571378453444
Heston,ele,0.35000000000000003,8.8,1.1363636363636362,-0.18259815041087335
Heston,ele,0.4,8.8,1.1363636363636362,-0.1760723909695806
Heston,ele,0.45,8.8,1.1363636363636362,-0.16821436866454975
Heston,ele,0.5,8.8,1.1363636363636362,-0.15387171015629386
Heston,ele,0.55,8.8,1.1363636363636362,-0.1452320316508594
Heston,ele,0.6000000000000001,8.8,1.1363636363636362,-0.13663208128178717
Heston,ele,0.65,8.8,1.1363636363636362,-0.1253795426633888
Heston,ele,0.7000000000000001,8.8,1.1363636363636362,-0.11506264425444868
Heston,ele,0.75,8.8,1.1363636363636362,-0.10200779271282845
Heston,ele,0.8,8.8,1.1363636363636362,-0.08752687474082044
Heston,ele,0.8500000000000001,8.8,1.1363636363636362,-0.0703090807150284
Heston,ele,0.9,8.8,1.1363636363636362,-0.05092523760754242
Heston,ele,0.9500000000000001,8.8,1.1363636363636362,-0.02890555526837968
Heston,ele,1.0,8.8,1.1363636363636362,0.0
Heston,ele,0.0,9.2,1.0869565217391306,-0.21038971301707987
Heston,ele,0.05,9.2,1.0869565217391306,-0.19223701794165715
Heston,ele,0.1,9.2,1.0869565217391306,-0.18158013268786843
Heston,ele,0.15000000000000002,9.2,1.0869565217391306,-0.17576253776054984
Heston,ele,0.2,9.2,1.0869565217391306,-0.17128385065472795
Heston,ele,0.25,9.2,1.0869565217391306,-0.16760588166233792
Heston,ele,0.30000000000000004,9.2,1.0869565217391306,-0.16198442075490194
