model,risk_type,t,K,moneyness,MR
Heston,elw,0.0,8.0,1.25,0.032108879752579034
Heston,elw,0.05,8.0,1.25,0.03453470479301912
Heston,elw,0.1,8.0,1.25,0.033924154727025924
Heston,elw,0.15000000000000002,8.0,1.25,0.03184994057152468
Heston,elw,0.2,8.0,1.25,0.02819875741443112
Heston,elw,0.25,8.0,1.25,0.025055058602221347
Heston,elw,0.30000000000000004,8.0,1.25,0.022433804024725834
Heston,elw,0.35000000000000003,8.0,1.25,0.02299237208823235
Heston,elw,0.4,8.0,1.25,0.022000867564148763
Heston,elw,0.45,8.0,1.25,0.019353875819837052
Heston,elw,0.5,8.0,1.25,0.021211290462844756
Heston,elw,0.55,8.0,1.25,0.01623876700815363
Heston,elw,0.6000000000000001,8.0,1.25,0.012580191309320199
Heston,elw,0.65,8.0,1.25,0.012696002293474118
Heston,elw,0.7000000000000001,8.0,1.25,0.010436237776637824
Heston,elw,0.75,8.0,1.25,0.008497538531711868
Heston,elw,0.8,8.0,1.25,0.007677217143456483
Heston,elw,0.8500000000000001,8.0,1.25,0.0060710162739026075
Heston,elw,0.9,8.0,1.25,0.005152684064462232
Heston,elw,0.9500000000000001,8.0,1.25,0.002259372250449365
Heston,elw,1.0,8.0,1.25,0.0
Heston,elw,0.0,8.4,1.1904761904761905,0.0421987722788717
Heston,elw,0.05,8.4,1.1904761904761905,0.04513405602279086
Heston,elw,0.1,8.4,1.1904761904761905,0.04435736736044005
Heston,elw,0.15000000000000002,8.4,1.1904761904761905,0.04166039396668597
Heston,elw,0.2,8.4,1.1904761904761905,0.037688104061212035
Heston,elw,0.25,8.4,1.1904761904761905,0.033983513166952806
Heston,elw,0.30000000000000004,8.4,1.1904761904761905,0.031081046338867546
Heston,elw,0.35000000000000003,8.4,1.1904761904761905,0.031664784722225336
Heston,elw,0.4,8.4,1.1904761904761905,0.030413487192736177
Heston,elw,0.45,8.4,1.1904761904761905,0.027208138016848293
Heston,elw,0.5,8.4,1.1904761904761905,0.023156315275572714
Heston,elw,0.55,8.4,1.1904761904761905,0.022732097896075665
Heston,elw,0.6000000000000001,8.4,1.1904761904761905,0.01672103381882528
Heston,elw,0.65,8.4,1.1904761904761905,0.01650346668158309
Heston,elw,0.7000000000000001,8.4,1.1904761904761905,0.01312593351585356
Heston,elw,0.75,8.4,1.1904761904761905,0.011455586480800584
Heston,elw,0.8,8.4,1.1904761904761905,0.009886287190248533
Heston,elw,0.8500000000000001,8.4,1.1904761904761905,0.007823846960443914
Heston,elw,0.9,8.4,1.1904761904761905,0.005994760457631143
Heston,elw,0.9500000000000001,8.4,1.1904761904761905,0.002221019197073071
Heston,elw,1.0,8.4,1.1904761904761905,0.0
Heston,elw,0.0,8.8,1.1363636363636362,0.05282464385857999
Heston,elw,0.05,8.8,1.1363636363636362,0.05619377344721865
Heston,elw,0.1,8.8,1.1363636363636362,0.05529693545657555
Heston,elw,0.15000000000000002,8.8,1.1363636363636362,0.05188538392904318
Heston,elw,0.2,8.8,1.1363636363636362,0.047918695093193575
