model,risk_type,t,K,moneyness,MR
Heston,entw,0.0,8.0,1.25,0.024523729110067283
Heston,entw,0.05,8.0,1.25,0.027501850611656664
Heston,entw,0.1,8.0,1.25,0.027468997612795754
Heston,entw,0.15000000000000002,8.0,1.25,0.026213841352820788
Heston,entw,0.2,8.0,1.25,0.023377355999345317
Heston,entw,0.25,8.0,1.25,0.020486597523128536
Heston,entw,0.30000000000000004,8.0,1.25,0.019096790233225303
Heston,entw,0.35000000000000003,8.0,1.25,0.019515507225994932
Heston,entw,0.4,8.0,1.25,0.017551152697461214
Heston,entw,0.45,8.0,1.25,0.01626478650519969
Heston,entw,0.5,8.0,1.25,0.023549475484155424
Heston,entw,0.55,8.0,1.25,0.02437574015036681
Heston,entw,0.6000000000000001,8.0,1.25,0.013986041337267663
Heston,entw,0.65,8.0,1.25,0.013907675434568612
Heston,entw,0.7000000000000001,8.0,1.25,0.011223358849207887
Heston,entw,0.75,8.0,1.25,0.009166991358315224
Heston,entw,0.8,8.0,1.25,0.007938714714506245
Heston,entw,0.8500000000000001,8.0,1.25,0.0060725327305362065
Heston,entw,0.9,8.0,1.25,0.005606344117820017
Heston,entw,0.9500000000000001,8.0,1.25,0.0023423343350041925
Heston,entw,1.0,8.0,1.25,0.0
Heston,entw,0.0,8.4,1.1904761904761905,0.03365455594493616
Heston,entw,0.05,8.4,1.1904761904761905,0.037522723023719395
Heston,entw,0.1,8.4,1.1904761904761905,0.037218243549061114
Heston,entw,0.15000000000000002,8.4,1.1904761904761905,0.03490435183567575
Heston,entw,0.2,8.4,1.1904761904761905,0.031562186053281094
Heston,entw,0.25,8.4,1.1904761904761905,0.028189445243686606
Heston,entw,0.30000000000000004,8.4,1.1904761904761905,0.025874257510854815
Heston,entw,0.35000000000000003,8.4,1.1904761904761905,0.02584039428322371
Heston,entw,0.4,8.4,1.1904761904761905,0.023897905574395084
Heston,entw,0.45,8.4,1.1904761904761905,0.022525392013405643
Heston,entw,0.5,8.4,1.1904761904761905,0.08993604221531881
Heston,entw,0.55,8.4,1.1904761904761905,0.06761585637305689
Heston,entw,0.6000000000000001,8.4,1.1904761904761905,0.018411580680300688
Heston,entw,0.65,8.4,1.1904761904761905,0.01807844745815168
Heston,entw,0.7000000000000001,8.4,1.1904761904761905,0.013982831964921116
Heston,entw,0.75,8.4,1.1904761904761905,0.012131537719082486
Heston,entw,0.8,8.4,1.1904761904761905,0.010449933638857045
Heston,entw,0.8500000000000001,8.4,1.1904761904761905,0.00813976464553301
Heston,entw,0.9,8.4,1.1904761904761905,0.00669083018563299
Heston,entw,0.9500000000000001,8.4,1.1904761904761905,0.0022723057500944055
Heston,entw,1.0,8.4,1.1904761904761905,0.0
Heston,entw,0.0,8.8,1.1363636363636362,0.043416293318078614
Heston,entw,0.05,8.8,1.1363636363636362,0.04807346500718279
Heston,entw,0.1,8.8,1.1363636363636362,0.04750709679097587
Heston,entw,0.15000000000000002,8.8,1.1363636363636362,0.043958837072945345
Heston,entw,0.2,8.8,1.1363636363636362,0.0404556377005727
Heston,entw,0.25,8.8,1.1363636363636362,0.036834912524687624
Heston,entw,0.30000000000000004,8.8,1.1363636363636362,0.03365832900870136
Heston,entw,0.35000000000000003,8.8,1.1363636363636362,0.033381065570249335
Heston,entw,0.4,8.8,1.1363636363636362,0.03178849562493391
Heston,entw,0.45,8.8,1.1363636363636362,0.030530850072514104
Heston,entw,0.5,8.8,1.1363636363636362,1.9320889581379181
Heston,entw,0.55,8.8,1.1363636363636362,0.25488854191171995
Heston,entw,0.6000000000000001,8.8,1.1363636363636362,0.023941228129721104
Heston,entw,0.65,8.8,1.1363636363636362,0.022794758888299294
Heston,entw,0.7000000000000001,8.8,1.1363636363636362,0.017371144120427173
Heston,entw,0.75,8.8,1.1363636363636362,0.015041237454526124
Heston,entw,0.8,8.8,1.1363636363636362,0.013435968846507107
Heston,entw,0.8500000000000001,8.8,1.1363636363636362,0.009813505257865174
Heston,entw,0.9,8.8,1.1363636363636362,0.008245002598560536
Heston,entw,0.9500000000000001,8.8,1.1363636363636362,0.0025556270038729068
Heston,entw,1.0,8.8,1.1363636363636362,0.0
Heston,entw,0.0,9.2,1.0869565217391306,0.055298435332592266
Heston,entw,0.05,9.2,1.0869565217391306,0.06083289095163669
Heston,entw,0.1,9.2,1.0869565217391306,0.06022178599388095
Heston,entw,0.15000000000000002,9.2,1.0869565217391306,0.05498269782888543
Heston,entw,0.2,9.2,1.0869565217391306,0.05128349478758598
Heston,entw,0.25,9.2,1.0869565217391306,0.04750996205698321
Heston,entw,0.30000000000000004,9.2,1.0869565217391306,0.043856914239993605
Heston,entw,0.35000000000000003,9.2,1.0869565217391306,0.042559434485080594
Heston,entw,0.4,9.2,1.0869565217391306,0.04155207215569323
Heston,entw,0.45,9.2,1.0869565217391306,0.04343890783123561
Heston,entw,0.5,9.2,1.0869565217391306,10.7855868364655
Heston,entw,0.55,9.2,1.0869565217391306,0.9716984683964522
Heston,entw,0.6000000000000001,9.2,1.0869565217391306,0.031523340572930714
Heston,entw,0.65,9.2,1.0869565217391306,0.028469482943198177
Heston,entw,0.7000000000000001,9.2,1.0869565217391306,0.022491394568728396
Heston,entw,0.75,9.2,1.0869565217391306,0.018378884002562046
Heston,entw,0.8,9.2,1.0869565217391306,0.016032117559914738
Heston,entw,0.8500000000000001,9.2,1.0869565217391306,0.012071999527082822
Heston,entw,0.9,9.2,1.0869565217391306,0.010655585368444687
Heston,entw,0.9500000000000001,9.2,1.0869565217391306,0.0030798980288646582
Heston,entw,1.0,9.2,1.0869565217391306,0.0
Heston,entw,0.0,9.6,1.0416666666666667,0.07001161881347917
Heston,entw,0.05,9.6,1.0416666666666667,0.0765873898432301
Heston,entw,0.1,9.6,1.0416666666666667,0.07599490578708679
Heston,entw,0.15000000000000002,9.6,1.0416666666666667,0.06889342721507163
Heston,entw,0.2,9.6,1.0416666666666667,0.06495778904609062
Heston,entw,0.25,9.6,1.0416666666666667,0.06049085417355893
Heston,entw,0.30000000000000004,9.6,1.0416666666666667,0.056205924554278974
Heston,entw,0.35000000000000003,9.6,1.0416666666666667,0.054691959298452275
Heston,entw,0.4,9.6,1.0416666666666667,0.05629021965798864
Heston,entw,0.45,9.6,1.0416666666666667,0.07103644937319653
Heston,entw,0.5,9.6,1.0416666666666667,19.748604697441458
Heston,entw,0.55,9.6,1.0416666666666667,1.9781167353953122
Heston,entw,0.6000000000000001,9.6,1.0416666666666667,0.03911679277365088
Heston,entw,0.65,9.6,1.0416666666666667,0.03402219081013569
Heston,entw,0.7000000000000001,9.6,1.0416666666666667,0.028421444766104198
Heston,entw,0.75,9.6,1.0416666666666667,0.02207012296926969
Heston,entw,0.8,9.6,1.0416666666666667,0.018092113144177135
Heston,entw,0.8500000000000001,9.6,1.0416666666666667,0.014435715874263844
Heston,entw,0.9,9.6,1.0416666666666667,0.013619316124577674
Heston,entw,0.9500000000000001,9.6,1.0416666666666667,0.003431368206119334
Heston,entw,1.0,9.6,1.0416666666666667,0.0
Heston,entw,0.0,10.0,1.0,0.08711673629191496
Heston,entw,0.05,10.0,1.0,0.09617141380805427
Heston,entw,0.1,10.0,1.0,0.09526978803417374
Heston,entw,0.15000000000000002,10.0,1.0,0.08458602227514844
Heston,entw,0.2,10.0,1.0,0.08047079412997138
Heston,entw,0.25,10.0,1.0,0.07612038019108436
Heston,entw,0.30000000000000004,10.0,1.0,0.07137505442235481
Heston,entw,0.35000000000000003,10.0,1.0,0.07047548967769068
Heston,entw,0.4,10.0,1.0,0.0741806321719023
Heston,entw,0.45,10.0,1.0,0.15500586619617285
Heston,entw,0.5,10.0,1.0,29.54540994755287
Heston,entw,0.55,10.0,1.0,2.6150637368952974
Heston,entw,0.6000000000000001,10.0,1.0,0.04674849024847716
Heston,entw,0.65,10.0,1.0,0.040413647634861105
Heston,entw,0.7000000000000001,10.0,1.0,0.03424399379642873
Heston,entw,0.75,10.0,1.0,0.02661825318275257
Heston,entw,0.8,10.0,1.0,0.020105215910008134
Heston,entw,0.8500000000000001,10.0,1.0,0.01642255360688205
Heston,entw,0.9,10.0,1.0,0.014227720731624816
Heston,entw,0.9500000000000001,10.0,1.0,0.0040863335790413124
Heston,entw,1.0,10.0,1.0,0.0
Heston,entw,0.0,10.4,0.9615384615384615,0.10817368503035008
Heston,entw,0.05,10.4,0.9615384615384615,0.11536743267465321
Heston,entw,0.1,10.4,0.9615384615384615,0.11306590129573557
Heston,entw,0.15000000000000002,10.4,0.9615384615384615,0.10158644930308891
Heston,entw,0.2,10.4,0.9615384615384615,0.09713421768270614
Heston,entw,0.25,10.4,0.9615384615384615,0.09114119773273344
Heston,entw,0.30000000000000004,10.4,0.9615384615384615,0.08631973283042482
Heston,entw,0.35000000000000003,10.4,0.9615384615384615,0.08462766208500905
Heston,entw,0.4,10.4,0.9615384615384615,0.0946327331058785
Heston,entw,0.45,10.4,0.9615384615384615,0.5244678587453961
Heston,entw,0.5,10.4,0.9615384615384615,36.743503066221706
Heston,entw,0.55,10.4,0.9615384615384615,2.397469135425373
Heston,entw,0.6000000000000001,10.4,0.9615384615384615,0.05333897678142119
Heston,entw,0.65,10.4,0.9615384615384615,0.046672778499287304
Heston,entw,0.7000000000000001,10.4,0.9615384615384615,0.04106300834613541
Heston,entw,0.75,10.4,0.9615384615384615,0.03041354825746323
Heston,entw,0.8,10.4,0.9615384615384615,0.02233784581755116
Heston,entw,0.8500000000000001,10.4,0.9615384615384615,0.017901804780483532
Heston,entw,0.9,10.4,0.9615384615384615,0.014187216016739113
Heston,entw,0.9500000000000001,10.4,0.9615384615384615,0.0048279283861834
Heston,entw,1.0,10.4,0.9615384615384615,0.0
Heston,entw,0.0,10.8,0.9259259259259258,0.12709359389277686
Heston,entw,0.05,10.8,0.9259259259259258,0.13316394222414174
Heston,entw,0.1,10.8,0.9259259259259258,0.13086079208352053
Heston,entw,0.15000000000000002,10.8,0.9259259259259258,0.1171180188377583
Heston,entw,0.2,10.8,0.9259259259259258,0.11202272835750882
Heston,entw,0.25,10.8,0.9259259259259258,0.1061107147437601
Heston,entw,0.30000000000000004,10.8,0.9259259259259258,0.100681684429349
Heston,entw,0.35000000000000003,10.8,0.9259259259259258,0.09807144636214948
Heston,entw,0.4,10.8,0.9259259259259258,0.12178975346117538
Heston,entw,0.45,10.8,0.9259259259259258,1.6693223407120175
Heston,entw,0.5,10.8,0.9259259259259258,39.83623737029844
Heston,entw,0.55,10.8,0.9259259259259258,1.3325123085797062
Heston,entw,0.6000000000000001,10.8,0.9259259259259258,0.058742567224738584
Heston,entw,0.65,10.8,0.9259259259259258,0.05322034795386865
Heston,entw,0.7000000000000001,10.8,0.9259259259259258,0.047766966468232974
Heston,entw,0.75,10.8,0.9259259259259258,0.0329628053915727
Heston,entw,0.8,10.8,0.9259259259259258,0.02407398592274279
Heston,entw,0.8500000000000001,10.8,0.9259259259259258,0.019487913612462382
Heston,entw,0.9,10.8,0.9259259259259258,0.014604175542729747
Heston,entw,0.9500000000000001,10.8,0.9259259259259258,0.005739397476026031
Heston,entw,1.0,10.8,0.9259259259259258,0.0
Heston,entw,0.0,11.2,0.8928571428571429,0.13797716678746696
Heston,entw,0.05,11.2,0.8928571428571429,0.14346607619795892
Heston,entw,0.1,11.2,0.8928571428571429,0.14188971023446428
Heston,entw,0.15000000000000002,11.2,0.8928571428571429,0.12746861541269827
Heston,entw,0.2,11.2,0.8928571428571429,0.12247098931703926
Heston,entw,0.25,11.2,0.8928571428571429,0.11725988122497699
Heston,entw,0.30000000000000004,11.2,0.8928571428571429,0.11192898082022462
Heston,entw,0.35000000000000003,11.2,0.8928571428571429,0.10938750125618779
Heston,entw,0.4,11.2,0.8928571428571429,0.1505875244255015
Heston,entw,0.45,11.2,0.8928571428571429,3.272652361121563
Heston,entw,0.5,11.2,0.8928571428571429,35.004137579270285
Heston,entw,0.55,11.2,0.8928571428571429,0.4535290217135317
Heston,entw,0.6000000000000001,11.2,0.8928571428571429,0.06231435668718799
Heston,entw,0.65,11.2,0.8928571428571429,0.06000388109396293
Heston,entw,0.7000000000000001,11.2,0.8928571428571429,0.060733690613437696
Heston,entw,0.75,11.2,0.8928571428571429,0.037118482821240306
Heston,entw,0.8,11.2,0.8928571428571429,0.02525997477604336
Heston,entw,0.8500000000000001,11.2,0.8928571428571429,0.020768126787988228
Heston,entw,0.9,11.2,0.8928571428571429,0.015746727268135974
Heston,entw,0.9500000000000001,11.2,0.8928571428571429,0.007013082904840262
Heston,entw,1.0,11.2,0.8928571428571429,0.0
Heston,entw,0.0,11.6,0.8620689655172414,0.13884939537122376
