model,risk_type,t,K,moneyness,MR
Jump,elw,0.0,8.0,1.25,0.01080281542837791
Jump,elw,0.05,8.0,1.25,0.012216883477445872
Jump,elw,0.1,8.0,1.25,0.013601491673587818
Jump,elw,0.15000000000000002,8.0,1.25,0.015300459573982295
Jump,elw,0.2,8.0,1.25,0.016782586289387114
Jump,elw,0.25,8.0,1.25,0.009134145093879109
Jump,elw,0.30000000000000004,8.0,1.25,0.009428127813352338
Jump,elw,0.35000000000000003,8.0,1.25,0.010032651671078252
Jump,elw,0.4,8.0,1.25,0.010896706178053384
Jump,elw,0.45,8.0,1.25,0.011775733818180756
Jump,elw,0.5,8.0,1.25,0.007662425512137139
Jump,elw,0.55,8.0,1.25,0.008355836224855917
Jump,elw,0.6000000000000001,8.0,1.25,0.006135261942044945
Jump,elw,0.65,8.0,1.25,0.004038744988867471
Jump,elw,0.7000000000000001,8.0,1.25,0.004089813571971357
Jump,elw,0.75,8.0,1.25,0.0033486581752206757
Jump,elw,0.8,8.0,1.25,0.0032805167415193015
Jump,elw,0.8500000000000001,8.0,1.25,0.0024377853482484557
Jump,elw,0.9,8.0,1.25,0.0012923361467496175
Jump,elw,0.9500000000000001,8.0,1.25,0.0006699844956972179
Jump,elw,1.0,8.0,1.25,0.0
Jump,elw,0.0,8.4,1.1904761904761905,0.006974560299966681
Jump,elw,0.05,8.4,1.1904761904761905,0.007882757792847528
Jump,elw,0.1,8.4,1.1904761904761905,0.008863173503343758
Jump,elw,0.15000000000000002,8.4,1.1904761904761905,0.010036259169675654
Jump,elw,0.2,8.4,1.1904761904761905,0.011236666713114962
Jump,elw,0.25,8.4,1.1904761904761905,0.012283699654734859
Jump,elw,0.30000000000000004,8.4,1.1904761904761905,0.01279525399297432
Jump,elw,0.35000000000000003,8.4,1.1904761904761905,0.013913208031573365
Jump,elw,0.4,8.4,1.1904761904761905,0.015362432052372643
Jump,elw,0.45,8.4,1.1904761904761905,0.016876724163353396
Jump,elw,0.5,8.4,1.1904761904761905,0.01182912542119574
Jump,elw,0.55,8.4,1.1904761904761905,0.013037404376037953
Jump,elw,0.6000000000000001,8.4,1.1904761904761905,0.008147276292855166
Jump,elw,0.65,8.4,1.1904761904761905,0.0050888960677486494
Jump,elw,0.7000000000000001,8.4,1.1904761904761905,0.005627222600551152
Jump,elw,0.75,8.4,1.1904761904761905,0.0046742231346958985
Jump,elw,0.8,8.4,1.1904761904761905,0.004357071248773714
Jump,elw,0.8500000000000001,8.4,1.1904761904761905,0.0031691868846688287
Jump,elw,0.9,8.4,1.1904761904761905,0.001878726041508072
Jump,elw,0.9500000000000001,8.4,1.1904761904761905,0.0008105772231059571
Jump,elw,1.0,8.4,1.1904761904761905,0.0
Jump,elw,0.0,8.8,1.1363636363636362,0.013059208894172336
Jump,elw,0.05,8.8,1.1363636363636362,0.01445856760776465
Jump,elw,0.1,8.8,1.1363636363636362,0.01606958055384089
Jump,elw,0.15000000000000002,8.8,1.1363636363636362,0.017934548216975932
Jump,elw,0.2,8.8,1.1363636363636362,0.019661402651442783
Jump,elw,0.25,8.8,1.1363636363636362,0.021233819278116295
Jump,elw,0.30000000000000004,8.8,1.1363636363636362,0.022542699466769234
Jump,elw,0.35000000000000003,8.8,1.1363636363636362,0.02471087472458855
Jump,elw,0.4,8.8,1.1363636363636362,0.02712173412677399
Jump,elw,0.45,8.8,1.1363636363636362,0.02987882902127703
Jump,elw,0.5,8.8,1.1363636363636362,0.01790504315114627
Jump,elw,0.55,8.8,1.1363636363636362,0.019708915132200522
Jump,elw,0.6000000000000001,8.8,1.1363636363636362,0.01256609416888188
Jump,elw,0.65,8.8,1.1363636363636362,0.008502692335294215
Jump,elw,0.7000000000000001,8.8,1.1363636363636362,0.007418382528358913
Jump,elw,0.75,8.8,1.1363636363636362,0.006328022541165934
Jump,elw,0.8,8.8,1.1363636363636362,0.0057364494274045885
Jump,elw,0.8500000000000001,8.8,1.1363636363636362,0.004042211731735801
Jump,elw,0.9,8.8,1.1363636363636362,0.002720045781155367
Jump,elw,0.9500000000000001,8.8,1.1363636363636362,0.0007892211177293884
Jump,elw,1.0,8.8,1.1363636363636362,0.0
Jump,elw,0.0,9.2,1.0869565217391306,0.02597931087842298
Jump,elw,0.05,9.2,1.0869565217391306,0.028409334930385777
Jump,elw,0.1,9.2,1.0869565217391306,0.03138394045379034
Jump,elw,0.15000000000000002,9.2,1.0869565217391306,0.03498871083818633
Jump,elw,0.2,9.2,1.0869565217391306,0.03796114302194953
Jump,elw,0.25,9.2,1.0869565217391306,0.0410322659572917
Jump,elw,0.30000000000000004,9.2,1.0869565217391306,0.043822524424423026
Jump,elw,0.35000000000000003,9.2,1.0869565217391306,0.0484633306874489
Jump,elw,0.4,9.2,1.0869565217391306,0.05329133116995499
Jump,elw,0.45,9.2,1.0869565217391306,0.05855853323572502
Jump,elw,0.5,9.2,1.0869565217391306,0.027325313083262026
Jump,elw,0.55,9.2,1.0869565217391306,0.02974347542233491
Jump,elw,0.6000000000000001,9.2,1.0869565217391306,0.01770738622118828
Jump,elw,0.65,9.2,1.0869565217391306,0.012981700657664241
Jump,elw,0.7000000000000001,9.2,1.0869565217391306,0.010171204971270553
Jump,elw,0.75,9.2,1.0869565217391306,0.008966310122771493
Jump,elw,0.8,9.2,1.0869565217391306,0.007660241842135873
Jump,elw,0.8500000000000001,9.2,1.0869565217391306,0.005759981545056636
Jump,elw,0.9,9.2,1.0869565217391306,0.00405233814326178
Jump,elw,0.9500000000000001,9.2,1.0869565217391306,0.0013558142288456754
Jump,elw,1.0,9.2,1.0869565217391306,0.0
Jump,elw,0.0,9.6,1.0416666666666667,0.05115522204455325
Jump,elw,0.05,9.6,1.0416666666666667,0.05556620462040862
Jump,elw,0.1,9.6,1.0416666666666667,0.061133868003989456
Jump,elw,0.15000000000000002,9.6,1.0416666666666667,0.06819931961315606
Jump,elw,0.2,9.6,1.0416666666666667,0.07378373073611089
Jump,elw,0.25,9.6,1.0416666666666667,0.08021999479794695
Jump,elw,0.30000000000000004,9.6,1.0416666666666667,0.08626021249363647
Jump,elw,0.35000000000000003,9.6,1.0416666666666667,0.09555316971995986
Jump,elw,0.4,9.6,1.0416666666666667,0.10493365423635481
Jump,elw,0.45,9.6,1.0416666666666667,0.11543537447323526
Jump,elw,0.5,9.6,1.0416666666666667,0.04565309728092659
Jump,elw,0.55,9.6,1.0416666666666667,0.0508844861204536
Jump,elw,0.6000000000000001,9.6,1.0416666666666667,0.02706820120388609
Jump,elw,0.65,9.6,1.0416666666666667,0.016852895817553115
Jump,elw,0.7000000000000001,9.6,1.0416666666666667,0.013552160158984972
Jump,elw,0.75,9.6,1.0416666666666667,0.01190811990946905
Jump,elw,0.8,9.6,1.0416666666666667,0.010413210025325581
Jump,elw,0.8500000000000001,9.6,1.0416666666666667,0.007858562548676229
Jump,elw,0.9,9.6,1.0416666666666667,0.0054489840916405186
Jump,elw,0.9500000000000001,9.6,1.0416666666666667,0.0022013360123451786
Jump,elw,1.0,9.6,1.0416666666666667,0.0
Jump,elw,0.0,10.0,1.0,0.08349412758902774
Jump,elw,0.05,10.0,1.0,0.09024962681439863
Jump,elw,0.1,10.0,1.0,0.09898578186220863
Jump,elw,0.15000000000000002,10.0,1.0,0.11045851149351438
Jump,elw,0.2,10.0,1.0,0.11925125719900653
Jump,elw,0.25,10.0,1.0,0.12995456294950802
Jump,elw,0.30000000000000004,10.0,1.0,0.14007510295667047
Jump,elw,0.35000000000000003,10.0,1.0,0.15503154428462484
Jump,elw,0.4,10.0,1.0,0.1701188904525439
Jump,elw,0.45,10.0,1.0,0.18688460618914138
Jump,elw,0.5,10.0,1.0,0.06592520717777228
Jump,elw,0.55,10.0,1.0,0.074661523421099
Jump,elw,0.6000000000000001,10.0,1.0,0.03603214435932478
Jump,elw,0.65,10.0,1.0,0.020653024772097073
Jump,elw,0.7000000000000001,10.0,1.0,0.016828117954936994
Jump,elw,0.75,10.0,1.0,0.015094179116386996
Jump,elw,0.8,10.0,1.0,0.013810196280857223
Jump,elw,0.8500000000000001,10.0,1.0,0.009797103018205355
Jump,elw,0.9,10.0,1.0,0.006493128323449948
Jump,elw,0.9500000000000001,10.0,1.0,0.002841328694336065
Jump,elw,1.0,10.0,1.0,0.0
Jump,elw,0.0,10.4,0.9615384615384615,0.10814190086784081
Jump,elw,0.05,10.4,0.9615384615384615,0.11636053279964687
Jump,elw,0.1,10.4,0.9615384615384615,0.12701847513378373
Jump,elw,0.15000000000000002,10.4,0.9615384615384615,0.1412810180195423
Jump,elw,0.2,10.4,0.9615384615384615,0.15173011606714493
Jump,elw,0.25,10.4,0.9615384615384615,0.1646505440374333
Jump,elw,0.30000000000000004,10.4,0.9615384615384615,0.17696104999672024
Jump,elw,0.35000000000000003,10.4,0.9615384615384615,0.19496832353801574
Jump,elw,0.4,10.4,0.9615384615384615,0.21296674213459665
Jump,elw,0.45,10.4,0.9615384615384615,0.23244464966645895
Jump,elw,0.5,10.4,0.9615384615384615,0.07993637103831208
Jump,elw,0.55,10.4,0.9615384615384615,0.09048474900351589
Jump,elw,0.6000000000000001,10.4,0.9615384615384615,0.04305244374027839
Jump,elw,0.65,10.4,0.9615384615384615,0.02415879162955248
Jump,elw,0.7000000000000001,10.4,0.9615384615384615,0.01995531866298217
Jump,elw,0.75,10.4,0.9615384615384615,0.01764851538881551
Jump,elw,0.8,10.4,0.9615384615384615,0.016668627949724346
Jump,elw,0.8500000000000001,10.4,0.9615384615384615,0.010989543626142018
Jump,elw,0.9,10.4,0.9615384615384615,0.0074999472903720665
Jump,elw,0.9500000000000001,10.4,0.9615384615384615,0.003212762474568809
Jump,elw,1.0,10.4,0.9615384615384615,0.0
Jump,elw,0.0,10.8,0.9259259259259258,0.10678509082213372
Jump,elw,0.05,10.8,0.9259259259259258,0.11444398186898574
Jump,elw,0.1,10.8,0.9259259259259258,0.12408110040702613
Jump,elw,0.15000000000000002,10.8,0.9259259259259258,0.13697062222905054
Jump,elw,0.2,10.8,0.9259259259259258,0.14593616373298457
Jump,elw,0.25,10.8,0.9259259259259258,0.15695790901800044
Jump,elw,0.30000000000000004,10.8,0.9259259259259258,0.16768135643494864
Jump,elw,0.35000000000000003,10.8,0.9259259259259258,0.18267149509784963
Jump,elw,0.4,10.8,0.9259259259259258,0.1975190283064563
Jump,elw,0.45,10.8,0.9259259259259258,0.21278723203999284
Jump,elw,0.5,10.8,0.9259259259259258,0.07899264337717526
Jump,elw,0.55,10.8,0.9259259259259258,0.0884736520560514
Jump,elw,0.6000000000000001,10.8,0.9259259259259258,0.04513484592580341
Jump,elw,0.65,10.8,0.9259259259259258,0.02337162448953589
Jump,elw,0.7000000000000001,10.8,0.9259259259259258,0.02137306744588008
Jump,elw,0.75,10.8,0.9259259259259258,0.018899028390797712
Jump,elw,0.8,10.8,0.9259259259259258,0.01775724338431428
Jump,elw,0.8500000000000001,10.8,0.9259259259259258,0.011434404691612832
Jump,elw,0.9,10.8,0.9259259259259258,0.007841980577768304
Jump,elw,0.9500000000000001,10.8,0.9259259259259258,0.0034281807723448576
Jump,elw,1.0,10.8,0.9259259259259258,0.0
Jump,elw,0.0,11.2,0.8928571428571429,0.08730711155299264
Jump,elw,0.05,11.2,0.8928571428571429,0.09321267633847663
Jump,elw,0.1,11.2,0.8928571428571429,0.10028229135440991
Jump,elw,0.15000000000000002,11.2,0.8928571428571429,0.10956452454194965
Jump,elw,0.2,11.2,0.8928571428571429,0.11571897196341752
Jump,elw,0.25,11.2,0.8928571428571429,0.12303094222550026
Jump,elw,0.30000000000000004,11.2,0.8928571428571429,0.13049196158596277
Jump,elw,0.35000000000000003,11.2,0.8928571428571429,0.13991888035985944
Jump,elw,0.4,11.2,0.8928571428571429,0.14935710509584843
Jump,elw,0.45,11.2,0.8928571428571429,0.15831710165644108
Jump,elw,0.5,11.2,0.8928571428571429,0.0673428280881685
Jump,elw,0.55,11.2,0.8928571428571429,0.07389713235961737
Jump,elw,0.6000000000000001,11.2,0.8928571428571429,0.041323239499843956
Jump,elw,0.65,11.2,0.8928571428571429,0.023413680450538266
Jump,elw,0.7000000000000001,11.2,0.8928571428571429,0.021211422014386416
Jump,elw,0.75,11.2,0.8928571428571429,0.018441302167930607
Jump,elw,0.8,11.2,0.8928571428571429,0.017133211852691232
Jump,elw,0.8500000000000001,11.2,0.8928571428571429,0.01127015344056792
Jump,elw,0.9,11.2,0.8928571428571429,0.007439207661082303
Jump,elw,0.9500000000000001,11.2,0.8928571428571429,0.0033035014902065285
Jump,elw,1.0,11.2,0.8928571428571429,0.0
Jump,elw,0.0,11.6,0.8620689655172414,0.06445501880007432
Jump,elw,0.05,11.6,0.8620689655172414,0.06873730021069746
Jump,elw,0.1,11.6,0.8620689655172414,0.07354452977120207
Jump,elw,0.15000000000000002,11.6,0.8620689655172414,0.07958875405790278
Jump,elw,0.2,11.6,0.8620689655172414,0.08351153610505824
Jump,elw,0.25,11.6,0.8620689655172414,0.08778343339866757
Jump,elw,0.30000000000000004,11.6,0.8620689655172414,0.09243849428622375
Jump,elw,0.35000000000000003,11.6,0.8620689655172414,0.09743926057825036
Jump,elw,0.4,11.6,0.8620689655172414,0.10259670324604953
Jump,elw,0.45,11.6,0.8620689655172414,0.10668724073454494
Jump,elw,0.5,11.6,0.8620689655172414,0.05306281863631512
Jump,elw,0.55,11.6,0.8620689655172414,0.05733805245385559
Jump,elw,0.6000000000000001,11.6,0.8620689655172414,0.03525339400965466
Jump,elw,0.65,11.6,0.8620689655172414,0.022196511233215865
Jump,elw,0.7000000000000001,11.6,0.8620689655172414,0.020131008967453345
Jump,elw,0.75,11.6,0.8620689655172414,0.017195449436323562
Jump,elw,0.8,11.6,0.8620689655172414,0.016024936716260818
Jump,elw,0.8500000000000001,11.6,0.8620689655172414,0.010685333464631519
Jump,elw,0.9,11.6,0.8620689655172414,0.007003940228405003
Jump,elw,0.9500000000000001,11.6,0.8620689655172414,0.0030074705841645066
Jump,elw,1.0,11.6,0.8620689655172414,0.0
Jump,elw,0.0,12.0,0.8333333333333334,0.04551858803643194
Jump,elw,0.05,12.0,0.8333333333333334,0.04858343785151198
Jump,elw,0.1,12.0,0.8333333333333334,0.05181252579981188
Jump,elw,0.15000000000000002,12.0,0.8333333333333334,0.05566372094867522
Jump,elw,0.2,12.0,0.8333333333333334,0.05820186386455228
Jump,elw,0.25,12.0,0.8333333333333334,0.060644463477817157
Jump,elw,0.30000000000000004,12.0,0.8333333333333334,0.06334084435662457
Jump,elw,0.35000000000000003,12.0,0.8333333333333334,0.06578621917424066
Jump,elw,0.4,12.0,0.8333333333333334,0.06833386316927181
Jump,elw,0.45,12.0,0.8333333333333334,0.06969592448426498
Jump,elw,0.5,12.0,0.8333333333333334,0.04032617821101936
Jump,elw,0.55,12.0,0.8333333333333334,0.042558122185540004
Jump,elw,0.6000000000000001,12.0,0.8333333333333334,0.02894437168109265
Jump,elw,0.65,12.0,0.8333333333333334,0.019770076649826107
Jump,elw,0.7000000000000001,12.0,0.8333333333333334,0.017924197660925456
Jump,elw,0.75,12.0,0.8333333333333334,0.015367115699588929
Jump,elw,0.8,12.0,0.8333333333333334,0.014195166664473291
Jump,elw,0.8500000000000001,12.0,0.8333333333333334,0.009432400602330748
Jump,elw,0.9,12.0,0.8333333333333334,0.0062546737106015105
Jump,elw,0.9500000000000001,12.0,0.8333333333333334,0.0026356599262162828
Jump,elw,1.0,12.0,0.8333333333333334,0.0
Jump,elw,0.0,12.4,0.8064516129032258,0.03210393118131605
Jump,elw,0.05,12.4,0.8064516129032258,0.0343782267741326
Jump,elw,0.1,12.4,0.8064516129032258,0.03664224129073257
Jump,elw,0.15000000000000002,12.4,0.8064516129032258,0.03920008143097009
Jump,elw,0.2,12.4,0.8064516129032258,0.04099334362482843
Jump,elw,0.25,12.4,0.8064516129032258,0.042475394859574855
Jump,elw,0.30000000000000004,12.4,0.8064516129032258,0.044063894572511586
Jump,elw,0.35000000000000003,12.4,0.8064516129032258,0.04521806975046139
Jump,elw,0.4,12.4,0.8064516129032258,0.04639009070209621
Jump,elw,0.45,12.4,0.8064516129032258,0.046508566478215
Jump,elw,0.5,12.4,0.8064516129032258,0.030587798161273883
Jump,elw,0.55,12.4,0.8064516129032258,0.03136735654585032
Jump,elw,0.6000000000000001,12.4,0.8064516129032258,0.023197811992631934
Jump,elw,0.65,12.4,0.8064516129032258,0.016864738576510607
Jump,elw,0.7000000000000001,12.4,0.8064516129032258,0.015355428028829943
Jump,elw,0.75,12.4,0.8064516129032258,0.01326422358656365
Jump,elw,0.8,12.4,0.8064516129032258,0.012154156353677559
Jump,elw,0.8500000000000001,12.4,0.8064516129032258,0.0080979487349917
Jump,elw,0.9,12.4,0.8064516129032258,0.005327686254434694
Jump,elw,0.9500000000000001,12.4,0.8064516129032258,0.0022290009444716485
Jump,elw,1.0,12.4,0.8064516129032258,0.0
Jump,elw,0.0,12.8,0.78125,0.022763550873323712
Jump,elw,0.05,12.8,0.78125,0.02448703659600482
Jump,elw,0.1,12.8,0.78125,0.02612985209951324
Jump,elw,0.15000000000000002,12.8,0.78125,0.027909793046196674
Jump,elw,0.2,12.8,0.78125,0.029277166214926043
Jump,elw,0.25,12.8,0.78125,0.030227745614355372
Jump,elw,0.30000000000000004,12.8,0.78125,0.031182725048523485
Jump,elw,0.35000000000000003,12.8,0.78125,0.03168595989792178
Jump,elw,0.4,12.8,0.78125,0.032174819431525004
Jump,elw,0.45,12.8,0.78125,0.031837254310369545
Jump,elw,0.5,12.8,0.78125,0.023092083819238107
Jump,elw,0.55,12.8,0.78125,0.023233789555432205
Jump,elw,0.6000000000000001,12.8,0.78125,0.01758198251119225
Jump,elw,0.65,12.8,0.78125,0.013794283861465528
Jump,elw,0.7000000000000001,12.8,0.78125,0.012641868278974622
Jump,elw,0.75,12.8,0.78125,0.011015535315758829
Jump,elw,0.8,12.8,0.78125,0.010035913922068707
Jump,elw,0.8500000000000001,12.8,0.78125,0.006749288609763093
Jump,elw,0.9,12.8,0.78125,0.004408178425972853
Jump,elw,0.9500000000000001,12.8,0.78125,0.001832085608970857
Jump,elw,1.0,12.8,0.78125,0.0
Jump,elw,0.0,13.2,0.7575757575757576,0.016408477501051122
Jump,elw,0.05,13.2,0.7575757575757576,0.017705852952995427
Jump,elw,0.1,13.2,0.7575757575757576,0.018897947289254757
Jump,elw,0.15000000000000002,13.2,0.7575757575757576,0.020158866481374105
Jump,elw,0.2,13.2,0.7575757575757576,0.021200697940115365
Jump,elw,0.25,13.2,0.7575757575757576,0.02173941196402729
Jump,elw,0.30000000000000004,13.2,0.7575757575757576,0.022298517581248456
Jump,elw,0.35000000000000003,13.2,0.7575757575757576,0.022428938667558462
Jump,elw,0.4,13.2,0.7575757575757576,0.022563344261445906
Jump,elw,0.45,13.2,0.7575757575757576,0.022144772582398664
Jump,elw,0.5,13.2,0.7575757575757576,0.017124493443577027
Jump,elw,0.55,13.2,0.7575757575757576,0.017028965780827576
Jump,elw,0.6000000000000001,13.2,0.7575757575757576,0.013254082190040206
Jump,elw,0.65,13.2,0.7575757575757576,0.010843092417782474
Jump,elw,0.7000000000000001,13.2,0.7575757575757576,0.009986541153717221
