model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
GBM,ele,0.8,a,0.5,-0.026427958698122422,-0.04830121463014281,0.021873255932020386
GBM,ele,0.8,a,0.6071428571428571,-0.03149287444229776,-0.04830121463014281,0.01680834018784505
GBM,ele,0.8,a,0.7142857142857143,-0.03635045228291889,-0.04830121463014281,0.01195076234722392
GBM,ele,0.8,a,0.8214285714285714,-0.04100216910720478,-0.04830121463014281,0.00729904552293803
GBM,ele,0.8,a,0.9285714285714286,-0.04544938827532474,-0.04830121463014281,0.0028518263548180656
GBM,ele,0.8,a,1.0357142857142856,-0.049693363172691574,-0.04830121463014281,-0.0013921485425487656
GBM,ele,0.8,a,1.1428571428571428,-0.05373524031070953,-0.04830121463014281,-0.005434025680566723
GBM,ele,0.8,a,1.25,-0.05757606201656995,-0.04830121463014281,-0.009274847386427143
GBM,ele,0.8,a,1.3571428571428572,-0.06121676874900317,-0.04830121463014281,-0.012915554118860362
GBM,ele,0.8,a,1.4642857142857142,-0.06465820107344644,-0.04830121463014281,-0.016356986443303634
GBM,ele,0.8,a,1.5714285714285714,-0.06790110132681693,-0.04830121463014281,-0.019599886696674118
GBM,ele,0.8,a,1.6785714285714286,-0.07094611499900616,-0.04830121463014281,-0.022644900368863352
GBM,ele,0.8,a,1.7857142857142856,-0.07379379185528845,-0.04830121463014281,-0.02549257722514564
GBM,ele,0.8,a,1.8928571428571428,-0.07644458682110755,-0.04830121463014281,-0.028143372190964744
GBM,ele,0.8,a,2.0,-0.07889886064816665,-0.04830121463014281,-0.03059764601802384
