model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
GBM,ente,0.8,a,0.5,-0.024455747663350902,-0.04020528269738555,0.015749535034034645
GBM,ente,0.8,a,0.6071428571428571,-0.0285731179742017,-0.04020528269738555,0.011632164723183847
GBM,ente,0.8,a,0.7142857142857143,-0.032289452230048754,-0.04020528269738555,0.007915830467336793
GBM,ente,0.8,a,0.8214285714285714,-0.03560072440648565,-0.04020528269738555,0.004604558290899896
GBM,ente,0.8,a,0.9285714285714286,-0.03850191520359003,-0.04020528269738555,0.0017033674937955157
GBM,ente,0.8,a,1.0357142857142856,-0.04098699117965521,-0.04020528269738555,-0.0007817084822696607
GBM,ente,0.8,a,1.1428571428571428,-0.04304886714487166,-0.04020528269738555,-0.002843584447486114
GBM,ente,0.8,a,1.25,-0.04467935268843959,-0.04020528269738555,-0.004474069991054042
GBM,ente,0.8,a,1.3571428571428572,-0.04586908310432358,-0.04020528269738555,-0.0056638004069380354
GBM,ente,0.8,a,1.4642857142857142,-0.04660743449834148,-0.04020528269738555,-0.006402151800955935
GBM,ente,0.8,a,1.5714285714285714,-0.04688242246424379,-0.04020528269738555,-0.006677139766858242
GBM,ente,0.8,a,1.6785714285714286,-0.04668058337809977,-0.04020528269738555,-0.006475300680714224
GBM,ente,0.8,a,1.7857142857142856,-0.04598683705087869,-0.04020528269738555,-0.005781554353493146
GBM,ente,0.8,a,1.8928571428571428,-0.044784329171629556,-0.04020528269738555,-0.0045790464742440085
GBM,ente,0.8,a,2.0,-0.04305425164110477,-0.04020528269738555,-0.002848968943719221
