model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Heston,ele,0.2,a,0.5,-0.10551702763465365,-0.11728778702763853,0.011770759392984886
Heston,ele,0.2,a,0.6071428571428571,-0.11409031548231163,-0.11728778702763853,0.003197471545326902
Heston,ele,0.2,a,0.7142857142857143,-0.11907288812425032,-0.11728778702763853,-0.0017851010966117853
Heston,ele,0.2,a,0.8214285714285714,-0.12081289518832361,-0.11728778702763853,-0.0035251081606850754
Heston,ele,0.2,a,0.9285714285714286,-0.11960656760014332,-0.11728778702763853,-0.002318780572504786
Heston,ele,0.2,a,1.0357142857142856,-0.11569728101285026,-0.11728778702763853,0.0015905060147882732
Heston,ele,0.2,a,1.1428571428571428,-0.10927862128173615,-0.11728778702763853,0.00800916574590238
Heston,ele,0.2,a,1.25,-0.10049877408218266,-0.11728778702763853,0.016789012945455872
Heston,ele,0.2,a,1.3571428571428572,-0.08946295781391767,-0.11728778702763853,0.02782482921372087
Heston,ele,0.2,a,1.4642857142857142,-0.07623579346121956,-0.11728778702763853,0.041051993566418976
Heston,ele,0.2,a,1.5714285714285714,-0.060845597248067596,-0.11728778702763853,0.05644218977957094
Heston,ele,0.2,a,1.6785714285714286,-0.04329000069863542,-0.11728778702763853,0.07399778632900311
Heston,ele,0.2,a,1.7857142857142856,-0.023541335934765706,-0.11728778702763853,0.09374645109287283
Heston,ele,0.2,a,1.8928571428571428,-0.001550837340575928,-0.11728778702763853,0.1157369496870626
Heston,ele,0.2,a,2.0,0.02274850328877842,-0.11728778702763853,0.14003629031641696
