model,risk_type,t_idx,param_name,param_value,MR,MR0,DeltaMR
Jump,entw,0.8,gamma,0.1,0.014082085678150169,0.017226402055577017,-0.003144316377426848
Jump,entw,0.8,gamma,0.2357142857142857,0.014476436111149238,0.017226402055577017,-0.002749965944427779
Jump,entw,0.8,gamma,0.37142857142857144,0.01490256662965006,0.017226402055577017,-0.0023238354259269567
Jump,entw,0.8,gamma,0.5071428571428571,0.015363531539227981,0.017226402055577017,-0.0018628705163490356
Jump,entw,0.8,gamma,0.6428571428571428,0.015862643619716676,0.017226402055577017,-0.0013637584358603405
Jump,entw,0.8,gamma,0.7785714285714285,0.016403489134218407,0.017226402055577017,-0.0008229129213586095
Jump,entw,0.8,gamma,0.9142857142857143,0.016989922814870217,0.017226402055577017,-0.0002364792407067995
Jump,entw,0.8,gamma,1.05,0.01745914374324209,0.017226402055577017,0.0002327416876650723
Jump,entw,0.8,gamma,1.1857142857142857,0.018127116664101273,0.017226402055577017,0.0009007146085242557
Jump,entw,0.8,gamma,1.3214285714285714,0.018851677063426275,0.017226402055577017,0.0016252750078492584
Jump,entw,0.8,gamma,1.457142857142857,0.019637726884383144,0.017226402055577017,0.0024113248288061273
Jump,entw,0.8,gamma,1.5928571428571427,0.02049058073442178,0.017226402055577017,0.0032641786788447646
Jump,entw,0.8,gamma,1.7285714285714286,0.021415960745145513,0.017226402055577017,0.0041895586895684955
Jump,entw,0.8,gamma,1.8642857142857143,0.022420141242137648,0.017226402055577017,0.005193739186560631
Jump,entw,0.8,gamma,2.0,0.023509924062243837,0.017226402055577017,0.00628352200666682
