model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,ele,0.2,0.025,0.1,-0.10407535982876448,-0.25689995041784686,0.15282459058908238
GBM,ele,0.2,0.025,0.1375,-0.09860457738371975,-0.25689995041784686,0.1582953730341271
GBM,ele,0.2,0.025,0.17500000000000002,-0.12395590293629044,-0.25689995041784686,0.13294404748155642
GBM,ele,0.2,0.025,0.21250000000000002,-0.06290459481831023,-0.25689995041784686,0.19399535559953662
GBM,ele,0.2,0.025,0.25,-0.018796685200463847,-0.25689995041784686,0.238103265217383
GBM,ele,0.2,0.025,0.28750000000000003,-0.012775429827256768,-0.25689995041784686,0.2441245205905901
GBM,ele,0.2,0.025,0.32500000000000007,-0.005658723391013365,-0.25689995041784686,0.2512412270268335
GBM,ele,0.2,0.025,0.36250000000000004,0.025641492458442716,-0.25689995041784686,0.2825414428762896
GBM,ele,0.2,0.025,0.4,-0.00850071976461697,-0.25689995041784686,0.24839923065322989
GBM,ele,0.2,0.03125,0.1,-0.15989622576838003,-0.25689995041784686,0.09700372464946683
GBM,ele,0.2,0.03125,0.1375,-0.15064990188288652,-0.25689995041784686,0.10625004853496034
GBM,ele,0.2,0.03125,0.17500000000000002,-0.1321801718959117,-0.25689995041784686,0.12471977852193517
GBM,ele,0.2,0.03125,0.21250000000000002,-0.08386551254959407,-0.25689995041784686,0.1730344378682528
GBM,ele,0.2,0.03125,0.25,-0.06085286684503488,-0.25689995041784686,0.19604708357281198
GBM,ele,0.2,0.03125,0.28750000000000003,-0.03372739769064992,-0.25689995041784686,0.22317255272719694
GBM,ele,0.2,0.03125,0.32500000000000007,-0.13718595838103453,-0.25689995041784686,0.11971399203681232
GBM,ele,0.2,0.03125,0.36250000000000004,-0.010225911096735762,-0.25689995041784686,0.2466740393211111
GBM,ele,0.2,0.03125,0.4,0.07027279307319856,-0.25689995041784686,0.3271727434910454
GBM,ele,0.2,0.0375,0.1,-0.17870024703626675,-0.25689995041784686,0.07819970338158011
