model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,elw,0.2,0.025,0.1,0.00013316511793060037,0.0011341599814771453,-0.0010009948635465449
GBM,elw,0.2,0.025,0.1375,0.0016904011849481204,0.0011341599814771453,0.0005562412034709752
GBM,elw,0.2,0.025,0.17500000000000002,0.001181342564433141,0.0011341599814771453,4.7182582955995755e-05
GBM,elw,0.2,0.025,0.21250000000000002,0.005771282793691324,0.0011341599814771453,0.004637122812214178
GBM,elw,0.2,0.025,0.25,0.014836841765460518,0.0011341599814771453,0.013702681783983373
GBM,elw,0.2,0.025,0.28750000000000003,0.0314349323452241,0.0011341599814771453,0.030300772363746953
GBM,elw,0.2,0.025,0.32500000000000007,0.038947582211408704,0.0011341599814771453,0.03781342222993156
GBM,elw,0.2,0.025,0.36250000000000004,0.1136897155821548,0.0011341599814771453,0.11255555560067765
GBM,elw,0.2,0.025,0.4,0.10796559639837189,0.0011341599814771453,0.10683143641689474
GBM,elw,0.2,0.03125,0.1,0.0002126205277248605,0.0011341599814771453,-0.0009215394537522847
GBM,elw,0.2,0.03125,0.1375,0.0010618019313715088,0.0011341599814771453,-7.235805010563645e-05
GBM,elw,0.2,0.03125,0.17500000000000002,0.003194499639700421,0.0011341599814771453,0.002060339658223276
GBM,elw,0.2,0.03125,0.21250000000000002,0.013160206159951393,0.0011341599814771453,0.012026046178474248
GBM,elw,0.2,0.03125,0.25,0.022286975156370126,0.0011341599814771453,0.02115281517489298
GBM,elw,0.2,0.03125,0.28750000000000003,0.022937625407562612,0.0011341599814771453,0.021803465426085467
GBM,elw,0.2,0.03125,0.32500000000000007,0.05091460112901425,0.0011341599814771453,0.0497804411475371
GBM,elw,0.2,0.03125,0.36250000000000004,0.04675396886029004,0.0011341599814771453,0.045619808878812895
GBM,elw,0.2,0.03125,0.4,0.11651724841548194,0.0011341599814771453,0.1153830884340048
GBM,elw,0.2,0.0375,0.1,3.768088576205919e-05,0.0011341599814771453,-0.001096479095715086
GBM,elw,0.2,0.0375,0.1375,0.0010964417275678429,0.0011341599814771453,-3.771825390930239e-05
GBM,elw,0.2,0.0375,0.17500000000000002,0.00217713286247867,0.0011341599814771453,0.0010429728810015249
GBM,elw,0.2,0.0375,0.21250000000000002,0.0036102899468462013,0.0011341599814771453,0.002476129965369056
GBM,elw,0.2,0.0375,0.25,0.026802453480604838,0.0011341599814771453,0.025668293499127692
GBM,elw,0.2,0.0375,0.28750000000000003,0.019024029049603097,0.0011341599814771453,0.017889869068125952
GBM,elw,0.2,0.0375,0.32500000000000007,0.03939291627417951,0.0011341599814771453,0.03825875629270237
GBM,elw,0.2,0.0375,0.36250000000000004,0.06111754485804388,0.0011341599814771453,0.05998338487656674
GBM,elw,0.2,0.0375,0.4,0.09239486993028634,0.0011341599814771453,0.0912607099488092
GBM,elw,0.2,0.04375,0.1,0.00013831711839062955,0.0011341599814771453,-0.0009958428630865157
GBM,elw,0.2,0.04375,0.1375,0.0008407459663803962,0.0011341599814771453,-0.000293414015096749
GBM,elw,0.2,0.04375,0.17500000000000002,0.0016114984965969192,0.0011341599814771453,0.000477338515119774
GBM,elw,0.2,0.04375,0.21250000000000002,0.010570755967106216,0.0011341599814771453,0.00943659598562907
GBM,elw,0.2,0.04375,0.25,0.007613320658728107,0.0011341599814771453,0.006479160677250961
GBM,elw,0.2,0.04375,0.28750000000000003,0.06334982695784364,0.0011341599814771453,0.06221566697636649
GBM,elw,0.2,0.04375,0.32500000000000007,0.0394601622559716,0.0011341599814771453,0.03832600227449445
GBM,elw,0.2,0.04375,0.36250000000000004,0.049710655292613426,0.0011341599814771453,0.04857649531113628
GBM,elw,0.2,0.04375,0.4,0.08779659086367797,0.0011341599814771453,0.08666243088220082
GBM,elw,0.2,0.05,0.1,9.022649023826546e-05,0.0011341599814771453,-0.0010439334912388798
GBM,elw,0.2,0.05,0.1375,1.2998815767772953e-05,0.0011341599814771453,-0.0011211611657093723
GBM,elw,0.2,0.05,0.17500000000000002,0.0012526623854456354,0.0011341599814771453,0.0001185024039684901
GBM,elw,0.2,0.05,0.21250000000000002,0.006132012302069834,0.0011341599814771453,0.004997852320592688
GBM,elw,0.2,0.05,0.25,0.012449842878980988,0.0011341599814771453,0.011315682897503843
GBM,elw,0.2,0.05,0.28750000000000003,0.01853525415640589,0.0011341599814771453,0.017401094174928744
GBM,elw,0.2,0.05,0.32500000000000007,0.021229465994483165,0.0011341599814771453,0.02009530601300602
GBM,elw,0.2,0.05,0.36250000000000004,0.06821659504363264,0.0011341599814771453,0.0670824350621555
GBM,elw,0.2,0.05,0.4,0.1867528156893532,0.0011341599814771453,0.18561865570787606
GBM,elw,0.2,0.056249999999999994,0.1,2.4997578712770974e-05,0.0011341599814771453,-0.0011091624027643743
GBM,elw,0.2,0.056249999999999994,0.1375,0.00019608345121735482,0.0011341599814771453,-0.0009380765302597904
