model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,ente,0.8,0.025,0.1,-0.009022866736343893,-0.070562077019373,0.06153921028302911
GBM,ente,0.8,0.025,0.1375,0.0025066058849614326,-0.070562077019373,0.07306868290433444
GBM,ente,0.8,0.025,0.17500000000000002,-0.020277766483977833,-0.070562077019373,0.05028431053539517
GBM,ente,0.8,0.025,0.21250000000000002,0.012711796259015307,-0.070562077019373,0.08327387327838831
GBM,ente,0.8,0.025,0.25,0.001465830999217932,-0.070562077019373,0.07202790801859094
GBM,ente,0.8,0.025,0.28750000000000003,0.014347475155537248,-0.070562077019373,0.08490955217491025
GBM,ente,0.8,0.025,0.32500000000000007,0.08764237857664692,-0.070562077019373,0.15820445559601992
GBM,ente,0.8,0.025,0.36250000000000004,0.13214240962913237,-0.070562077019373,0.20270448664850538
GBM,ente,0.8,0.025,0.4,0.15786799956761288,-0.070562077019373,0.2284300765869859
GBM,ente,0.8,0.03125,0.1,-0.026144867267450245,-0.070562077019373,0.04441720975192276
GBM,ente,0.8,0.03125,0.1375,-0.02557377344214562,-0.070562077019373,0.044988303577227384
GBM,ente,0.8,0.03125,0.17500000000000002,-0.004432457727645778,-0.070562077019373,0.06612961929172723
GBM,ente,0.8,0.03125,0.21250000000000002,0.01512175991893594,-0.070562077019373,0.08568383693830894
GBM,ente,0.8,0.03125,0.25,0.0007539690256144205,-0.070562077019373,0.07131604604498742
GBM,ente,0.8,0.03125,0.28750000000000003,0.0035688279939602996,-0.070562077019373,0.0741309050133333
GBM,ente,0.8,0.03125,0.32500000000000007,0.039603667372209106,-0.070562077019373,0.11016574439158211
GBM,ente,0.8,0.03125,0.36250000000000004,0.10218717205529226,-0.070562077019373,0.17274924907466527
GBM,ente,0.8,0.03125,0.4,0.17878268887954385,-0.070562077019373,0.24934476589891685
GBM,ente,0.8,0.0375,0.1,-0.03644065567737653,-0.070562077019373,0.03412142134199647
GBM,ente,0.8,0.0375,0.1375,-0.03194736616755023,-0.070562077019373,0.038614710851822776
GBM,ente,0.8,0.0375,0.17500000000000002,-0.027502694954210427,-0.070562077019373,0.04305938206516258
GBM,ente,0.8,0.0375,0.21250000000000002,-0.022670060388976565,-0.070562077019373,0.04789201663039644
GBM,ente,0.8,0.0375,0.25,-0.003479020093276719,-0.070562077019373,0.06708305692609629
GBM,ente,0.8,0.0375,0.28750000000000003,0.040746531725109225,-0.070562077019373,0.11130860874448223
GBM,ente,0.8,0.0375,0.32500000000000007,0.06158606906952002,-0.070562077019373,0.13214814608889303
GBM,ente,0.8,0.0375,0.36250000000000004,0.062258047812683515,-0.070562077019373,0.13282012483205652
GBM,ente,0.8,0.0375,0.4,0.07761005378024133,-0.070562077019373,0.14817213079961433
GBM,ente,0.8,0.04375,0.1,-0.04668913941820518,-0.070562077019373,0.02387293760116782
GBM,ente,0.8,0.04375,0.1375,-0.04461659298422882,-0.070562077019373,0.025945484035144184
GBM,ente,0.8,0.04375,0.17500000000000002,-0.031006537719285743,-0.070562077019373,0.03955553930008726
GBM,ente,0.8,0.04375,0.21250000000000002,-0.00017380483661855184,-0.070562077019373,0.07038827218275445
GBM,ente,0.8,0.04375,0.25,-0.03112760400180714,-0.070562077019373,0.03943447301756586
GBM,ente,0.8,0.04375,0.28750000000000003,0.033758369297257174,-0.070562077019373,0.10432044631663018
GBM,ente,0.8,0.04375,0.32500000000000007,0.061788288180244955,-0.070562077019373,0.13235036519961796
GBM,ente,0.8,0.04375,0.36250000000000004,0.06249088133009506,-0.070562077019373,0.13305295834946806
GBM,ente,0.8,0.04375,0.4,0.09113579709719133,-0.070562077019373,0.16169787411656433
GBM,ente,0.8,0.05,0.1,-0.07183083739659712,-0.070562077019373,-0.0012687603772241207
GBM,ente,0.8,0.05,0.1375,-0.03741473878248924,-0.070562077019373,0.03314733823688376
GBM,ente,0.8,0.05,0.17500000000000002,-0.005957329724222471,-0.070562077019373,0.06460474729515053
GBM,ente,0.8,0.05,0.21250000000000002,-0.034254413008018125,-0.070562077019373,0.03630766401135488
GBM,ente,0.8,0.05,0.25,-0.02832102206822318,-0.070562077019373,0.042241054951149826
GBM,ente,0.8,0.05,0.28750000000000003,0.011715976229610181,-0.070562077019373,0.08227805324898319
GBM,ente,0.8,0.05,0.32500000000000007,-0.002856427502479164,-0.070562077019373,0.06770564951689384
GBM,ente,0.8,0.05,0.36250000000000004,0.05597248142070743,-0.070562077019373,0.12653455844008044
GBM,ente,0.8,0.05,0.4,0.11044665927504971,-0.070562077019373,0.1810087362944227
GBM,ente,0.8,0.056249999999999994,0.1,-0.08010464365435621,-0.070562077019373,-0.009542566634983207
GBM,ente,0.8,0.056249999999999994,0.1375,-0.08229036498248221,-0.070562077019373,-0.011728287963109207
GBM,ente,0.8,0.056249999999999994,0.17500000000000002,-0.057647616287132775,-0.070562077019373,0.01291446073224023
GBM,ente,0.8,0.056249999999999994,0.21250000000000002,-0.044041837858435295,-0.070562077019373,0.02652023916093771
GBM,ente,0.8,0.056249999999999994,0.25,0.026231511371828553,-0.070562077019373,0.09679358839120156
GBM,ente,0.8,0.056249999999999994,0.28750000000000003,-0.021454870431834583,-0.070562077019373,0.04910720658753842
GBM,ente,0.8,0.056249999999999994,0.32500000000000007,0.07504120609583054,-0.070562077019373,0.14560328311520354
GBM,ente,0.8,0.056249999999999994,0.36250000000000004,0.019332196913471877,-0.070562077019373,0.08989427393284488
GBM,ente,0.8,0.056249999999999994,0.4,0.08541615022178961,-0.070562077019373,0.15597822724116261
GBM,ente,0.8,0.0625,0.1,-0.09073375743225864,-0.070562077019373,-0.02017168041288564
GBM,ente,0.8,0.0625,0.1375,-0.07167284259310613,-0.070562077019373,-0.0011107655737331301
GBM,ente,0.8,0.0625,0.17500000000000002,-0.08702048149867181,-0.070562077019373,-0.016458404479298805
GBM,ente,0.8,0.0625,0.21250000000000002,-0.032798349763687895,-0.070562077019373,0.03776372725568511
GBM,ente,0.8,0.0625,0.25,-0.0184363091617622,-0.070562077019373,0.052125767857610805
GBM,ente,0.8,0.0625,0.28750000000000003,-0.008800610938010767,-0.070562077019373,0.06176146608136224
GBM,ente,0.8,0.0625,0.32500000000000007,0.03120272744246022,-0.070562077019373,0.10176480446183322
GBM,ente,0.8,0.0625,0.36250000000000004,0.054956471478899704,-0.070562077019373,0.1255185484982727
GBM,ente,0.8,0.0625,0.4,0.08484650656299597,-0.070562077019373,0.15540858358236898
GBM,ente,0.8,0.06875,0.1,-0.10588744438263331,-0.070562077019373,-0.03532536736326031
GBM,ente,0.8,0.06875,0.1375,-0.07012310262949184,-0.070562077019373,0.0004389743898811638
GBM,ente,0.8,0.06875,0.17500000000000002,-0.09642563719093056,-0.070562077019373,-0.025863560171557554
GBM,ente,0.8,0.06875,0.21250000000000002,-0.08225233239338747,-0.070562077019373,-0.011690255374014469
GBM,ente,0.8,0.06875,0.25,0.018408881219767803,-0.070562077019373,0.08897095823914081
GBM,ente,0.8,0.06875,0.28750000000000003,-0.041981666402197026,-0.070562077019373,0.028580410617175978
GBM,ente,0.8,0.06875,0.32500000000000007,0.008866522672337007,-0.070562077019373,0.07942859969171001
GBM,ente,0.8,0.06875,0.36250000000000004,0.06562344328006797,-0.070562077019373,0.13618552029944098
