model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,entl,0.8,0.025,0.1,-0.008682971193197607,-0.04460333072015619,0.03592035952695858
GBM,entl,0.8,0.025,0.1375,-0.01034747887064942,-0.04460333072015619,0.03425585184950677
GBM,entl,0.8,0.025,0.17500000000000002,-0.016662676497699022,-0.04460333072015619,0.027940654222457166
GBM,entl,0.8,0.025,0.21250000000000002,0.028223804766176235,-0.04460333072015619,0.07282713548633242
GBM,entl,0.8,0.025,0.25,0.029599819541182133,-0.04460333072015619,0.07420315026133832
GBM,entl,0.8,0.025,0.28750000000000003,0.061169741438471426,-0.04460333072015619,0.1057730721586276
GBM,entl,0.8,0.025,0.32500000000000007,0.024503685941026972,-0.04460333072015619,0.06910701666118316
GBM,entl,0.8,0.025,0.36250000000000004,0.06083332283419158,-0.04460333072015619,0.10543665355434777
GBM,entl,0.8,0.025,0.4,0.09325071573578494,-0.04460333072015619,0.13785404645594113
GBM,entl,0.8,0.03125,0.1,-0.01533587564209792,-0.04460333072015619,0.029267455078058266
GBM,entl,0.8,0.03125,0.1375,-0.03643597391702614,-0.04460333072015619,0.00816735680313005
GBM,entl,0.8,0.03125,0.17500000000000002,-0.017740647759611688,-0.04460333072015619,0.0268626829605445
GBM,entl,0.8,0.03125,0.21250000000000002,-0.0254387672871761,-0.04460333072015619,0.01916456343298009
GBM,entl,0.8,0.03125,0.25,0.004216181087957144,-0.04460333072015619,0.04881951180811333
GBM,entl,0.8,0.03125,0.28750000000000003,-0.007820147401631658,-0.04460333072015619,0.03678318331852453
GBM,entl,0.8,0.03125,0.32500000000000007,0.019187023242317535,-0.04460333072015619,0.06379035396247372
GBM,entl,0.8,0.03125,0.36250000000000004,0.018288633705825137,-0.04460333072015619,0.06289196442598133
GBM,entl,0.8,0.03125,0.4,0.09742799917301083,-0.04460333072015619,0.14203132989316702
GBM,entl,0.8,0.0375,0.1,-0.04806590363672909,-0.04460333072015619,-0.003462572916572905
GBM,entl,0.8,0.0375,0.1375,-0.045812803087695184,-0.04460333072015619,-0.0012094723675389954
GBM,entl,0.8,0.0375,0.17500000000000002,-0.028068977933992448,-0.04460333072015619,0.01653435278616374
GBM,entl,0.8,0.0375,0.21250000000000002,-0.017915040631897035,-0.04460333072015619,0.026688290088259153
GBM,entl,0.8,0.0375,0.25,-0.0045841188651271425,-0.04460333072015619,0.04001921185502905
GBM,entl,0.8,0.0375,0.28750000000000003,-0.003445521137774635,-0.04460333072015619,0.041157809582381556
GBM,entl,0.8,0.0375,0.32500000000000007,0.0260481674612334,-0.04460333072015619,0.07065149818138959
GBM,entl,0.8,0.0375,0.36250000000000004,0.05909235471100239,-0.04460333072015619,0.10369568543115858
GBM,entl,0.8,0.0375,0.4,0.08349462351602685,-0.04460333072015619,0.12809795423618303
GBM,entl,0.8,0.04375,0.1,-0.06267442772740928,-0.04460333072015619,-0.018071097007253088
GBM,entl,0.8,0.04375,0.1375,-0.051665308481429036,-0.04460333072015619,-0.007061977761272847
GBM,entl,0.8,0.04375,0.17500000000000002,-0.05138086583919211,-0.04460333072015619,-0.006777535119035921
GBM,entl,0.8,0.04375,0.21250000000000002,-0.020733937637370536,-0.04460333072015619,0.023869393082785652
GBM,entl,0.8,0.04375,0.25,-0.02781433208009919,-0.04460333072015619,0.016788998640057
GBM,entl,0.8,0.04375,0.28750000000000003,-0.03602696426332075,-0.04460333072015619,0.00857636645683544
GBM,entl,0.8,0.04375,0.32500000000000007,-0.0074783463562936,-0.04460333072015619,0.037124984363862586
GBM,entl,0.8,0.04375,0.36250000000000004,0.06541321101346426,-0.04460333072015619,0.11001654173362044
GBM,entl,0.8,0.04375,0.4,-0.017724775993177816,-0.04460333072015619,0.026878554726978372
GBM,entl,0.8,0.05,0.1,-0.0760479984977715,-0.04460333072015619,-0.03144466777761531
GBM,entl,0.8,0.05,0.1375,-0.0765641052929389,-0.04460333072015619,-0.031960774572782714
GBM,entl,0.8,0.05,0.17500000000000002,-0.062223203250388555,-0.04460333072015619,-0.017619872530232367
GBM,entl,0.8,0.05,0.21250000000000002,-0.0857625529476538,-0.04460333072015619,-0.041159222227497606
GBM,entl,0.8,0.05,0.25,-0.0011027256139167494,-0.04460333072015619,0.04350060510623944
GBM,entl,0.8,0.05,0.28750000000000003,-0.013711490379654724,-0.04460333072015619,0.030891840340501464
GBM,entl,0.8,0.05,0.32500000000000007,-0.048101478414774794,-0.04460333072015619,-0.0034981476946186058
GBM,entl,0.8,0.05,0.36250000000000004,0.029543631636347285,-0.04460333072015619,0.07414696235650348
GBM,entl,0.8,0.05,0.4,0.06879148408424736,-0.04460333072015619,0.11339481480440355
GBM,entl,0.8,0.056249999999999994,0.1,-0.09534591570314042,-0.04460333072015619,-0.050742584982984236
GBM,entl,0.8,0.056249999999999994,0.1375,-0.060241373975229724,-0.04460333072015619,-0.015638043255073536
GBM,entl,0.8,0.056249999999999994,0.17500000000000002,-0.05337996636836245,-0.04460333072015619,-0.008776635648206264
GBM,entl,0.8,0.056249999999999994,0.21250000000000002,-0.08336612440488264,-0.04460333072015619,-0.03876279368472645
GBM,entl,0.8,0.056249999999999994,0.25,-0.009351009906365592,-0.04460333072015619,0.035252320813790594
GBM,entl,0.8,0.056249999999999994,0.28750000000000003,-0.009750741016620011,-0.04460333072015619,0.03485258970353618
GBM,entl,0.8,0.056249999999999994,0.32500000000000007,0.0002643528832171227,-0.04460333072015619,0.04486768360337331
