model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,entw,0.8,0.025,0.1,0.0005718055920187481,0.005756302045727857,-0.005184496453709109
GBM,entw,0.8,0.025,0.1375,0.0017420896427506882,0.005756302045727857,-0.004014212402977169
GBM,entw,0.8,0.025,0.17500000000000002,0.003321559708090449,0.005756302045727857,-0.0024347423376374078
GBM,entw,0.8,0.025,0.21250000000000002,0.0074132627241985105,0.005756302045727857,0.0016569606784706536
GBM,entw,0.8,0.025,0.25,0.012706297975833225,0.005756302045727857,0.006949995930105368
GBM,entw,0.8,0.025,0.28750000000000003,0.018572761173950125,0.005756302045727857,0.012816459128222268
GBM,entw,0.8,0.025,0.32500000000000007,0.02257217951827073,0.005756302045727857,0.016815877472542873
GBM,entw,0.8,0.025,0.36250000000000004,0.040497515723805666,0.005756302045727857,0.03474121367807781
GBM,entw,0.8,0.025,0.4,0.06427706162887636,0.005756302045727857,0.05852075958314851
GBM,entw,0.8,0.03125,0.1,0.0005000949020774748,0.005756302045727857,-0.005256207143650382
GBM,entw,0.8,0.03125,0.1375,0.0014586911210210385,0.005756302045727857,-0.004297610924706818
GBM,entw,0.8,0.03125,0.17500000000000002,0.003855946015294265,0.005756302045727857,-0.001900356030433592
GBM,entw,0.8,0.03125,0.21250000000000002,0.007079098410841089,0.005756302045727857,0.0013227963651132324
GBM,entw,0.8,0.03125,0.25,0.012063053895126075,0.005756302045727857,0.006306751849398218
GBM,entw,0.8,0.03125,0.28750000000000003,0.018795954240858004,0.005756302045727857,0.013039652195130147
GBM,entw,0.8,0.03125,0.32500000000000007,0.03208080211042419,0.005756302045727857,0.026324500064696332
GBM,entw,0.8,0.03125,0.36250000000000004,0.04312964525882346,0.005756302045727857,0.0373733432130956
GBM,entw,0.8,0.03125,0.4,0.10053747198396712,0.005756302045727857,0.09478116993823926
GBM,entw,0.8,0.0375,0.1,0.0007181559108209168,0.005756302045727857,-0.00503814613490694
GBM,entw,0.8,0.0375,0.1375,0.0018192266992937967,0.005756302045727857,-0.00393707534643406
GBM,entw,0.8,0.0375,0.17500000000000002,0.0038381168422687573,0.005756302045727857,-0.0019181852034590996
GBM,entw,0.8,0.0375,0.21250000000000002,0.005145397082333414,0.005756302045727857,-0.000610904963394443
GBM,entw,0.8,0.0375,0.25,0.012726883841794656,0.005756302045727857,0.006970581796066799
GBM,entw,0.8,0.0375,0.28750000000000003,0.012616686873520688,0.005756302045727857,0.006860384827792831
