model,risk_type,t_idx,mu,sigma,MR,MR0,DeltaMR
GBM,esl,0.2,0.025,0.1,0.096845413576473,0.23313252221329833,-0.13628710863682533
GBM,esl,0.2,0.025,0.1375,0.2002335562211819,0.23313252221329833,-0.03289896599211642
GBM,esl,0.2,0.025,0.17500000000000002,0.33438960015000463,0.23313252221329833,0.1012570779367063
GBM,esl,0.2,0.025,0.21250000000000002,0.2774924744991751,0.23313252221329833,0.04435995228587675
GBM,esl,0.2,0.025,0.25,0.3906460970789434,0.23313252221329833,0.15751357486564505
GBM,esl,0.2,0.025,0.28750000000000003,0.5257797304287394,0.23313252221329833,0.29264720821544105
GBM,esl,0.2,0.025,0.32500000000000007,0.6197484861182813,0.23313252221329833,0.38661596390498293
GBM,esl,0.2,0.025,0.36250000000000004,0.650799050285351,0.23313252221329833,0.4176665280720527
GBM,esl,0.2,0.025,0.4,0.8038413099895689,0.23313252221329833,0.5707087877762707
GBM,esl,0.2,0.03125,0.1,0.07071837258032344,0.23313252221329833,-0.1624141496329749
GBM,esl,0.2,0.03125,0.1375,0.17236769192535453,0.23313252221329833,-0.0607648302879438
GBM,esl,0.2,0.03125,0.17500000000000002,0.26053206755805103,0.23313252221329833,0.027399545344752696
GBM,esl,0.2,0.03125,0.21250000000000002,0.2672910423011644,0.23313252221329833,0.03415852008786607
GBM,esl,0.2,0.03125,0.25,0.3998394655285388,0.23313252221329833,0.16670694331524044
GBM,esl,0.2,0.03125,0.28750000000000003,0.5070861438578953,0.23313252221329833,0.27395362164459697
GBM,esl,0.2,0.03125,0.32500000000000007,0.525830922076159,0.23313252221329833,0.29269839986286067
GBM,esl,0.2,0.03125,0.36250000000000004,0.6519430720549075,0.23313252221329833,0.4188105498416092
GBM,esl,0.2,0.03125,0.4,0.9223543858803408,0.23313252221329833,0.6892218636670424
GBM,esl,0.2,0.0375,0.1,0.06970690942824395,0.23313252221329833,-0.16342561278505438
GBM,esl,0.2,0.0375,0.1375,0.15569818931248167,0.23313252221329833,-0.07743433290081667
GBM,esl,0.2,0.0375,0.17500000000000002,0.20660662814916458,0.23313252221329833,-0.026525894064133748
GBM,esl,0.2,0.0375,0.21250000000000002,0.23077786044107984,0.23313252221329833,-0.0023546617722184915
GBM,esl,0.2,0.0375,0.25,0.39830809755317936,0.23313252221329833,0.16517557533988103
GBM,esl,0.2,0.0375,0.28750000000000003,0.4286627479249628,0.23313252221329833,0.19553022571166445
GBM,esl,0.2,0.0375,0.32500000000000007,0.5840962937883696,0.23313252221329833,0.35096377157507125
GBM,esl,0.2,0.0375,0.36250000000000004,0.6467295491983424,0.23313252221329833,0.413597026985044
GBM,esl,0.2,0.0375,0.4,0.9593931167743678,0.23313252221329833,0.7262605945610694
GBM,esl,0.2,0.04375,0.1,0.05067546881346337,0.23313252221329833,-0.18245705339983498
GBM,esl,0.2,0.04375,0.1375,0.1564174204047833,0.23313252221329833,-0.07671510180851504
GBM,esl,0.2,0.04375,0.17500000000000002,0.21421593341164719,0.23313252221329833,-0.018916588801651146
GBM,esl,0.2,0.04375,0.21250000000000002,0.3777153913871809,0.23313252221329833,0.14458286917388258
GBM,esl,0.2,0.04375,0.25,0.41590020697724756,0.23313252221329833,0.18276768476394922
GBM,esl,0.2,0.04375,0.28750000000000003,0.5171997146972442,0.23313252221329833,0.2840671924839459
GBM,esl,0.2,0.04375,0.32500000000000007,0.5003843495522989,0.23313252221329833,0.2672518273390006
GBM,esl,0.2,0.04375,0.36250000000000004,0.6507552674905637,0.23313252221329833,0.41762274527726534
GBM,esl,0.2,0.04375,0.4,0.7803485154693647,0.23313252221329833,0.5472159932560663
GBM,esl,0.2,0.05,0.1,0.05184403469751281,0.23313252221329833,-0.18128848751578552
GBM,esl,0.2,0.05,0.1375,0.12365468785204513,0.23313252221329833,-0.1094778343612532
GBM,esl,0.2,0.05,0.17500000000000002,0.15915594755702736,0.23313252221329833,-0.07397657465627097
GBM,esl,0.2,0.05,0.21250000000000002,0.2624224732463225,0.23313252221329833,0.029289951033024175
GBM,esl,0.2,0.05,0.25,0.46056074431296673,0.23313252221329833,0.2274282220996684
GBM,esl,0.2,0.05,0.28750000000000003,0.5494395770627447,0.23313252221329833,0.3163070548494464
GBM,esl,0.2,0.05,0.32500000000000007,0.491177382806862,0.23313252221329833,0.2580448605935637
GBM,esl,0.2,0.05,0.36250000000000004,1.0074462682001046,0.23313252221329833,0.7743137459868064
GBM,esl,0.2,0.05,0.4,0.8429543147314528,0.23313252221329833,0.6098217925181544
GBM,esl,0.2,0.056249999999999994,0.1,0.07269704901331506,0.23313252221329833,-0.16043547319998328
GBM,esl,0.2,0.056249999999999994,0.1375,0.07296769870107081,0.23313252221329833,-0.16016482351222752
GBM,esl,0.2,0.056249999999999994,0.17500000000000002,0.11592807470456226,0.23313252221329833,-0.11720444750873607
GBM,esl,0.2,0.056249999999999994,0.21250000000000002,0.3071066889380979,0.23313252221329833,0.07397416672479956
GBM,esl,0.2,0.056249999999999994,0.25,0.39222940342703333,0.23313252221329833,0.159096881213735
GBM,esl,0.2,0.056249999999999994,0.28750000000000003,0.46818160441830575,0.23313252221329833,0.23504908220500742
GBM,esl,0.2,0.056249999999999994,0.32500000000000007,0.6157162196601424,0.23313252221329833,0.3825836974468441
GBM,esl,0.2,0.056249999999999994,0.36250000000000004,0.5772426704189022,0.23313252221329833,0.34411014820560387
GBM,esl,0.2,0.056249999999999994,0.4,0.798191420839418,0.23313252221329833,0.5650588986261196
GBM,esl,0.2,0.0625,0.1,0.06057486236091769,0.23313252221329833,-0.17255765985238064
GBM,esl,0.2,0.0625,0.1375,0.06540711258955534,0.23313252221329833,-0.167725409623743
GBM,esl,0.2,0.0625,0.17500000000000002,0.23058513980460144,0.23313252221329833,-0.0025473824086968966
GBM,esl,0.2,0.0625,0.21250000000000002,0.2491274181756833,0.23313252221329833,0.01599489596238496
GBM,esl,0.2,0.0625,0.25,0.3337581275941084,0.23313252221329833,0.10062560538081006
GBM,esl,0.2,0.0625,0.28750000000000003,0.4408209201141559,0.23313252221329833,0.20768839790085758
GBM,esl,0.2,0.0625,0.32500000000000007,0.5445014912507474,0.23313252221329833,0.3113689690374491
GBM,esl,0.2,0.0625,0.36250000000000004,0.5767451973947054,0.23313252221329833,0.3436126751814071
GBM,esl,0.2,0.0625,0.4,0.731892326229278,0.23313252221329833,0.4987598040159797
GBM,esl,0.2,0.06875,0.1,0.041645244808160314,0.23313252221329833,-0.19148727740513802
GBM,esl,0.2,0.06875,0.1375,0.11278493950619056,0.23313252221329833,-0.12034758270710777
GBM,esl,0.2,0.06875,0.17500000000000002,0.1617335118723517,0.23313252221329833,-0.07139901034094664
GBM,esl,0.2,0.06875,0.21250000000000002,0.4139214089164288,0.23313252221329833,0.18078888670313048
GBM,esl,0.2,0.06875,0.25,0.28319910315327285,0.23313252221329833,0.050066580939974514
GBM,esl,0.2,0.06875,0.28750000000000003,0.4705638632005893,0.23313252221329833,0.23743134098729096
GBM,esl,0.2,0.06875,0.32500000000000007,0.5530945608085268,0.23313252221329833,0.3199620385952285
GBM,esl,0.2,0.06875,0.36250000000000004,0.6431913034973307,0.23313252221329833,0.41005878128403234
GBM,esl,0.2,0.06875,0.4,0.8555245499745014,0.23313252221329833,0.6223920277612032
GBM,esl,0.2,0.075,0.1,-0.11342347608076095,0.23313252221329833,-0.34655599829405925
GBM,esl,0.2,0.075,0.1375,0.033119903354194805,0.23313252221329833,-0.20001261885910354
GBM,esl,0.2,0.075,0.17500000000000002,0.14766188933120178,0.23313252221329833,-0.08547063288209655
GBM,esl,0.2,0.075,0.21250000000000002,0.2731599656158121,0.23313252221329833,0.04002744340251374
GBM,esl,0.2,0.075,0.25,0.4562131635315184,0.23313252221329833,0.22308064131822009
GBM,esl,0.2,0.075,0.28750000000000003,0.5311260994351304,0.23313252221329833,0.2979935772218321
GBM,esl,0.2,0.075,0.32500000000000007,0.5255122267578286,0.23313252221329833,0.2923797045445303
GBM,esl,0.2,0.075,0.36250000000000004,0.7653457936808943,0.23313252221329833,0.532213271467596
GBM,esl,0.2,0.075,0.4,0.7070449126914903,0.23313252221329833,0.47391239047819195
