model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,ele,0.8,1.0,0.1,0.049452883757263644,0.022563038639846766,0.026889845117416877
Heston,ele,0.8,1.0,0.125,0.04338249704242236,0.022563038639846766,0.020819458402575597
Heston,ele,0.8,1.0,0.15,-0.01223370082751285,0.022563038639846766,-0.034796739467359616
Heston,ele,0.8,1.0,0.175,0.008778261400208986,0.022563038639846766,-0.01378477723963778
Heston,ele,0.8,1.0,0.2,0.0782302051863466,0.022563038639846766,0.055667166546499836
Heston,ele,0.8,1.0,0.22499999999999998,0.07215915297370334,0.022563038639846766,0.04959611433385658
Heston,ele,0.8,1.0,0.25,0.042381735017081645,0.022563038639846766,0.01981869637723488
Heston,ele,0.8,1.0,0.275,0.07819906253274223,0.022563038639846766,0.05563602389289546
Heston,ele,0.8,1.0,0.3,0.12375681940641203,0.022563038639846766,0.10119378076656527
Heston,ele,0.8,1.375,0.1,0.00409472113415954,0.022563038639846766,-0.018468317505687226
Heston,ele,0.8,1.375,0.125,0.03968866698815465,0.022563038639846766,0.017125628348307886
Heston,ele,0.8,1.375,0.15,0.11670927185974378,0.022563038639846766,0.09414623321989701
Heston,ele,0.8,1.375,0.175,0.12483630976954663,0.022563038639846766,0.10227327112969986
Heston,ele,0.8,1.375,0.2,0.10493715131046244,0.022563038639846766,0.08237411267061567
Heston,ele,0.8,1.375,0.22499999999999998,0.11805942133017311,0.022563038639846766,0.09549638269032634
Heston,ele,0.8,1.375,0.25,0.11478049918894606,0.022563038639846766,0.0922174605490993
Heston,ele,0.8,1.375,0.275,0.023200448473523982,0.022563038639846766,0.000637409833677216
Heston,ele,0.8,1.375,0.3,0.16401316005114808,0.022563038639846766,0.1414501214113013
Heston,ele,0.8,1.75,0.1,0.06468168287618026,0.022563038639846766,0.04211864423633349
Heston,ele,0.8,1.75,0.125,0.038694445760909746,0.022563038639846766,0.01613140712106298
Heston,ele,0.8,1.75,0.15,0.0018957870192142234,0.022563038639846766,-0.020667251620632543
Heston,ele,0.8,1.75,0.175,0.07846108172130917,0.022563038639846766,0.0558980430814624
Heston,ele,0.8,1.75,0.2,0.08362438801532046,0.022563038639846766,0.061061349375473695
Heston,ele,0.8,1.75,0.22499999999999998,0.10466120452024552,0.022563038639846766,0.08209816588039875
Heston,ele,0.8,1.75,0.25,-0.05464574066744021,0.022563038639846766,-0.07720877930728698
Heston,ele,0.8,1.75,0.275,0.03372816613013496,0.022563038639846766,0.011165127490288196
Heston,ele,0.8,1.75,0.3,0.16667100722525285,0.022563038639846766,0.1441079685854061
Heston,ele,0.8,2.125,0.1,6.562809540824004,0.022563038639846766,6.540246502184157
Heston,ele,0.8,2.125,0.125,0.0869131470401332,0.022563038639846766,0.06435010840028643
Heston,ele,0.8,2.125,0.15,0.04257723127096136,0.022563038639846766,0.02001419263111459
Heston,ele,0.8,2.125,0.175,0.017888019790774035,0.022563038639846766,-0.004675018849072732
Heston,ele,0.8,2.125,0.2,-0.05108661914348034,0.022563038639846766,-0.0736496577833271
Heston,ele,0.8,2.125,0.22499999999999998,-0.006898555559316288,0.022563038639846766,-0.029461594199163055
Heston,ele,0.8,2.125,0.25,0.08843199169195715,0.022563038639846766,0.06586895305211038
Heston,ele,0.8,2.125,0.275,0.06177317865146681,0.022563038639846766,0.03921014001162004
Heston,ele,0.8,2.125,0.3,0.13834213532688167,0.022563038639846766,0.1157790966870349
Heston,ele,0.8,2.5,0.1,0.0654573710677846,0.022563038639846766,0.04289433242793783
Heston,ele,0.8,2.5,0.125,0.08745747260800463,0.022563038639846766,0.06489443396815786
Heston,ele,0.8,2.5,0.15,0.14986512505615424,0.022563038639846766,0.12730208641630747
Heston,ele,0.8,2.5,0.175,0.05284597721584072,0.022563038639846766,0.030282938575993956
Heston,ele,0.8,2.5,0.2,6.22193568697339,0.022563038639846766,6.199372648333544
Heston,ele,0.8,2.5,0.22499999999999998,0.06552410059778135,0.022563038639846766,0.04296106195793459
Heston,ele,0.8,2.5,0.25,0.22116033897243703,0.022563038639846766,0.19859730033259027
Heston,ele,0.8,2.5,0.275,0.20341197394582444,0.022563038639846766,0.18084893530597768
Heston,ele,0.8,2.5,0.3,0.2078750191990657,0.022563038639846766,0.18531198055921894
Heston,ele,0.8,2.875,0.1,0.2064305944088345,0.022563038639846766,0.18386755576898772
Heston,ele,0.8,2.875,0.125,0.0032897309883062054,0.022563038639846766,-0.01927330765154056
Heston,ele,0.8,2.875,0.15,0.005760290564188031,0.022563038639846766,-0.016802748075658736
Heston,ele,0.8,2.875,0.175,0.1176697973591434,0.022563038639846766,0.09510675871929664
Heston,ele,0.8,2.875,0.2,0.10924678294014156,0.022563038639846766,0.0866837443002948
