model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,elw,0.8,1.0,0.1,0.01804254612991274,1.0012262302184993,-0.9831836840885866
Heston,elw,0.8,1.0,0.125,0.049731044740250585,1.0012262302184993,-0.9514951854782487
Heston,elw,0.8,1.0,0.15,0.05917914185128259,1.0012262302184993,-0.9420470883672167
Heston,elw,0.8,1.0,0.175,0.027439720347415708,1.0012262302184993,-0.9737865098710836
Heston,elw,0.8,1.0,0.2,0.2389368709958759,1.0012262302184993,-0.7622893592226234
Heston,elw,0.8,1.0,0.22499999999999998,0.7674207238162931,1.0012262302184993,-0.2338055064022062
Heston,elw,0.8,1.0,0.25,0.06258746388857839,1.0012262302184993,-0.9386387663299209
Heston,elw,0.8,1.0,0.275,0.30003135213831,1.0012262302184993,-0.7011948780801893
Heston,elw,0.8,1.0,0.3,0.13353284214607086,1.0012262302184993,-0.8676933880724285
Heston,elw,0.8,1.375,0.1,0.038862055113106475,1.0012262302184993,-0.9623641751053928
Heston,elw,0.8,1.375,0.125,0.026602980875726656,1.0012262302184993,-0.9746232493427727
Heston,elw,0.8,1.375,0.15,0.20955409400783664,1.0012262302184993,-0.7916721362106627
Heston,elw,0.8,1.375,0.175,0.45442394658892993,1.0012262302184993,-0.5468022836295694
Heston,elw,0.8,1.375,0.2,0.1123826516159947,1.0012262302184993,-0.8888435786025046
Heston,elw,0.8,1.375,0.22499999999999998,103024457.95973778,1.0012262302184993,103024456.95851155
Heston,elw,0.8,1.375,0.25,0.1200622211620237,1.0012262302184993,-0.8811640090564756
Heston,elw,0.8,1.375,0.275,0.087368730111276,1.0012262302184993,-0.9138575001072233
Heston,elw,0.8,1.375,0.3,0.07715625083363054,1.0012262302184993,-0.9240699793848688
Heston,elw,0.8,1.75,0.1,0.032894766652992846,1.0012262302184993,-0.9683314635655065
Heston,elw,0.8,1.75,0.125,0.11845203900143653,1.0012262302184993,-0.8827741912170628
Heston,elw,0.8,1.75,0.15,0.031171554489505926,1.0012262302184993,-0.9700546757289934
Heston,elw,0.8,1.75,0.175,0.13914836530327146,1.0012262302184993,-0.8620778649152279
Heston,elw,0.8,1.75,0.2,1.1579666763949756,1.0012262302184993,0.1567404461764763
Heston,elw,0.8,1.75,0.22499999999999998,1.519166744132718,1.0012262302184993,0.5179405139142186
Heston,elw,0.8,1.75,0.25,3.7421200689661314,1.0012262302184993,2.740893838747632
Heston,elw,0.8,1.75,0.275,0.04852560818202667,1.0012262302184993,-0.9527006220364727
Heston,elw,0.8,1.75,0.3,54.41722821686985,1.0012262302184993,53.41600198665135
Heston,elw,0.8,2.125,0.1,130083.63154116183,1.0012262302184993,130082.63031493161
Heston,elw,0.8,2.125,0.125,0.03130909901364021,1.0012262302184993,-0.9699171312048591
Heston,elw,0.8,2.125,0.15,0.03146047506695271,1.0012262302184993,-0.9697657551515466
Heston,elw,0.8,2.125,0.175,0.038978529691310104,1.0012262302184993,-0.9622477005271892
Heston,elw,0.8,2.125,0.2,0.05744545531292622,1.0012262302184993,-0.9437807749055731
Heston,elw,0.8,2.125,0.22499999999999998,38.52915558469787,1.0012262302184993,37.52792935447937
Heston,elw,0.8,2.125,0.25,18.710194164076935,1.0012262302184993,17.708967933858435
Heston,elw,0.8,2.125,0.275,14.585947127305005,1.0012262302184993,13.584720897086505
Heston,elw,0.8,2.125,0.3,0.9168604722342473,1.0012262302184993,-0.08436575798425205
Heston,elw,0.8,2.5,0.1,0.036325784646213055,1.0012262302184993,-0.9649004455722863
Heston,elw,0.8,2.5,0.125,0.017891031396614743,1.0012262302184993,-0.9833351988218846
Heston,elw,0.8,2.5,0.15,0.05118086533306565,1.0012262302184993,-0.9500453648854337
Heston,elw,0.8,2.5,0.175,1.6012211948544905,1.0012262302184993,0.5999949646359912
Heston,elw,0.8,2.5,0.2,0.06460181267622156,1.0012262302184993,-0.9366244175422778
Heston,elw,0.8,2.5,0.22499999999999998,3.81114772188194,1.0012262302184993,2.8099214916634407
Heston,elw,0.8,2.5,0.25,2397.9044383234914,1.0012262302184993,2396.903212093273
Heston,elw,0.8,2.5,0.275,0.18226870277595442,1.0012262302184993,-0.8189575274425449
Heston,elw,0.8,2.5,0.3,0.30184981147643164,1.0012262302184993,-0.6993764187420677
Heston,elw,0.8,2.875,0.1,0.06556839917717028,1.0012262302184993,-0.935657831041329
Heston,elw,0.8,2.875,0.125,0.04592105858919826,1.0012262302184993,-0.9553051716293011
Heston,elw,0.8,2.875,0.15,0.054387383815429624,1.0012262302184993,-0.9468388464030697
Heston,elw,0.8,2.875,0.175,3650772.067394176,1.0012262302184993,3650771.066167946
Heston,elw,0.8,2.875,0.2,1.2726517816366933,1.0012262302184993,0.271425551418194
Heston,elw,0.8,2.875,0.22499999999999998,0.2259731082417753,1.0012262302184993,-0.775253121976724
Heston,elw,0.8,2.875,0.25,6.097683623370045e+18,1.0012262302184993,6.097683623370045e+18
Heston,elw,0.8,2.875,0.275,0.09968553493229537,1.0012262302184993,-0.901540695286204
Heston,elw,0.8,2.875,0.3,122.02381250029264,1.0012262302184993,121.02258627007413
Heston,elw,0.8,3.25,0.1,0.2151477852690642,1.0012262302184993,-0.7860784449494351
Heston,elw,0.8,3.25,0.125,0.09272338368641564,1.0012262302184993,-0.9085028465320837
Heston,elw,0.8,3.25,0.15,0.1795553448587872,1.0012262302184993,-0.8216708853597121
Heston,elw,0.8,3.25,0.175,0.04578273084541262,1.0012262302184993,-0.9554434993730867
Heston,elw,0.8,3.25,0.2,0.7147647455667387,1.0012262302184993,-0.2864614846517606
Heston,elw,0.8,3.25,0.22499999999999998,7.182245401429407,1.0012262302184993,6.181019171210908
Heston,elw,0.8,3.25,0.25,922.8434400718418,1.0012262302184993,921.8422138416232
Heston,elw,0.8,3.25,0.275,0.43031026687961216,1.0012262302184993,-0.5709159633388872
Heston,elw,0.8,3.25,0.3,1.075204983227282,1.0012262302184993,0.07397875300878276
Heston,elw,0.8,3.625,0.1,0.02857751628611771,1.0012262302184993,-0.9726487139323816
Heston,elw,0.8,3.625,0.125,0.058873173814358415,1.0012262302184993,-0.9423530564041409
Heston,elw,0.8,3.625,0.15,0.05121972602739522,1.0012262302184993,-0.9500065041911041
Heston,elw,0.8,3.625,0.175,0.11900849450169781,1.0012262302184993,-0.8822177357168015
Heston,elw,0.8,3.625,0.2,0.10492194527527654,1.0012262302184993,-0.8963042849432228
Heston,elw,0.8,3.625,0.22499999999999998,68608587.44957496,1.0012262302184993,68608586.44834873
Heston,elw,0.8,3.625,0.25,121.68436341066788,1.0012262302184993,120.68313718044939
Heston,elw,0.8,3.625,0.275,3467.952446836871,1.0012262302184993,3466.9512206066524
Heston,elw,0.8,3.625,0.3,46371509997407.195,1.0012262302184993,46371509997406.195
Heston,elw,0.8,4.0,0.1,0.028162653309145025,1.0012262302184993,-0.9730635769093543
Heston,elw,0.8,4.0,0.125,0.1586686647828488,1.0012262302184993,-0.8425575654356505
Heston,elw,0.8,4.0,0.15,0.028179823630039236,1.0012262302184993,-0.9730464065884601
Heston,elw,0.8,4.0,0.175,6.867618974836525,1.0012262302184993,5.866392744618025
Heston,elw,0.8,4.0,0.2,258.9366231897774,1.0012262302184993,257.9353969595589
Heston,elw,0.8,4.0,0.22499999999999998,33349.44368773773,1.0012262302184993,33348.44246150751
Heston,elw,0.8,4.0,0.25,2.2537379412257983,1.0012262302184993,1.252511711007299
Heston,elw,0.8,4.0,0.275,0.935307483417386,1.0012262302184993,-0.06591874680111331
Heston,elw,0.8,4.0,0.3,82083003547797.72,1.0012262302184993,82083003547796.72
