model,risk_type,t_idx,kappa,theta,MR,MR0,DeltaMR
Heston,ente,0.8,1.0,0.1,0.15153826410685034,0.0456904096988926,0.10584785440795774
Heston,ente,0.8,1.0,0.125,0.13193187049675825,0.0456904096988926,0.08624146079786565
Heston,ente,0.8,1.0,0.15,260.63580734123786,0.0456904096988926,260.59011693153894
Heston,ente,0.8,1.0,0.175,0.33543123050488455,0.0456904096988926,0.28974082080599195
Heston,ente,0.8,1.0,0.2,0.4358664729460353,0.0456904096988926,0.3901760632471427
Heston,ente,0.8,1.0,0.22499999999999998,2.8026239655480896,0.0456904096988926,2.756933555849197
Heston,ente,0.8,1.0,0.25,0.7990236124330938,0.0456904096988926,0.7533332027342012
Heston,ente,0.8,1.0,0.275,0.28674615775348644,0.0456904096988926,0.24105574805459384
Heston,ente,0.8,1.0,0.3,3.0986328407605135,0.0456904096988926,3.052942431061621
Heston,ente,0.8,1.375,0.1,0.029010707505434663,0.0456904096988926,-0.016679702193457935
Heston,ente,0.8,1.375,0.125,8.372089370941454,0.0456904096988926,8.326398961242562
Heston,ente,0.8,1.375,0.15,0.03133842861087288,0.0456904096988926,-0.014351981088019716
Heston,ente,0.8,1.375,0.175,4.278826297245873,0.0456904096988926,4.233135887546981
Heston,ente,0.8,1.375,0.2,8.14710207801088,0.0456904096988926,8.101411668311988
Heston,ente,0.8,1.375,0.22499999999999998,0.6910694940019468,0.0456904096988926,0.6453790843030542
Heston,ente,0.8,1.375,0.25,1.0016886280504087,0.0456904096988926,0.9559982183515161
Heston,ente,0.8,1.375,0.275,0.11516372710421496,0.0456904096988926,0.06947331740532237
Heston,ente,0.8,1.375,0.3,6.515072509644273,0.0456904096988926,6.469382099945381
Heston,ente,0.8,1.75,0.1,0.10412122198644069,0.0456904096988926,0.058430812287548095
Heston,ente,0.8,1.75,0.125,3.251682843700762,0.0456904096988926,3.2059924340018693
Heston,ente,0.8,1.75,0.15,0.03433639454656667,0.0456904096988926,-0.011354015152325925
Heston,ente,0.8,1.75,0.175,11.26974810073104,0.0456904096988926,11.224057691032147
Heston,ente,0.8,1.75,0.2,0.2993483149979024,0.0456904096988926,0.2536579052990098
Heston,ente,0.8,1.75,0.22499999999999998,344.112584022607,0.0456904096988926,344.0668936129081
Heston,ente,0.8,1.75,0.25,0.5207528808571138,0.0456904096988926,0.4750624711582212
Heston,ente,0.8,1.75,0.275,5.591792576039504,0.0456904096988926,5.546102166340612
Heston,ente,0.8,1.75,0.3,4.784042710517296,0.0456904096988926,4.738352300818404
Heston,ente,0.8,2.125,0.1,1.3371876384851578,0.0456904096988926,1.2914972287862652
Heston,ente,0.8,2.125,0.125,0.07614743100116028,0.0456904096988926,0.030457021302267684
Heston,ente,0.8,2.125,0.15,0.11213156361478749,0.0456904096988926,0.06644115391589489
Heston,ente,0.8,2.125,0.175,6.463660381910406,0.0456904096988926,6.417969972211514
Heston,ente,0.8,2.125,0.2,0.27449889692664553,0.0456904096988926,0.22880848722775293
Heston,ente,0.8,2.125,0.22499999999999998,0.9130208142818406,0.0456904096988926,0.867330404582948
Heston,ente,0.8,2.125,0.25,-0.019571577334717705,0.0456904096988926,-0.0652619870336103
Heston,ente,0.8,2.125,0.275,0.7432626650061762,0.0456904096988926,0.6975722553072836
Heston,ente,0.8,2.125,0.3,0.7483661258712835,0.0456904096988926,0.7026757161723909
Heston,ente,0.8,2.5,0.1,0.07908863979341829,0.0456904096988926,0.033398230094525694
Heston,ente,0.8,2.5,0.125,-0.00566607959714216,0.0456904096988926,-0.05135648929603476
Heston,ente,0.8,2.5,0.15,0.16412684651904041,0.0456904096988926,0.11843643682014782
Heston,ente,0.8,2.5,0.175,5.018937893178457,0.0456904096988926,4.973247483479565
Heston,ente,0.8,2.5,0.2,4.246756972195415,0.0456904096988926,4.201066562496523
Heston,ente,0.8,2.5,0.22499999999999998,0.4922059949565811,0.0456904096988926,0.44651558525768853
Heston,ente,0.8,2.5,0.25,1.4845108413571775,0.0456904096988926,1.4388204316582849
Heston,ente,0.8,2.5,0.275,4.093906796981546,0.0456904096988926,4.048216387282654
Heston,ente,0.8,2.5,0.3,186.04030662330072,0.0456904096988926,185.99461621360183
Heston,ente,0.8,2.875,0.1,0.016633572597174018,0.0456904096988926,-0.02905683710171858
Heston,ente,0.8,2.875,0.125,26.554486936494296,0.0456904096988926,26.508796526795404
Heston,ente,0.8,2.875,0.15,2.251808809878576,0.0456904096988926,2.206118400179683
Heston,ente,0.8,2.875,0.175,0.0877554403407601,0.0456904096988926,0.04206503064186751
Heston,ente,0.8,2.875,0.2,15.004600228695441,0.0456904096988926,14.958909818996549
Heston,ente,0.8,2.875,0.22499999999999998,3.152225976959841,0.0456904096988926,3.1065355672609485
Heston,ente,0.8,2.875,0.25,56.65224128328907,0.0456904096988926,56.60655087359018
Heston,ente,0.8,2.875,0.275,6.246466525874441,0.0456904096988926,6.200776116175549
Heston,ente,0.8,2.875,0.3,451.4042281699689,0.0456904096988926,451.35853776027
Heston,ente,0.8,3.25,0.1,0.07875970651710107,0.0456904096988926,0.03306929681820847
Heston,ente,0.8,3.25,0.125,9.486338753206683,0.0456904096988926,9.44064834350779
Heston,ente,0.8,3.25,0.15,0.16395217446582855,0.0456904096988926,0.11826176476693595
Heston,ente,0.8,3.25,0.175,1.3631970272456426,0.0456904096988926,1.31750661754675
Heston,ente,0.8,3.25,0.2,3.9840074719229617,0.0456904096988926,3.938317062224069
