model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,ele,0.8,-0.3,0.0,-0.04401496898790247,-0.037129251540189645,-0.006885717447712825
Jump,ele,0.8,-0.3,0.125,0.07780536730490994,-0.037129251540189645,0.11493461884509959
Jump,ele,0.8,-0.3,0.25,0.08607272216913375,-0.037129251540189645,0.1232019737093234
Jump,ele,0.8,-0.3,0.375,0.06796232883998399,-0.037129251540189645,0.10509158038017363
Jump,ele,0.8,-0.3,0.5,0.07298112728999451,-0.037129251540189645,0.11011037883018415
Jump,ele,0.8,-0.3,0.625,0.11526996828007796,-0.037129251540189645,0.1523992198202676
Jump,ele,0.8,-0.3,0.75,0.06747362958806202,-0.037129251540189645,0.10460288112825167
Jump,ele,0.8,-0.3,0.875,0.11064496238396848,-0.037129251540189645,0.14777421392415813
Jump,ele,0.8,-0.3,1.0,0.09743832707541555,-0.037129251540189645,0.1345675786156052
Jump,ele,0.8,-0.22499999999999998,0.0,-0.02977749055076384,-0.037129251540189645,0.007351760989425804
Jump,ele,0.8,-0.22499999999999998,0.125,-0.002969622899969604,-0.037129251540189645,0.03415962864022004
Jump,ele,0.8,-0.22499999999999998,0.25,0.021867156903804474,-0.037129251540189645,0.05899640844399412
Jump,ele,0.8,-0.22499999999999998,0.375,0.0570656381545136,-0.037129251540189645,0.09419488969470324
Jump,ele,0.8,-0.22499999999999998,0.5,0.10804918162561261,-0.037129251540189645,0.14517843316580226
Jump,ele,0.8,-0.22499999999999998,0.625,0.12046220698721966,-0.037129251540189645,0.1575914585274093
Jump,ele,0.8,-0.22499999999999998,0.75,0.09142005804114794,-0.037129251540189645,0.1285493095813376
Jump,ele,0.8,-0.22499999999999998,0.875,0.10332125336988707,-0.037129251540189645,0.1404505049100767
Jump,ele,0.8,-0.22499999999999998,1.0,0.11498037039681441,-0.037129251540189645,0.15210962193700406
Jump,ele,0.8,-0.15,0.0,-0.020673149000856705,-0.037129251540189645,0.01645610253933294
Jump,ele,0.8,-0.15,0.125,-0.029930936499730443,-0.037129251540189645,0.007198315040459202
Jump,ele,0.8,-0.15,0.25,0.020551373058621092,-0.037129251540189645,0.05768062459881074
Jump,ele,0.8,-0.15,0.375,0.09006171794564621,-0.037129251540189645,0.12719096948583586
Jump,ele,0.8,-0.15,0.5,0.05605420846169773,-0.037129251540189645,0.09318346000188737
Jump,ele,0.8,-0.15,0.625,0.09369952935316217,-0.037129251540189645,0.13082878089335181
Jump,ele,0.8,-0.15,0.75,0.0987884176704188,-0.037129251540189645,0.13591766921060844
Jump,ele,0.8,-0.15,0.875,0.11259979699872114,-0.037129251540189645,0.14972904853891078
Jump,ele,0.8,-0.15,1.0,0.11002107757474167,-0.037129251540189645,0.1471503291149313
Jump,ele,0.8,-0.07500000000000001,0.0,-0.010702875083178909,-0.037129251540189645,0.026426376457010736
Jump,ele,0.8,-0.07500000000000001,0.125,-0.07221741338158594,-0.037129251540189645,-0.03508816184139629
Jump,ele,0.8,-0.07500000000000001,0.25,-0.018111801530394933,-0.037129251540189645,0.019017450009794712
Jump,ele,0.8,-0.07500000000000001,0.375,0.04458003860209625,-0.037129251540189645,0.0817092901422859
Jump,ele,0.8,-0.07500000000000001,0.5,0.05792572618186531,-0.037129251540189645,0.09505497772205496
Jump,ele,0.8,-0.07500000000000001,0.625,0.04968788555433612,-0.037129251540189645,0.08681713709452576
Jump,ele,0.8,-0.07500000000000001,0.75,0.03489069073647855,-0.037129251540189645,0.07201994227666819
Jump,ele,0.8,-0.07500000000000001,0.875,0.10759225628745939,-0.037129251540189645,0.14472150782764903
Jump,ele,0.8,-0.07500000000000001,1.0,0.064248141774635,-0.037129251540189645,0.10137739331482465
Jump,ele,0.8,0.0,0.0,-0.07474450943050992,-0.037129251540189645,-0.037615257890320275
Jump,ele,0.8,0.0,0.125,-0.03521901884768941,-0.037129251540189645,0.0019102326925002355
Jump,ele,0.8,0.0,0.25,-0.03159772607559008,-0.037129251540189645,0.005531525464599563
Jump,ele,0.8,0.0,0.375,-0.039244594765358465,-0.037129251540189645,-0.00211534322516882
Jump,ele,0.8,0.0,0.5,-0.07187071256013389,-0.037129251540189645,-0.03474146101994424
Jump,ele,0.8,0.0,0.625,-0.022535374543069753,-0.037129251540189645,0.014593876997119892
Jump,ele,0.8,0.0,0.75,-0.04137163895324936,-0.037129251540189645,-0.004242387413059712
Jump,ele,0.8,0.0,0.875,-0.05201659958948157,-0.037129251540189645,-0.014887348049291926
Jump,ele,0.8,0.0,1.0,-0.026142130165106692,-0.037129251540189645,0.010987121375082953
Jump,ele,0.8,0.07500000000000001,0.0,-0.06131171509033373,-0.037129251540189645,-0.024182463550144084
Jump,ele,0.8,0.07500000000000001,0.125,-0.06107042569274501,-0.037129251540189645,-0.023941174152555367
Jump,ele,0.8,0.07500000000000001,0.25,-0.11042260607032806,-0.037129251540189645,-0.07329335453013841
Jump,ele,0.8,0.07500000000000001,0.375,-0.06722274597430145,-0.037129251540189645,-0.0300934944341118
Jump,ele,0.8,0.07500000000000001,0.5,-0.054470917460514134,-0.037129251540189645,-0.01734166592032449
Jump,ele,0.8,0.07500000000000001,0.625,-0.1264895116994097,-0.037129251540189645,-0.08936026015922005
Jump,ele,0.8,0.07500000000000001,0.75,-0.13329483418551125,-0.037129251540189645,-0.0961655826453216
Jump,ele,0.8,0.07500000000000001,0.875,-0.16275988754180248,-0.037129251540189645,-0.12563063600161284
Jump,ele,0.8,0.07500000000000001,1.0,-0.18311349418046152,-0.037129251540189645,-0.14598424264027188
Jump,ele,0.8,0.14999999999999997,0.0,-0.028644334783095915,-0.037129251540189645,0.00848491675709373
Jump,ele,0.8,0.14999999999999997,0.125,-0.007306932072364325,-0.037129251540189645,0.02982231946782532
Jump,ele,0.8,0.14999999999999997,0.25,-0.01731941057440478,-0.037129251540189645,0.019809840965784864
Jump,ele,0.8,0.14999999999999997,0.375,-0.17668820795763462,-0.037129251540189645,-0.13955895641744498
Jump,ele,0.8,0.14999999999999997,0.5,-0.20931822327517036,-0.037129251540189645,-0.1721889717349807
Jump,ele,0.8,0.14999999999999997,0.625,-0.20667368183419332,-0.037129251540189645,-0.16954443029400368
Jump,ele,0.8,0.14999999999999997,0.75,-0.26799634888586543,-0.037129251540189645,-0.2308670973456758
Jump,ele,0.8,0.14999999999999997,0.875,-0.2721698864616201,-0.037129251540189645,-0.23504063492143046
Jump,ele,0.8,0.14999999999999997,1.0,-0.293678415948013,-0.037129251540189645,-0.2565491644078234
Jump,ele,0.8,0.22500000000000003,0.0,-0.029583862032211306,-0.037129251540189645,0.0075453895079783395
Jump,ele,0.8,0.22500000000000003,0.125,-0.0743899083831987,-0.037129251540189645,-0.037260656843009055
Jump,ele,0.8,0.22500000000000003,0.25,-0.13871685590490324,-0.037129251540189645,-0.10158760436471359
Jump,ele,0.8,0.22500000000000003,0.375,-0.2177910236656312,-0.037129251540189645,-0.18066177212544154
Jump,ele,0.8,0.22500000000000003,0.5,-0.25121614499719747,-0.037129251540189645,-0.21408689345700782
Jump,ele,0.8,0.22500000000000003,0.625,-0.31754564090591864,-0.037129251540189645,-0.280416389365729
Jump,ele,0.8,0.22500000000000003,0.75,-0.43722630368029747,-0.037129251540189645,-0.4000970521401078
Jump,ele,0.8,0.22500000000000003,0.875,-0.47735517885330625,-0.037129251540189645,-0.4402259273131166
Jump,ele,0.8,0.22500000000000003,1.0,-0.44971062026666075,-0.037129251540189645,-0.4125813687264711
Jump,ele,0.8,0.3,0.0,-0.02365852114830136,-0.037129251540189645,0.013470730391888286
Jump,ele,0.8,0.3,0.125,-0.10316790294674794,-0.037129251540189645,-0.06603865140655829
Jump,ele,0.8,0.3,0.25,-0.18466795920189472,-0.037129251540189645,-0.14753870766170507
Jump,ele,0.8,0.3,0.375,-0.2942235966941483,-0.037129251540189645,-0.2570943451539587
Jump,ele,0.8,0.3,0.5,-0.326263059741532,-0.037129251540189645,-0.2891338082013424
Jump,ele,0.8,0.3,0.625,-0.4078187347481226,-0.037129251540189645,-0.37068948320793293
Jump,ele,0.8,0.3,0.75,-0.5581986006280149,-0.037129251540189645,-0.5210693490878252
Jump,ele,0.8,0.3,0.875,-0.602894446095918,-0.037129251540189645,-0.5657651945557284
Jump,ele,0.8,0.3,1.0,-0.6154224255226043,-0.037129251540189645,-0.5782931739824146
