model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,elw,0.8,-0.3,0.0,0.0051628798128988684,0.01256664932124063,-0.007403769508341762
Jump,elw,0.8,-0.3,0.125,0.11140130127761694,0.01256664932124063,0.09883465195637631
Jump,elw,0.8,-0.3,0.25,0.11249840417081747,0.01256664932124063,0.09993175484957684
Jump,elw,0.8,-0.3,0.375,0.05742069844322173,0.01256664932124063,0.0448540491219811
Jump,elw,0.8,-0.3,0.5,0.330821278807653,0.01256664932124063,0.31825462948641237
Jump,elw,0.8,-0.3,0.625,0.10509893394778302,0.01256664932124063,0.0925322846265424
Jump,elw,0.8,-0.3,0.75,0.029987377149337524,0.01256664932124063,0.017420727828096894
Jump,elw,0.8,-0.3,0.875,0.03684072795130411,0.01256664932124063,0.024274078630063478
Jump,elw,0.8,-0.3,1.0,0.026950040231756622,0.01256664932124063,0.014383390910515992
Jump,elw,0.8,-0.22499999999999998,0.0,0.004576980470229142,0.01256664932124063,-0.007989668851011489
Jump,elw,0.8,-0.22499999999999998,0.125,0.020416988095618427,0.01256664932124063,0.007850338774377796
Jump,elw,0.8,-0.22499999999999998,0.25,0.032840681529588744,0.01256664932124063,0.020274032208348114
Jump,elw,0.8,-0.22499999999999998,0.375,0.05747988304748697,0.01256664932124063,0.04491323372624634
Jump,elw,0.8,-0.22499999999999998,0.5,0.08366252384931694,0.01256664932124063,0.07109587452807631
Jump,elw,0.8,-0.22499999999999998,0.625,0.03042376396053892,0.01256664932124063,0.017857114639298288
Jump,elw,0.8,-0.22499999999999998,0.75,0.044872777291260935,0.01256664932124063,0.032306127970020304
Jump,elw,0.8,-0.22499999999999998,0.875,0.051664518362328105,0.01256664932124063,0.039097869041087474
Jump,elw,0.8,-0.22499999999999998,1.0,0.024239515164213632,0.01256664932124063,0.011672865842973001
Jump,elw,0.8,-0.15,0.0,0.004202043626734708,0.01256664932124063,-0.008364605694505922
Jump,elw,0.8,-0.15,0.125,0.017036314109790673,0.01256664932124063,0.004469664788550043
Jump,elw,0.8,-0.15,0.25,0.03047012850663644,0.01256664932124063,0.01790347918539581
Jump,elw,0.8,-0.15,0.375,0.026335876075831655,0.01256664932124063,0.013769226754591024
Jump,elw,0.8,-0.15,0.5,0.10598671455369457,0.01256664932124063,0.09342006523245394
Jump,elw,0.8,-0.15,0.625,0.3570492951228148,0.01256664932124063,0.34448264580157417
Jump,elw,0.8,-0.15,0.75,0.07128838978314622,0.01256664932124063,0.05872174046190559
Jump,elw,0.8,-0.15,0.875,0.11122310066182828,0.01256664932124063,0.09865645134058765
Jump,elw,0.8,-0.15,1.0,0.03427788396490117,0.01256664932124063,0.021711234643660537
Jump,elw,0.8,-0.07500000000000001,0.0,0.005331668479476415,0.01256664932124063,-0.007234980841764216
Jump,elw,0.8,-0.07500000000000001,0.125,0.020693413929688598,0.01256664932124063,0.008126764608447967
Jump,elw,0.8,-0.07500000000000001,0.25,0.010753158952511832,0.01256664932124063,-0.0018134903687287984
Jump,elw,0.8,-0.07500000000000001,0.375,0.04130346324008527,0.01256664932124063,0.02873681391884464
Jump,elw,0.8,-0.07500000000000001,0.5,0.014074000793773633,0.01256664932124063,0.0015073514725330028
Jump,elw,0.8,-0.07500000000000001,0.625,0.022568129801471937,0.01256664932124063,0.010001480480231306
Jump,elw,0.8,-0.07500000000000001,0.75,0.02613611498116364,0.01256664932124063,0.013569465659923008
Jump,elw,0.8,-0.07500000000000001,0.875,0.032055891892306176,0.01256664932124063,0.019489242571065546
Jump,elw,0.8,-0.07500000000000001,1.0,0.04196195409866865,0.01256664932124063,0.029395304777428022
Jump,elw,0.8,0.0,0.0,0.003896374819042814,0.01256664932124063,-0.008670274502197817
Jump,elw,0.8,0.0,0.125,0.00584716574172206,0.01256664932124063,-0.00671948357951857
Jump,elw,0.8,0.0,0.25,0.006569595309880771,0.01256664932124063,-0.005997054011359859
Jump,elw,0.8,0.0,0.375,0.010598350872292661,0.01256664932124063,-0.0019682984489479693
Jump,elw,0.8,0.0,0.5,0.00860752917138674,0.01256664932124063,-0.00395912014985389
Jump,elw,0.8,0.0,0.625,0.009341532128138486,0.01256664932124063,-0.003225117193102145
Jump,elw,0.8,0.0,0.75,0.018651996593263442,0.01256664932124063,0.006085347272022812
Jump,elw,0.8,0.0,0.875,0.011931344095811758,0.01256664932124063,-0.0006353052254288727
Jump,elw,0.8,0.0,1.0,0.02066545509871842,0.01256664932124063,0.008098805777477791
Jump,elw,0.8,0.07500000000000001,0.0,0.003850613627282895,0.01256664932124063,-0.008716035693957735
Jump,elw,0.8,0.07500000000000001,0.125,0.00894548947678131,0.01256664932124063,-0.0036211598444593207
Jump,elw,0.8,0.07500000000000001,0.25,0.013659345337886153,0.01256664932124063,0.0010926960166455224
Jump,elw,0.8,0.07500000000000001,0.375,0.006289381611075395,0.01256664932124063,-0.006277267710165235
Jump,elw,0.8,0.07500000000000001,0.5,0.015610178181609813,0.01256664932124063,0.0030435288603691824
Jump,elw,0.8,0.07500000000000001,0.625,0.00847241855752956,0.01256664932124063,-0.004094230763711071
Jump,elw,0.8,0.07500000000000001,0.75,0.009515154705281637,0.01256664932124063,-0.003051494615958994
