model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,ente,0.8,-0.3,0.0,-0.03699103297710371,0.028038176665164283,-0.065029209642268
Jump,ente,0.8,-0.3,0.125,0.04668083914213317,0.028038176665164283,0.018642662476968885
Jump,ente,0.8,-0.3,0.25,0.11939141404863163,0.028038176665164283,0.09135323738346735
Jump,ente,0.8,-0.3,0.375,0.30561459580297035,0.028038176665164283,0.27757641913780606
Jump,ente,0.8,-0.3,0.5,0.17418456197069698,0.028038176665164283,0.1461463853055327
Jump,ente,0.8,-0.3,0.625,0.08727416129907906,0.028038176665164283,0.05923598463391477
Jump,ente,0.8,-0.3,0.75,0.1258180093060215,0.028038176665164283,0.09777983264085721
Jump,ente,0.8,-0.3,0.875,0.16811661860565996,0.028038176665164283,0.14007844194049568
Jump,ente,0.8,-0.3,1.0,0.09098655431850755,0.028038176665164283,0.06294837765334327
Jump,ente,0.8,-0.22499999999999998,0.0,-0.021457054649865803,0.028038176665164283,-0.049495231315030086
Jump,ente,0.8,-0.22499999999999998,0.125,0.210686929771007,0.028038176665164283,0.18264875310584272
Jump,ente,0.8,-0.22499999999999998,0.25,0.10928655099970652,0.028038176665164283,0.08124837433454224
Jump,ente,0.8,-0.22499999999999998,0.375,0.24346195772112078,0.028038176665164283,0.2154237810559565
Jump,ente,0.8,-0.22499999999999998,0.5,0.10664520690673274,0.028038176665164283,0.07860703024156845
Jump,ente,0.8,-0.22499999999999998,0.625,0.13854070816725028,0.028038176665164283,0.110502531502086
Jump,ente,0.8,-0.22499999999999998,0.75,0.10519276830106117,0.028038176665164283,0.07715459163589689
Jump,ente,0.8,-0.22499999999999998,0.875,0.11974370008417345,0.028038176665164283,0.09170552341900917
Jump,ente,0.8,-0.22499999999999998,1.0,0.1479025383150092,0.028038176665164283,0.11986436164984493
Jump,ente,0.8,-0.15,0.0,-0.026156410165761423,0.028038176665164283,-0.054194586830925706
Jump,ente,0.8,-0.15,0.125,0.003469112586963252,0.028038176665164283,-0.02456906407820103
Jump,ente,0.8,-0.15,0.25,0.05235165131115371,0.028038176665164283,0.02431347464598943
Jump,ente,0.8,-0.15,0.375,0.19412690681652656,0.028038176665164283,0.16608873015136227
Jump,ente,0.8,-0.15,0.5,0.15279824543931286,0.028038176665164283,0.12476006877414858
Jump,ente,0.8,-0.15,0.625,0.10263059543712894,0.028038176665164283,0.07459241877196465
Jump,ente,0.8,-0.15,0.75,0.09844792797601265,0.028038176665164283,0.07040975131084837
Jump,ente,0.8,-0.15,0.875,0.1267604832097755,0.028038176665164283,0.09872230654461123
Jump,ente,0.8,-0.15,1.0,0.163030914613584,0.028038176665164283,0.1349927379484197
Jump,ente,0.8,-0.07500000000000001,0.0,-0.0285233806751376,0.028038176665164283,-0.05656155734030188
Jump,ente,0.8,-0.07500000000000001,0.125,0.018024312912455986,0.028038176665164283,-0.010013863752708296
Jump,ente,0.8,-0.07500000000000001,0.25,0.007911748848817624,0.028038176665164283,-0.02012642781634666
Jump,ente,0.8,-0.07500000000000001,0.375,0.03197440716218547,0.028038176665164283,0.003936230497021187
Jump,ente,0.8,-0.07500000000000001,0.5,0.04124907453776827,0.028038176665164283,0.013210897872603988
Jump,ente,0.8,-0.07500000000000001,0.625,0.10524595919752766,0.028038176665164283,0.07720778253236338
Jump,ente,0.8,-0.07500000000000001,0.75,0.08093055161473739,0.028038176665164283,0.05289237494957311
Jump,ente,0.8,-0.07500000000000001,0.875,0.057828237077766964,0.028038176665164283,0.02979006041260268
Jump,ente,0.8,-0.07500000000000001,1.0,0.09550237503229386,0.028038176665164283,0.06746419836712958
Jump,ente,0.8,0.0,0.0,-0.05243251521468617,0.028038176665164283,-0.08047069187985045
Jump,ente,0.8,0.0,0.125,-0.034830203536776905,0.028038176665164283,-0.06286838020194119
Jump,ente,0.8,0.0,0.25,-0.029564037665004927,0.028038176665164283,-0.05760221433016921
Jump,ente,0.8,0.0,0.375,-0.022617393005378017,0.028038176665164283,-0.0506555696705423
Jump,ente,0.8,0.0,0.5,-0.025088607642086536,0.028038176665164283,-0.05312678430725082
Jump,ente,0.8,0.0,0.625,-0.0067304270387126275,0.028038176665164283,-0.03476860370387691
Jump,ente,0.8,0.0,0.75,-0.01939497829336656,0.028038176665164283,-0.04743315495853084
Jump,ente,0.8,0.0,0.875,0.13639491006788096,0.028038176665164283,0.10835673340271668
Jump,ente,0.8,0.0,1.0,0.007634502182150893,0.028038176665164283,-0.02040367448301339
Jump,ente,0.8,0.07500000000000001,0.0,-0.0587886090469677,0.028038176665164283,-0.08682678571213198
Jump,ente,0.8,0.07500000000000001,0.125,-0.05202768153207671,0.028038176665164283,-0.08006585819724099
Jump,ente,0.8,0.07500000000000001,0.25,-0.08279986088125069,0.028038176665164283,-0.11083803754641497
Jump,ente,0.8,0.07500000000000001,0.375,-0.031150303863331952,0.028038176665164283,-0.059188480528496235
Jump,ente,0.8,0.07500000000000001,0.5,-0.05343042955086619,0.028038176665164283,-0.08146860621603047
