model,risk_type,t_idx,meanJ,lam,MR,MR0,DeltaMR
Jump,esl,0.8,-0.3,0.0,0.2076677416549731,0.4259162772319063,-0.2182485355769332
Jump,esl,0.8,-0.3,0.125,0.3800462860227757,0.4259162772319063,-0.0458699912091306
Jump,esl,0.8,-0.3,0.25,0.706521237832255,0.4259162772319063,0.2806049606003487
Jump,esl,0.8,-0.3,0.375,0.54077697202376,0.4259162772319063,0.11486069479185368
Jump,esl,0.8,-0.3,0.5,0.5513030723612428,0.4259162772319063,0.12538679512933648
Jump,esl,0.8,-0.3,0.625,0.6364847025253959,0.4259162772319063,0.21056842529348963
Jump,esl,0.8,-0.3,0.75,0.6139489155935826,0.4259162772319063,0.18803263836167627
Jump,esl,0.8,-0.3,0.875,0.5942868829641574,0.4259162772319063,0.16837060573225116
Jump,esl,0.8,-0.3,1.0,0.3206281166416743,0.4259162772319063,-0.105288160590232
Jump,esl,0.8,-0.22499999999999998,0.0,0.25905076544385897,0.4259162772319063,-0.16686551178804732
Jump,esl,0.8,-0.22499999999999998,0.125,0.456211860593532,0.4259162772319063,0.030295583361625744
Jump,esl,0.8,-0.22499999999999998,0.25,0.5488407424914381,0.4259162772319063,0.12292446525953182
Jump,esl,0.8,-0.22499999999999998,0.375,0.6087108355289343,0.4259162772319063,0.18279455829702806
Jump,esl,0.8,-0.22499999999999998,0.5,0.5758302312872949,0.4259162772319063,0.14991395405538865
Jump,esl,0.8,-0.22499999999999998,0.625,0.6945134455919921,0.4259162772319063,0.26859716836008585
Jump,esl,0.8,-0.22499999999999998,0.75,0.4916975649573845,0.4259162772319063,0.0657812877254782
Jump,esl,0.8,-0.22499999999999998,0.875,0.606491191058457,0.4259162772319063,0.18057491382655066
Jump,esl,0.8,-0.22499999999999998,1.0,0.4782262171149033,0.4259162772319063,0.052309939882997036
Jump,esl,0.8,-0.15,0.0,0.24940024410641665,0.4259162772319063,-0.17651603312548964
Jump,esl,0.8,-0.15,0.125,0.38441321927133887,0.4259162772319063,-0.04150305796056741
Jump,esl,0.8,-0.15,0.25,0.5476458867754531,0.4259162772319063,0.12172960954354684
Jump,esl,0.8,-0.15,0.375,0.5041282926432409,0.4259162772319063,0.0782120154113346
Jump,esl,0.8,-0.15,0.5,0.5888085575844959,0.4259162772319063,0.16289228035258962
Jump,esl,0.8,-0.15,0.625,0.44998233233412666,0.4259162772319063,0.024066055102220374
Jump,esl,0.8,-0.15,0.75,0.5828730891098461,0.4259162772319063,0.15695681187793986
Jump,esl,0.8,-0.15,0.875,0.684478639925319,0.4259162772319063,0.2585623626934127
Jump,esl,0.8,-0.15,1.0,0.5578341150657816,0.4259162772319063,0.13191783783387534
Jump,esl,0.8,-0.07500000000000001,0.0,0.23592766893680833,0.4259162772319063,-0.18998860829509795
Jump,esl,0.8,-0.07500000000000001,0.125,0.3383506517831443,0.4259162772319063,-0.08756562544876201
Jump,esl,0.8,-0.07500000000000001,0.25,0.34045738299724765,0.4259162772319063,-0.08545889423465863
Jump,esl,0.8,-0.07500000000000001,0.375,0.38249919642442887,0.4259162772319063,-0.043417080807477415
Jump,esl,0.8,-0.07500000000000001,0.5,0.46564295390123556,0.4259162772319063,0.039726676669329275
Jump,esl,0.8,-0.07500000000000001,0.625,0.4618360780310482,0.4259162772319063,0.03591980079914192
Jump,esl,0.8,-0.07500000000000001,0.75,0.531270145321775,0.4259162772319063,0.10535386808986869
Jump,esl,0.8,-0.07500000000000001,0.875,0.4738925290491217,0.4259162772319063,0.04797625181721543
Jump,esl,0.8,-0.07500000000000001,1.0,0.5282082839084452,0.4259162772319063,0.10229200667653893
Jump,esl,0.8,0.0,0.0,0.23950794358194938,0.4259162772319063,-0.1864083336499569
Jump,esl,0.8,0.0,0.125,0.2910390316456846,0.4259162772319063,-0.13487724558622166
Jump,esl,0.8,0.0,0.25,0.3383026030819065,0.4259162772319063,-0.08761367414999977
Jump,esl,0.8,0.0,0.375,0.342696180964052,0.4259162772319063,-0.08322009626785426
Jump,esl,0.8,0.0,0.5,0.29519684155567766,0.4259162772319063,-0.13071943567622862
Jump,esl,0.8,0.0,0.625,0.391992508782279,0.4259162772319063,-0.0339237684496273
Jump,esl,0.8,0.0,0.75,0.48572994098955447,0.4259162772319063,0.05981366375764818
Jump,esl,0.8,0.0,0.875,0.38780565267782,0.4259162772319063,-0.03811062455408626
Jump,esl,0.8,0.0,1.0,0.3297392029277712,0.4259162772319063,-0.09617707430413508
Jump,esl,0.8,0.07500000000000001,0.0,0.2515876522190151,0.4259162772319063,-0.1743286250128912
Jump,esl,0.8,0.07500000000000001,0.125,0.2589190718956164,0.4259162772319063,-0.16699720533628987
Jump,esl,0.8,0.07500000000000001,0.25,0.33424962589311324,0.4259162772319063,-0.09166665133879304
Jump,esl,0.8,0.07500000000000001,0.375,0.29182045297524606,0.4259162772319063,-0.13409582425666022
Jump,esl,0.8,0.07500000000000001,0.5,0.37201021975911186,0.4259162772319063,-0.05390605747279442
Jump,esl,0.8,0.07500000000000001,0.625,0.36500468587114365,0.4259162772319063,-0.06091159136076263
Jump,esl,0.8,0.07500000000000001,0.75,0.33131481850082983,0.4259162772319063,-0.09460145873107645
Jump,esl,0.8,0.07500000000000001,0.875,0.31986682244411907,0.4259162772319063,-0.10604945478778721
Jump,esl,0.8,0.07500000000000001,1.0,0.323782698306662,0.4259162772319063,-0.10213357892524427
Jump,esl,0.8,0.14999999999999997,0.0,0.26230626667345486,0.4259162772319063,-0.16361001055845142
Jump,esl,0.8,0.14999999999999997,0.125,0.3544536599742345,0.4259162772319063,-0.07146261725767178
Jump,esl,0.8,0.14999999999999997,0.25,0.35289210343067534,0.4259162772319063,-0.07302417380123094
Jump,esl,0.8,0.14999999999999997,0.375,0.4243415157171643,0.4259162772319063,-0.0015747615147420069
Jump,esl,0.8,0.14999999999999997,0.5,0.32420468340771813,0.4259162772319063,-0.10171159382418815
Jump,esl,0.8,0.14999999999999997,0.625,0.31469437872180817,0.4259162772319063,-0.11122189851009812
Jump,esl,0.8,0.14999999999999997,0.75,0.2825761698224083,0.4259162772319063,-0.14334010740949799
Jump,esl,0.8,0.14999999999999997,0.875,0.3261982641342853,0.4259162772319063,-0.09971801309762096
Jump,esl,0.8,0.14999999999999997,1.0,0.31987698324930897,0.4259162772319063,-0.10603929398259732
Jump,esl,0.8,0.22500000000000003,0.0,0.26745272210594123,0.4259162772319063,-0.15846355512596505
Jump,esl,0.8,0.22500000000000003,0.125,0.3527545272642303,0.4259162772319063,-0.07316174996767599
Jump,esl,0.8,0.22500000000000003,0.25,0.34174666546153937,0.4259162772319063,-0.08416961177036691
Jump,esl,0.8,0.22500000000000003,0.375,0.4950410849461253,0.4259162772319063,0.06912480771421903
Jump,esl,0.8,0.22500000000000003,0.5,0.3571536386321368,0.4259162772319063,-0.0687626385997695
Jump,esl,0.8,0.22500000000000003,0.625,0.360279212186843,0.4259162772319063,-0.06563706504506328
Jump,esl,0.8,0.22500000000000003,0.75,0.3449923799986584,0.4259162772319063,-0.08092389723324789
Jump,esl,0.8,0.22500000000000003,0.875,0.17593325381277705,0.4259162772319063,-0.24998302341912923
Jump,esl,0.8,0.22500000000000003,1.0,0.3003492472032212,0.4259162772319063,-0.12556703002868508
Jump,esl,0.8,0.3,0.0,0.24920043890265905,0.4259162772319063,-0.17671583832924723
Jump,esl,0.8,0.3,0.125,0.4274503760924612,0.4259162772319063,0.0015340988605549444
Jump,esl,0.8,0.3,0.25,0.44390241093694827,0.4259162772319063,0.017986133705041984
Jump,esl,0.8,0.3,0.375,0.37589954206642234,0.4259162772319063,-0.05001673516548394
Jump,esl,0.8,0.3,0.5,0.3171786031936559,0.4259162772319063,-0.10873767403825041
Jump,esl,0.8,0.3,0.625,0.4475058131763873,0.4259162772319063,0.021589535944481042
Jump,esl,0.8,0.3,0.75,0.3539637648209311,0.4259162772319063,-0.07195251241097517
Jump,esl,0.8,0.3,0.875,0.30348437384832455,0.4259162772319063,-0.12243190338358173
Jump,esl,0.8,0.3,1.0,0.07286939006684046,0.4259162772319063,-0.3530468871650658
