model,risk_type,t,K,moneyness,MR
GBM,elw,0.0,8.0,1.25,0.00028894923007372064
GBM,elw,0.05,8.0,1.25,0.00041855187380535064
GBM,elw,0.1,8.0,1.25,0.000572610664868467
GBM,elw,0.15000000000000002,8.0,1.25,0.0007463027197802674
GBM,elw,0.2,8.0,1.25,0.0009431310575620522
GBM,elw,0.25,8.0,1.25,0.0011659651150890404
GBM,elw,0.30000000000000004,8.0,1.25,0.0013369507417249071
GBM,elw,0.35000000000000003,8.0,1.25,0.001667084532570362
GBM,elw,0.4,8.0,1.25,0.0018440206048555563
GBM,elw,0.45,8.0,1.25,0.0015284540528164303
GBM,elw,0.5,8.0,1.25,0.0018442257149651198
GBM,elw,0.55,8.0,1.25,0.0018172605318826918
GBM,elw,0.6000000000000001,8.0,1.25,0.002200913572884433
GBM,elw,0.65,8.0,1.25,0.0020563368887607236
GBM,elw,0.7000000000000001,8.0,1.25,0.0019374522106232472
GBM,elw,0.75,8.0,1.25,0.0015452532616295755
GBM,elw,0.8,8.0,1.25,0.0009673980540618743
GBM,elw,0.8500000000000001,8.0,1.25,0.0010646458210417098
GBM,elw,0.9,8.0,1.25,0.0004610524836592411
GBM,elw,0.9500000000000001,8.0,1.25,0.0002348989558667025
GBM,elw,1.0,8.0,1.25,0.0
GBM,elw,0.0,8.4,1.1904761904761905,5.550055602787651e-05
GBM,elw,0.05,8.4,1.1904761904761905,0.00013193365156061176
GBM,elw,0.1,8.4,1.1904761904761905,0.00025429745394656145
GBM,elw,0.15000000000000002,8.4,1.1904761904761905,0.0003917615218862469
GBM,elw,0.2,8.4,1.1904761904761905,0.0005476101640848885
GBM,elw,0.25,8.4,1.1904761904761905,0.0007779658989837124
GBM,elw,0.30000000000000004,8.4,1.1904761904761905,0.0009594979945615201
GBM,elw,0.35000000000000003,8.4,1.1904761904761905,0.0013004028009153679
GBM,elw,0.4,8.4,1.1904761904761905,0.0015217198974661894
GBM,elw,0.45,8.4,1.1904761904761905,0.001716371220863655
GBM,elw,0.5,8.4,1.1904761904761905,0.001990842573618812
GBM,elw,0.55,8.4,1.1904761904761905,0.0019724522675310663
GBM,elw,0.6000000000000001,8.4,1.1904761904761905,0.002044461568359024
GBM,elw,0.65,8.4,1.1904761904761905,0.0019629549762498755
GBM,elw,0.7000000000000001,8.4,1.1904761904761905,0.0019047974033086223
GBM,elw,0.75,8.4,1.1904761904761905,0.0013716633900768826
GBM,elw,0.8,8.4,1.1904761904761905,0.0008951184344569985
GBM,elw,0.8500000000000001,8.4,1.1904761904761905,0.000894416869519965
GBM,elw,0.9,8.4,1.1904761904761905,0.0004956018752950708
GBM,elw,0.9500000000000001,8.4,1.1904761904761905,0.0002793838175287888
GBM,elw,1.0,8.4,1.1904761904761905,0.0
GBM,elw,0.0,8.8,1.1363636363636362,2.805500568614505e-05
GBM,elw,0.05,8.8,1.1363636363636362,7.111965446116031e-05
GBM,elw,0.1,8.8,1.1363636363636362,0.0001572389867459112
GBM,elw,0.15000000000000002,8.8,1.1363636363636362,0.0002776017166790101
GBM,elw,0.2,8.8,1.1363636363636362,0.00045084902110503755
GBM,elw,0.25,8.8,1.1363636363636362,0.000676248141254554
GBM,elw,0.30000000000000004,8.8,1.1363636363636362,0.0009105739625800968
GBM,elw,0.35000000000000003,8.8,1.1363636363636362,0.0012661183779520968
GBM,elw,0.4,8.8,1.1363636363636362,0.0015953297883855022
GBM,elw,0.45,8.8,1.1363636363636362,0.0018901886338840157
GBM,elw,0.5,8.8,1.1363636363636362,0.0021239519343276836
GBM,elw,0.55,8.8,1.1363636363636362,0.0021553662592581624
GBM,elw,0.6000000000000001,8.8,1.1363636363636362,0.002164782539872956
GBM,elw,0.65,8.8,1.1363636363636362,0.0022115627164229767
GBM,elw,0.7000000000000001,8.8,1.1363636363636362,0.0019897251093081714
GBM,elw,0.75,8.8,1.1363636363636362,0.0014153435851143037
GBM,elw,0.8,8.8,1.1363636363636362,0.0010289853091876022
GBM,elw,0.8500000000000001,8.8,1.1363636363636362,0.0009584795404502522
GBM,elw,0.9,8.8,1.1363636363636362,0.0005964181533919533
GBM,elw,0.9500000000000001,8.8,1.1363636363636362,0.000295116681461316
GBM,elw,1.0,8.8,1.1363636363636362,0.0
GBM,elw,0.0,9.2,1.0869565217391306,7.02867511328531e-05
GBM,elw,0.05,9.2,1.0869565217391306,0.00014443018452370282
GBM,elw,0.1,9.2,1.0869565217391306,0.00025899781718674575
GBM,elw,0.15000000000000002,9.2,1.0869565217391306,0.0004339793475427456
GBM,elw,0.2,9.2,1.0869565217391306,0.0006542174449757354
GBM,elw,0.25,9.2,1.0869565217391306,0.0009341996733793767
GBM,elw,0.30000000000000004,9.2,1.0869565217391306,0.0012062361632574348
GBM,elw,0.35000000000000003,9.2,1.0869565217391306,0.0016107371929838799
GBM,elw,0.4,9.2,1.0869565217391306,0.0019802107331021723
GBM,elw,0.45,9.2,1.0869565217391306,0.0023008927257217593
GBM,elw,0.5,9.2,1.0869565217391306,0.002556784952893576
GBM,elw,0.55,9.2,1.0869565217391306,0.002650781080352882
GBM,elw,0.6000000000000001,9.2,1.0869565217391306,0.002663030383136533
GBM,elw,0.65,9.2,1.0869565217391306,0.0025370709779763967
GBM,elw,0.7000000000000001,9.2,1.0869565217391306,0.0024388065356293342
GBM,elw,0.75,9.2,1.0869565217391306,0.0020044899757782897
GBM,elw,0.8,9.2,1.0869565217391306,0.0016447993086234902
GBM,elw,0.8500000000000001,9.2,1.0869565217391306,0.0014107931558380304
GBM,elw,0.9,9.2,1.0869565217391306,0.0010551659909845412
GBM,elw,0.9500000000000001,9.2,1.0869565217391306,0.0005971692191752975
GBM,elw,1.0,9.2,1.0869565217391306,0.0
GBM,elw,0.0,9.6,1.0416666666666667,0.00020431696768974383
GBM,elw,0.05,9.6,1.0416666666666667,0.00037156516272496276
GBM,elw,0.1,9.6,1.0416666666666667,0.0005979072105728456
GBM,elw,0.15000000000000002,9.6,1.0416666666666667,0.0009045886216121346
GBM,elw,0.2,9.6,1.0416666666666667,0.0012560686789113706
GBM,elw,0.25,9.6,1.0416666666666667,0.0016709294136569852
GBM,elw,0.30000000000000004,9.6,1.0416666666666667,0.0020874613753636417
GBM,elw,0.35000000000000003,9.6,1.0416666666666667,0.0026311107773835385
GBM,elw,0.4,9.6,1.0416666666666667,0.0031451666643331766
GBM,elw,0.45,9.6,1.0416666666666667,0.0036497015943353084
GBM,elw,0.5,9.6,1.0416666666666667,0.0038845340299962228
GBM,elw,0.55,9.6,1.0416666666666667,0.00575677741482461
GBM,elw,0.6000000000000001,9.6,1.0416666666666667,0.004112182060599601
GBM,elw,0.65,9.6,1.0416666666666667,0.003869699053736575
GBM,elw,0.7000000000000001,9.6,1.0416666666666667,0.0036009872745661475
GBM,elw,0.75,9.6,1.0416666666666667,0.003338549031607352
GBM,elw,0.8,9.6,1.0416666666666667,0.003208248524803059
GBM,elw,0.8500000000000001,9.6,1.0416666666666667,0.0023847210175425015
GBM,elw,0.9,9.6,1.0416666666666667,0.0018543927223626522
GBM,elw,0.9500000000000001,9.6,1.0416666666666667,0.0009625042138383666
GBM,elw,1.0,9.6,1.0416666666666667,0.0
GBM,elw,0.0,10.0,1.0,0.000534120450102149
GBM,elw,0.05,10.0,1.0,0.0008405307803467377
GBM,elw,0.1,10.0,1.0,0.0012416777259549594
GBM,elw,0.15000000000000002,10.0,1.0,0.0017089224086090926
GBM,elw,0.2,10.0,1.0,0.0022110007999411874
GBM,elw,0.25,10.0,1.0,0.0028165080679600774
GBM,elw,0.30000000000000004,10.0,1.0,0.0034139780653732466
GBM,elw,0.35000000000000003,10.0,1.0,0.004146391684798578
GBM,elw,0.4,10.0,1.0,0.007783594690559781
GBM,elw,0.45,10.0,1.0,0.008264466510462753
GBM,elw,0.5,10.0,1.0,0.008388135075887648
GBM,elw,0.55,10.0,1.0,0.0081773030325476
GBM,elw,0.6000000000000001,10.0,1.0,0.006157598405169384
GBM,elw,0.65,10.0,1.0,0.0059968526884093265
GBM,elw,0.7000000000000001,10.0,1.0,0.005580172342402712
GBM,elw,0.75,10.0,1.0,0.005228714343832541
GBM,elw,0.8,10.0,1.0,0.005288343468447865
GBM,elw,0.8500000000000001,10.0,1.0,0.003835535906264065
GBM,elw,0.9,10.0,1.0,0.0026256076985269328
GBM,elw,0.9500000000000001,10.0,1.0,0.001252451321150927
GBM,elw,1.0,10.0,1.0,0.0
GBM,elw,0.0,10.4,0.9615384615384615,0.00126891766654591
GBM,elw,0.05,10.4,0.9615384615384615,0.0017969864599247654
GBM,elw,0.1,10.4,0.9615384615384615,0.0024662415744327593
GBM,elw,0.15000000000000002,10.4,0.9615384615384615,0.00316959576974285
GBM,elw,0.2,10.4,0.9615384615384615,0.003906708398084602
GBM,elw,0.25,10.4,0.9615384615384615,0.004771696695197614
GBM,elw,0.30000000000000004,10.4,0.9615384615384615,0.00562595644895314
GBM,elw,0.35000000000000003,10.4,0.9615384615384615,0.00660704475459073
GBM,elw,0.4,10.4,0.9615384615384615,0.007573510215803436
GBM,elw,0.45,10.4,0.9615384615384615,0.00839007079031906
GBM,elw,0.5,10.4,0.9615384615384615,0.01169460132209843
GBM,elw,0.55,10.4,0.9615384615384615,0.008808719476364413
GBM,elw,0.6000000000000001,10.4,0.9615384615384615,0.008857125675497901
GBM,elw,0.65,10.4,0.9615384615384615,0.008676876615086426
GBM,elw,0.7000000000000001,10.4,0.9615384615384615,0.008089274986339934
GBM,elw,0.75,10.4,0.9615384615384615,0.007492109722399887
GBM,elw,0.8,10.4,0.9615384615384615,0.007348810315543242
GBM,elw,0.8500000000000001,10.4,0.9615384615384615,0.004975396408053889
GBM,elw,0.9,10.4,0.9615384615384615,0.0034798575233621065
GBM,elw,0.9500000000000001,10.4,0.9615384615384615,0.0015748631563725635
GBM,elw,1.0,10.4,0.9615384615384615,0.0
GBM,elw,0.0,10.8,0.9259259259259258,0.002340001252215229
GBM,elw,0.05,10.8,0.9259259259259258,0.003115069743599097
GBM,elw,0.1,10.8,0.9259259259259258,0.004064562075282163
GBM,elw,0.15000000000000002,10.8,0.9259259259259258,0.005038767106150477
GBM,elw,0.2,10.8,0.9259259259259258,0.006070875730188163
GBM,elw,0.25,10.8,0.9259259259259258,0.007226295855766951
GBM,elw,0.30000000000000004,10.8,0.9259259259259258,0.008382901131781306
GBM,elw,0.35000000000000003,10.8,0.9259259259259258,0.009619442216034946
GBM,elw,0.4,10.8,0.9259259259259258,0.010797511917454594
GBM,elw,0.45,10.8,0.9259259259259258,0.011323314602024404
GBM,elw,0.5,10.8,0.9259259259259258,0.015011649408114058
GBM,elw,0.55,10.8,0.9259259259259258,0.011485996853525693
GBM,elw,0.6000000000000001,10.8,0.9259259259259258,0.011309416104238412
GBM,elw,0.65,10.8,0.9259259259259258,0.011270410864827829
GBM,elw,0.7000000000000001,10.8,0.9259259259259258,0.01035504902085771
GBM,elw,0.75,10.8,0.9259259259259258,0.009245478246554528
GBM,elw,0.8,10.8,0.9259259259259258,0.008267365182115904
GBM,elw,0.8500000000000001,10.8,0.9259259259259258,0.005860001385867841
GBM,elw,0.9,10.8,0.9259259259259258,0.003818911956039006
GBM,elw,0.9500000000000001,10.8,0.9259259259259258,0.001969709726151292
GBM,elw,1.0,10.8,0.9259259259259258,0.0
GBM,elw,0.0,11.2,0.8928571428571429,0.003402428232543331
GBM,elw,0.05,11.2,0.8928571428571429,0.004406525849929732
GBM,elw,0.1,11.2,0.8928571428571429,0.005576028263952981
GBM,elw,0.15000000000000002,11.2,0.8928571428571429,0.006766147002353007
GBM,elw,0.2,11.2,0.8928571428571429,0.008026376778813571
GBM,elw,0.25,11.2,0.8928571428571429,0.00937164639016741
GBM,elw,0.30000000000000004,11.2,0.8928571428571429,0.010725824771871562
GBM,elw,0.35000000000000003,11.2,0.8928571428571429,0.012095123857686962
GBM,elw,0.4,11.2,0.8928571428571429,0.01753514959922642
GBM,elw,0.45,11.2,0.8928571428571429,0.017330359490688396
