model,risk_type,t,K,moneyness,MR
GBM,entw,0.0,8.0,1.25,0.0003006654293098432
GBM,entw,0.05,8.0,1.25,0.0004389047043535932
GBM,entw,0.1,8.0,1.25,0.0006041980557558446
GBM,entw,0.15000000000000002,8.0,1.25,0.0007942070959032765
GBM,entw,0.2,8.0,1.25,0.0010075133555467186
GBM,entw,0.25,8.0,1.25,0.001254820049646943
GBM,entw,0.30000000000000004,8.0,1.25,0.0014343064637269975
GBM,entw,0.35000000000000003,8.0,1.25,0.0018055745394556233
GBM,entw,0.4,8.0,1.25,0.001999481816351345
GBM,entw,0.45,8.0,1.25,0.0016080389810726459
GBM,entw,0.5,8.0,1.25,0.0019619072014196437
GBM,entw,0.55,8.0,1.25,0.0019227914660053802
GBM,entw,0.6000000000000001,8.0,1.25,0.00239669677771448
GBM,entw,0.65,8.0,1.25,0.002216452469339769
GBM,entw,0.7000000000000001,8.0,1.25,0.0020642474189742632
GBM,entw,0.75,8.0,1.25,0.0016613627824269006
GBM,entw,0.8,8.0,1.25,0.0010116627092564556
GBM,entw,0.8500000000000001,8.0,1.25,0.0011162182863784231
GBM,entw,0.9,8.0,1.25,0.00045132241670930995
GBM,entw,0.9500000000000001,8.0,1.25,0.0002378295705194322
GBM,entw,1.0,8.0,1.25,0.0
GBM,entw,0.0,8.4,1.1904761904761905,5.6053704636571666e-05
GBM,entw,0.05,8.4,1.1904761904761905,0.00013319707077830145
GBM,entw,0.1,8.4,1.1904761904761905,0.000257157073827452
GBM,entw,0.15000000000000002,8.4,1.1904761904761905,0.00039753615449011903
GBM,entw,0.2,8.4,1.1904761904761905,0.0005572182196824649
GBM,entw,0.25,8.4,1.1904761904761905,0.0007957683184987019
GBM,entw,0.30000000000000004,8.4,1.1904761904761905,0.0009832747127980213
GBM,entw,0.35000000000000003,8.4,1.1904761904761905,0.001339954692002765
GBM,entw,0.4,8.4,1.1904761904761905,0.0015738992046916422
GBM,entw,0.45,8.4,1.1904761904761905,0.001780274828607542
GBM,entw,0.5,8.4,1.1904761904761905,0.0020688689084240597
GBM,entw,0.55,8.4,1.1904761904761905,0.0020452539914694867
GBM,entw,0.6000000000000001,8.4,1.1904761904761905,0.002120839787942419
GBM,entw,0.65,8.4,1.1904761904761905,0.0020366435285046336
GBM,entw,0.7000000000000001,8.4,1.1904761904761905,0.001974478957930126
GBM,entw,0.75,8.4,1.1904761904761905,0.0014135444903011773
GBM,entw,0.8,8.4,1.1904761904761905,0.000916300366617051
GBM,entw,0.8500000000000001,8.4,1.1904761904761905,0.0009162218212634965
GBM,entw,0.9,8.4,1.1904761904761905,0.0005031204789764931
GBM,entw,0.9500000000000001,8.4,1.1904761904761905,0.00028199911862802907
GBM,entw,1.0,8.4,1.1904761904761905,0.0
GBM,entw,0.0,8.8,1.1363636363636362,2.814819693663928e-05
GBM,entw,0.05,8.8,1.1363636363636362,7.15016056735962e-05
GBM,entw,0.1,8.8,1.1363636363636362,0.00015854645644797216
GBM,entw,0.15000000000000002,8.8,1.1363636363636362,0.0002804156640092703
GBM,entw,0.2,8.8,1.1363636363636362,0.00045685137344464444
GBM,entw,0.25,8.8,1.1363636363636362,0.0006866176241391297
GBM,entw,0.30000000000000004,8.8,1.1363636363636362,0.0009269152539121972
GBM,entw,0.35000000000000003,8.8,1.1363636363636362,0.0012928818148272292
GBM,entw,0.4,8.8,1.1363636363636362,0.0016339354597734168
GBM,entw,0.45,8.8,1.1363636363636362,0.0019384498403529626
GBM,entw,0.5,8.8,1.1363636363636362,0.002177584766022589
GBM,entw,0.55,8.8,1.1363636363636362,0.00220509181338735
GBM,entw,0.6000000000000001,8.8,1.1363636363636362,0.002215517120662147
GBM,entw,0.65,8.8,1.1363636363636362,0.002267872340746102
GBM,entw,0.7000000000000001,8.8,1.1363636363636362,0.002035642296443374
GBM,entw,0.75,8.8,1.1363636363636362,0.0014410917160097014
GBM,entw,0.8,8.8,1.1363636363636362,0.0010472588820396034
GBM,entw,0.8500000000000001,8.8,1.1363636363636362,0.0009732883027051553
GBM,entw,0.9,8.8,1.1363636363636362,0.0006029559120945827
GBM,entw,0.9500000000000001,8.8,1.1363636363636362,0.00029674801618817526
GBM,entw,1.0,8.8,1.1363636363636362,0.0
GBM,entw,0.0,9.2,1.0869565217391306,7.078423626261099e-05
GBM,entw,0.05,9.2,1.0869565217391306,0.00014570478225084393
GBM,entw,0.1,9.2,1.0869565217391306,0.00026173004509733033
GBM,entw,0.15000000000000002,9.2,1.0869565217391306,0.00043925258820420865
GBM,entw,0.2,9.2,1.0869565217391306,0.000663503948751698
GBM,entw,0.25,9.2,1.0869565217391306,0.0009495819971243602
GBM,entw,0.30000000000000004,9.2,1.0869565217391306,0.0012286682498714452
GBM,entw,0.35000000000000003,9.2,1.0869565217391306,0.001644230486730569
GBM,entw,0.4,9.2,1.0869565217391306,0.0020248601529677668
GBM,entw,0.45,9.2,1.0869565217391306,0.0023560287368664667
GBM,entw,0.5,9.2,1.0869565217391306,0.002613242338787236
GBM,entw,0.55,9.2,1.0869565217391306,0.0027070115505871684
GBM,entw,0.6000000000000001,9.2,1.0869565217391306,0.0027188172450296477
GBM,entw,0.65,9.2,1.0869565217391306,0.00258582656059847
GBM,entw,0.7000000000000001,9.2,1.0869565217391306,0.0024915534923397598
GBM,entw,0.75,9.2,1.0869565217391306,0.0020342657693812605
GBM,entw,0.8,9.2,1.0869565217391306,0.001665695580106874
GBM,entw,0.8500000000000001,9.2,1.0869565217391306,0.0014279302003870065
GBM,entw,0.9,9.2,1.0869565217391306,0.001065628075858971
GBM,entw,0.9500000000000001,9.2,1.0869565217391306,0.0006016672755246866
GBM,entw,1.0,9.2,1.0869565217391306,0.0
GBM,entw,0.0,9.6,1.0416666666666667,0.00020612599284763888
GBM,entw,0.05,9.6,1.0416666666666667,0.00037545245569337027
GBM,entw,0.1,9.6,1.0416666666666667,0.0006053282489717482
GBM,entw,0.15000000000000002,9.6,1.0416666666666667,0.0009179850966236636
GBM,entw,0.2,9.6,1.0416666666666667,0.0012771724278202168
GBM,entw,0.25,9.6,1.0416666666666667,0.0017028795322362456
GBM,entw,0.30000000000000004,9.6,1.0416666666666667,0.002131626520959218
GBM,entw,0.35000000000000003,9.6,1.0416666666666667,0.002692652052839195
GBM,entw,0.4,9.6,1.0416666666666667,0.003223478733910934
GBM,entw,0.45,9.6,1.0416666666666667,0.0037435323325896164
GBM,entw,0.5,9.6,1.0416666666666667,0.003976178826589072
