model,risk_type,t,K,moneyness,MR
GBM,esl,0.0,8.0,1.25,-0.044686493817493234
GBM,esl,0.05,8.0,1.25,-0.011522185849921679
GBM,esl,0.1,8.0,1.25,0.021813875681388428
GBM,esl,0.15000000000000002,8.0,1.25,0.05011751127080577
GBM,esl,0.2,8.0,1.25,0.07951651963379891
GBM,esl,0.25,8.0,1.25,0.10504295595820756
GBM,esl,0.30000000000000004,8.0,1.25,0.12698257921732237
GBM,esl,0.35000000000000003,8.0,1.25,0.14962555561313579
GBM,esl,0.4,8.0,1.25,0.16579548010937517
GBM,esl,0.45,8.0,1.25,0.16299500235564918
GBM,esl,0.5,8.0,1.25,0.17550232264421234
GBM,esl,0.55,8.0,1.25,0.17679173755612915
GBM,esl,0.6000000000000001,8.0,1.25,0.16924692794677815
GBM,esl,0.65,8.0,1.25,0.17159917195680185
GBM,esl,0.7000000000000001,8.0,1.25,0.16497925133815944
GBM,esl,0.75,8.0,1.25,0.13696624757688686
GBM,esl,0.8,8.0,1.25,0.10759965932465018
GBM,esl,0.8500000000000001,8.0,1.25,0.10517408984319568
GBM,esl,0.9,8.0,1.25,0.05971698368713656
GBM,esl,0.9500000000000001,8.0,1.25,0.04152510973131354
GBM,esl,1.0,8.0,1.25,0.0
GBM,esl,0.0,8.4,1.1904761904761905,0.028812049996746997
GBM,esl,0.05,8.4,1.1904761904761905,0.060221272819804245
GBM,esl,0.1,8.4,1.1904761904761905,0.09168917308683894
GBM,esl,0.15000000000000002,8.4,1.1904761904761905,0.11779199904069222
GBM,esl,0.2,8.4,1.1904761904761905,0.14266310637998111
GBM,esl,0.25,8.4,1.1904761904761905,0.16884674795840918
GBM,esl,0.30000000000000004,8.4,1.1904761904761905,0.1882815241685589
GBM,esl,0.35000000000000003,8.4,1.1904761904761905,0.2091971514785
GBM,esl,0.4,8.4,1.1904761904761905,0.2185332192756527
GBM,esl,0.45,8.4,1.1904761904761905,0.22222774855403743
GBM,esl,0.5,8.4,1.1904761904761905,0.23331609192691127
GBM,esl,0.55,8.4,1.1904761904761905,0.22711467807096217
GBM,esl,0.6000000000000001,8.4,1.1904761904761905,0.21945778680906353
GBM,esl,0.65,8.4,1.1904761904761905,0.21363186595988878
GBM,esl,0.7000000000000001,8.4,1.1904761904761905,0.20819139602400838
GBM,esl,0.75,8.4,1.1904761904761905,0.17271668598943865
GBM,esl,0.8,8.4,1.1904761904761905,0.13240251129150657
GBM,esl,0.8500000000000001,8.4,1.1904761904761905,0.12799309672811085
GBM,esl,0.9,8.4,1.1904761904761905,0.08529065843098525
GBM,esl,0.9500000000000001,8.4,1.1904761904761905,0.05789194782081728
GBM,esl,1.0,8.4,1.1904761904761905,0.0
GBM,esl,0.0,8.8,1.1363636363636362,0.06696987696181983
GBM,esl,0.05,8.8,1.1363636363636362,0.09646539354500758
GBM,esl,0.1,8.8,1.1363636363636362,0.12585317276223876
GBM,esl,0.15000000000000002,8.8,1.1363636363636362,0.1495224462866787
GBM,esl,0.2,8.8,1.1363636363636362,0.17190682929288004
GBM,esl,0.25,8.8,1.1363636363636362,0.19615769539630284
GBM,esl,0.30000000000000004,8.8,1.1363636363636362,0.2131091753445353
GBM,esl,0.35000000000000003,8.8,1.1363636363636362,0.2295266204937762
GBM,esl,0.4,8.8,1.1363636363636362,0.23692102167964657
GBM,esl,0.45,8.8,1.1363636363636362,0.244688042796673
GBM,esl,0.5,8.8,1.1363636363636362,0.2499887858746964
GBM,esl,0.55,8.8,1.1363636363636362,0.24396896113321365
GBM,esl,0.6000000000000001,8.8,1.1363636363636362,0.2347068808376175
GBM,esl,0.65,8.8,1.1363636363636362,0.2300263675031099
GBM,esl,0.7000000000000001,8.8,1.1363636363636362,0.21635952899891836
GBM,esl,0.75,8.8,1.1363636363636362,0.1788890090091923
GBM,esl,0.8,8.8,1.1363636363636362,0.14512647821448707
GBM,esl,0.8500000000000001,8.8,1.1363636363636362,0.1397925363700956
GBM,esl,0.9,8.8,1.1363636363636362,0.10392513511808671
GBM,esl,0.9500000000000001,8.8,1.1363636363636362,0.07156571189558664
GBM,esl,1.0,8.8,1.1363636363636362,0.0
GBM,esl,0.0,9.2,1.0869565217391306,0.09274003675537427
GBM,esl,0.05,9.2,1.0869565217391306,0.12016796717144108
GBM,esl,0.1,9.2,1.0869565217391306,0.1473271820641686
GBM,esl,0.15000000000000002,9.2,1.0869565217391306,0.16830524949578274
GBM,esl,0.2,9.2,1.0869565217391306,0.189349150925189
GBM,esl,0.25,9.2,1.0869565217391306,0.20920048164274535
GBM,esl,0.30000000000000004,9.2,1.0869565217391306,0.22435475482325812
GBM,esl,0.35000000000000003,9.2,1.0869565217391306,0.23718517061704159
GBM,esl,0.4,9.2,1.0869565217391306,0.2471154487232552
GBM,esl,0.45,9.2,1.0869565217391306,0.24707261747379033
GBM,esl,0.5,9.2,1.0869565217391306,0.24661878034857337
GBM,esl,0.55,9.2,1.0869565217391306,0.24369773887353202
GBM,esl,0.6000000000000001,9.2,1.0869565217391306,0.23813074059926626
GBM,esl,0.65,9.2,1.0869565217391306,0.22875242436198986
GBM,esl,0.7000000000000001,9.2,1.0869565217391306,0.21914037654607513
GBM,esl,0.75,9.2,1.0869565217391306,0.1915416012728006
GBM,esl,0.8,9.2,1.0869565217391306,0.17334928612892062
GBM,esl,0.8500000000000001,9.2,1.0869565217391306,0.16010961416538577
GBM,esl,0.9,9.2,1.0869565217391306,0.1371483696574013
GBM,esl,0.9500000000000001,9.2,1.0869565217391306,0.10157484940345608
GBM,esl,1.0,9.2,1.0869565217391306,0.0
GBM,esl,0.0,9.6,1.0416666666666667,0.13791368790498854
GBM,esl,0.05,9.6,1.0416666666666667,0.16294495076905846
