model,risk_type,t,K,moneyness,MR
Heston,elw,0.0,8.0,1.25,0.02107395087296071
Heston,elw,0.05,8.0,1.25,0.02347988899866804
Heston,elw,0.1,8.0,1.25,0.023479555585824485
Heston,elw,0.15000000000000002,8.0,1.25,0.022383876187166862
Heston,elw,0.2,8.0,1.25,0.020229445720317374
Heston,elw,0.25,8.0,1.25,0.01792860897822779
Heston,elw,0.30000000000000004,8.0,1.25,0.016961425904523653
Heston,elw,0.35000000000000003,8.0,1.25,0.017071034933555662
Heston,elw,0.4,8.0,1.25,0.01576035006811538
Heston,elw,0.45,8.0,1.25,0.01441111047296717
Heston,elw,0.5,8.0,1.25,0.0162453377672227
Heston,elw,0.55,8.0,1.25,0.015838212178174604
Heston,elw,0.6000000000000001,8.0,1.25,0.012580190453527873
Heston,elw,0.65,8.0,1.25,0.012696001913617083
Heston,elw,0.7000000000000001,8.0,1.25,0.010434832252387727
Heston,elw,0.75,8.0,1.25,0.00849753825008226
Heston,elw,0.8,8.0,1.25,0.007672724031559053
Heston,elw,0.8500000000000001,8.0,1.25,0.0060710162739026075
Heston,elw,0.9,8.0,1.25,0.005151277011415711
Heston,elw,0.9500000000000001,8.0,1.25,0.002259372250449365
Heston,elw,1.0,8.0,1.25,0.0
Heston,elw,0.0,8.4,1.1904761904761905,0.02820869967457651
Heston,elw,0.05,8.4,1.1904761904761905,0.031066499610743037
Heston,elw,0.1,8.4,1.1904761904761905,0.031016660170555932
Heston,elw,0.15000000000000002,8.4,1.1904761904761905,0.029370238074544197
Heston,elw,0.2,8.4,1.1904761904761905,0.026922297619877078
Heston,elw,0.25,8.4,1.1904761904761905,0.024252744939259108
Heston,elw,0.30000000000000004,8.4,1.1904761904761905,0.022668655301777862
Heston,elw,0.35000000000000003,8.4,1.1904761904761905,0.022633668808088814
Heston,elw,0.4,8.4,1.1904761904761905,0.021151298281976372
Heston,elw,0.45,8.4,1.1904761904761905,0.01977802509858817
Heston,elw,0.5,8.4,1.1904761904761905,0.023127307486118465
Heston,elw,0.55,8.4,1.1904761904761905,0.022277702524652332
Heston,elw,0.6000000000000001,8.4,1.1904761904761905,0.016723093911644282
Heston,elw,0.65,8.4,1.1904761904761905,0.016503466226573726
Heston,elw,0.7000000000000001,8.4,1.1904761904761905,0.013127316126243072
Heston,elw,0.75,8.4,1.1904761904761905,0.011455586113639837
Heston,elw,0.8,8.4,1.1904761904761905,0.00988628719024831
Heston,elw,0.8500000000000001,8.4,1.1904761904761905,0.00782306357496454
Heston,elw,0.9,8.4,1.1904761904761905,0.0059926955181739405
Heston,elw,0.9500000000000001,8.4,1.1904761904761905,0.002221019197073071
Heston,elw,1.0,8.4,1.1904761904761905,0.0
Heston,elw,0.0,8.8,1.1363636363636362,0.03535809118905875
Heston,elw,0.05,8.8,1.1363636363636362,0.03859517112644384
Heston,elw,0.1,8.8,1.1363636363636362,0.038526600714946735
Heston,elw,0.15000000000000002,8.8,1.1363636363636362,0.036453646198662204
Heston,elw,0.2,8.8,1.1363636363636362,0.03397966532760344
Heston,elw,0.25,8.8,1.1363636363636362,0.031184540505480696
Heston,elw,0.30000000000000004,8.8,1.1363636363636362,0.02933515075032389
Heston,elw,0.35000000000000003,8.8,1.1363636363636362,0.02920655866006472
Heston,elw,0.4,8.8,1.1363636363636362,0.027834369737733455
Heston,elw,0.45,8.8,1.1363636363636362,0.026700378427503946
Heston,elw,0.5,8.8,1.1363636363636362,0.033839923655243576
Heston,elw,0.55,8.8,1.1363636363636362,0.030100142638550986
Heston,elw,0.6000000000000001,8.8,1.1363636363636362,0.021638489999187938
Heston,elw,0.65,8.8,1.1363636363636362,0.02065150218872991
Heston,elw,0.7000000000000001,8.8,1.1363636363636362,0.016276533377345137
Heston,elw,0.75,8.8,1.1363636363636362,0.014188262244388739
Heston,elw,0.8,8.8,1.1363636363636362,0.012417492782280215
Heston,elw,0.8500000000000001,8.8,1.1363636363636362,0.009412875679089883
Heston,elw,0.9,8.8,1.1363636363636362,0.007060708796087667
Heston,elw,0.9500000000000001,8.8,1.1363636363636362,0.0024949699440321993
Heston,elw,1.0,8.8,1.1363636363636362,0.0
Heston,elw,0.0,9.2,1.0869565217391306,0.04345773667718533
Heston,elw,0.05,9.2,1.0869565217391306,0.04707519434388452
Heston,elw,0.1,9.2,1.0869565217391306,0.04712503494782383
Heston,elw,0.15000000000000002,9.2,1.0869565217391306,0.044689198155742016
Heston,elw,0.2,9.2,1.0869565217391306,0.04220764144889011
Heston,elw,0.25,9.2,1.0869565217391306,0.03944283551245631
Heston,elw,0.30000000000000004,9.2,1.0869565217391306,0.036985970959515724
Heston,elw,0.35000000000000003,9.2,1.0869565217391306,0.037452476640930765
