model,risk_type,t,K,moneyness,MR
Heston,ente,0.0,8.0,1.25,-0.19861174044959273
Heston,ente,0.05,8.0,1.25,-0.17555139453598445
Heston,ente,0.1,8.0,1.25,-0.16514767293126364
Heston,ente,0.15000000000000002,8.0,1.25,-0.16284320684444775
Heston,ente,0.2,8.0,1.25,-0.1643336746580042
Heston,ente,0.25,8.0,1.25,-0.16834392701584722
Heston,ente,0.30000000000000004,8.0,1.25,-0.17031832530124913
Heston,ente,0.35000000000000003,8.0,1.25,-0.16651867936982645
Heston,ente,0.4,8.0,1.25,-0.16670312807634147
Heston,ente,0.45,8.0,1.25,-0.16503586739260312
Heston,ente,0.5,8.0,1.25,-0.14529709080058073
Heston,ente,0.55,8.0,1.25,-0.14440104016462263
Heston,ente,0.6000000000000001,8.0,1.25,-0.14156873051184327
Heston,ente,0.65,8.0,1.25,-0.13015704858984267
Heston,ente,0.7000000000000001,8.0,1.25,-0.12055463616523154
Heston,ente,0.75,8.0,1.25,-0.10694905687388734
Heston,ente,0.8,8.0,1.25,-0.09230904154186825
Heston,ente,0.8500000000000001,8.0,1.25,-0.07443766047673794
Heston,ente,0.9,8.0,1.25,-0.05184543032190736
Heston,ente,0.9500000000000001,8.0,1.25,-0.031707839515069836
Heston,ente,1.0,8.0,1.25,0.0
Heston,ente,0.0,8.4,1.1904761904761905,-0.15932073672358593
Heston,ente,0.05,8.4,1.1904761904761905,-0.13694272657097006
Heston,ente,0.1,8.4,1.1904761904761905,-0.12774455968788478
Heston,ente,0.15000000000000002,8.4,1.1904761904761905,-0.12678412894350566
Heston,ente,0.2,8.4,1.1904761904761905,-0.12886420318806768
Heston,ente,0.25,8.4,1.1904761904761905,-0.1330939696363046
Heston,ente,0.30000000000000004,8.4,1.1904761904761905,-0.13529909708463972
Heston,ente,0.35000000000000003,8.4,1.1904761904761905,-0.13203589498674417
Heston,ente,0.4,8.4,1.1904761904761905,-0.1322790829651459
Heston,ente,0.45,8.4,1.1904761904761905,-0.1303018199358693
Heston,ente,0.5,8.4,1.1904761904761905,-0.1050463432331753
Heston,ente,0.55,8.4,1.1904761904761905,-0.10671581599715207
Heston,ente,0.6000000000000001,8.4,1.1904761904761905,-0.11181449841098423
Heston,ente,0.65,8.4,1.1904761904761905,-0.10300889192792262
Heston,ente,0.7000000000000001,8.4,1.1904761904761905,-0.09790949307260888
Heston,ente,0.75,8.4,1.1904761904761905,-0.0872925293882788
Heston,ente,0.8,8.4,1.1904761904761905,-0.0757335860026771
Heston,ente,0.8500000000000001,8.4,1.1904761904761905,-0.06122771516968317
