model,risk_type,t,K,moneyness,MR
Heston,entl,0.0,8.0,1.25,-0.34611569951802523
Heston,entl,0.05,8.0,1.25,-0.317267350572678
Heston,entl,0.1,8.0,1.25,-0.3003377193728466
Heston,entl,0.15000000000000002,8.0,1.25,-0.29253990023098697
Heston,entl,0.2,8.0,1.25,-0.28734017370247045
Heston,entl,0.25,8.0,1.25,-0.2843168629600783
Heston,entl,0.30000000000000004,8.0,1.25,-0.2792601984694377
Heston,entl,0.35000000000000003,8.0,1.25,-0.2696323161195869
Heston,entl,0.4,8.0,1.25,-0.2618397908711664
Heston,entl,0.45,8.0,1.25,-0.25235077332067213
Heston,entl,0.5,8.0,1.25,-0.2337451116552983
Heston,entl,0.55,8.0,1.25,-0.22046940375729815
Heston,entl,0.6000000000000001,8.0,1.25,-0.2049951722853815
Heston,entl,0.65,8.0,1.25,-0.1857691263555193
Heston,entl,0.7000000000000001,8.0,1.25,-0.16721276107476465
Heston,entl,0.75,8.0,1.25,-0.14526973028806825
Heston,entl,0.8,8.0,1.25,-0.12252471245067867
Heston,entl,0.8500000000000001,8.0,1.25,-0.09570758773666345
Heston,entl,0.9,8.0,1.25,-0.06750015102308966
Heston,entl,0.9500000000000001,8.0,1.25,-0.03696346801804293
Heston,entl,1.0,8.0,1.25,0.0
Heston,entl,0.0,8.4,1.1904761904761905,-0.30796009210307
Heston,entl,0.05,8.4,1.1904761904761905,-0.2813268471962133
Heston,entl,0.1,8.4,1.1904761904761905,-0.2659365805821972
Heston,entl,0.15000000000000002,8.4,1.1904761904761905,-0.2587479399757522
Heston,entl,0.2,8.4,1.1904761904761905,-0.25380177093968814
Heston,entl,0.25,8.4,1.1904761904761905,-0.25065921713900424
Heston,entl,0.30000000000000004,8.4,1.1904761904761905,-0.24534624811698588
Heston,entl,0.35000000000000003,8.4,1.1904761904761905,-0.23577932307049052
Heston,entl,0.4,8.4,1.1904761904761905,-0.2281301493148509
Heston,entl,0.45,8.4,1.1904761904761905,-0.21874999944796159
Heston,entl,0.5,8.4,1.1904761904761905,-0.20095423470151325
Heston,entl,0.55,8.4,1.1904761904761905,-0.18917790273292437
Heston,entl,0.6000000000000001,8.4,1.1904761904761905,-0.176015101058733
Heston,entl,0.65,8.4,1.1904761904761905,-0.15944932477917215
Heston,entl,0.7000000000000001,8.4,1.1904761904761905,-0.14479190947046996
Heston,entl,0.75,8.4,1.1904761904761905,-0.12623718251649102
Heston,entl,0.8,8.4,1.1904761904761905,-0.10680506394712745
Heston,entl,0.8500000000000001,8.4,1.1904761904761905,-0.08335841341258651
Heston,entl,0.9,8.4,1.1904761904761905,-0.06004491696274472
Heston,entl,0.9500000000000001,8.4,1.1904761904761905,-0.03320292757961517
Heston,entl,1.0,8.4,1.1904761904761905,0.0
Heston,entl,0.0,8.8,1.1363636363636362,-0.2718588286312939
Heston,entl,0.05,8.8,1.1363636363636362,-0.24736543881428266
