model,risk_type,t,K,moneyness,MR
Heston,entw,0.0,8.0,1.25,0.024523027747790138
Heston,entw,0.05,8.0,1.25,0.02750145272045268
Heston,entw,0.1,8.0,1.25,0.0274685774337613
Heston,entw,0.15000000000000002,8.0,1.25,0.026213432667934855
Heston,entw,0.2,8.0,1.25,0.023376797355170842
Heston,entw,0.25,8.0,1.25,0.020486390428087642
Heston,entw,0.30000000000000004,8.0,1.25,0.019096650382417257
Heston,entw,0.35000000000000003,8.0,1.25,0.019515311232237265
Heston,entw,0.4,8.0,1.25,0.017551131217368177
Heston,entw,0.45,8.0,1.25,0.016264771740728934
Heston,entw,0.5,8.0,1.25,0.023549252391549258
Heston,entw,0.55,8.0,1.25,0.02437574014751065
Heston,entw,0.6000000000000001,8.0,1.25,0.013986041337101351
Heston,entw,0.65,8.0,1.25,0.013907675434496891
Heston,entw,0.7000000000000001,8.0,1.25,0.011223358849125065
Heston,entw,0.75,8.0,1.25,0.009166991358269705
Heston,entw,0.8,8.0,1.25,0.007938714689482929
Heston,entw,0.8500000000000001,8.0,1.25,0.006072532727222635
Heston,entw,0.9,8.0,1.25,0.005606344031335864
Heston,entw,0.9500000000000001,8.0,1.25,0.0023423343350041925
Heston,entw,1.0,8.0,1.25,0.0
Heston,entw,0.0,8.4,1.1904761904761905,0.03365149792116906
Heston,entw,0.05,8.4,1.1904761904761905,0.03752091499540633
Heston,entw,0.1,8.4,1.1904761904761905,0.03721632458958979
Heston,entw,0.15000000000000002,8.4,1.1904761904761905,0.03490242180419778
Heston,entw,0.2,8.4,1.1904761904761905,0.0315595018666921
Heston,entw,0.25,8.4,1.1904761904761905,0.02818840152354496
Heston,entw,0.30000000000000004,8.4,1.1904761904761905,0.025873861909239793
Heston,entw,0.35000000000000003,8.4,1.1904761904761905,0.025840007175067292
Heston,entw,0.4,8.4,1.1904761904761905,0.023897878373815074
Heston,entw,0.45,8.4,1.1904761904761905,0.02252537169553981
Heston,entw,0.5,8.4,1.1904761904761905,0.08990608004432832
Heston,entw,0.55,8.4,1.1904761904761905,0.06761585608472309
Heston,entw,0.6000000000000001,8.4,1.1904761904761905,0.018411580680073536
Heston,entw,0.65,8.4,1.1904761904761905,0.018078447458051095
Heston,entw,0.7000000000000001,8.4,1.1904761904761905,0.013982831964812314
Heston,entw,0.75,8.4,1.1904761904761905,0.012131537719018093
Heston,entw,0.8,8.4,1.1904761904761905,0.010449933511376353
Heston,entw,0.8500000000000001,8.4,1.1904761904761905,0.008139764631077906
Heston,entw,0.9,8.4,1.1904761904761905,0.006690829885728888
Heston,entw,0.9500000000000001,8.4,1.1904761904761905,0.0022723057500944055
Heston,entw,1.0,8.4,1.1904761904761905,0.0
Heston,entw,0.0,8.8,1.1363636363636362,0.04340303248797306
Heston,entw,0.05,8.8,1.1363636363636362,0.04806473392792099
Heston,entw,0.1,8.8,1.1363636363636362,0.04749832610936888
Heston,entw,0.15000000000000002,8.8,1.1363636363636362,0.04394920631149368
Heston,entw,0.2,8.8,1.1363636363636362,0.04044253546186627
Heston,entw,0.25,8.8,1.1363636363636362,0.03682944668784427
Heston,entw,0.30000000000000004,8.8,1.1363636363636362,0.03365616409675898
Heston,entw,0.35000000000000003,8.8,1.1363636363636362,0.03337900574367669
Heston,entw,0.4,8.8,1.1363636363636362,0.031788460427084164
Heston,entw,0.45,8.8,1.1363636363636362,0.030530813141736557
Heston,entw,0.5,8.8,1.1363636363636362,1.941091890071439
Heston,entw,0.55,8.8,1.1363636363636362,0.25488833035353475
Heston,entw,0.6000000000000001,8.8,1.1363636363636362,0.023941228129218617
Heston,entw,0.65,8.8,1.1363636363636362,0.022794758888152966
Heston,entw,0.7000000000000001,8.8,1.1363636363636362,0.01737114412021845
Heston,entw,0.75,8.8,1.1363636363636362,0.015041237454450851
Heston,entw,0.8,8.8,1.1363636363636362,0.013435968846507107
Heston,entw,0.8500000000000001,8.8,1.1363636363636362,0.009813505200965578
Heston,entw,0.9,8.8,1.1363636363636362,0.008245000470630481
Heston,entw,0.9500000000000001,8.8,1.1363636363636362,0.0025556270038729068
Heston,entw,1.0,8.8,1.1363636363636362,0.0
Heston,entw,0.0,9.2,1.0869565217391306,0.05525971271782404
Heston,entw,0.05,9.2,1.0869565217391306,0.06080278566298736
Heston,entw,0.1,9.2,1.0869565217391306,0.0601922726965769
Heston,entw,0.15000000000000002,9.2,1.0869565217391306,0.05506006344691494
Heston,entw,0.2,9.2,1.0869565217391306,0.05133809790827604
Heston,entw,0.25,9.2,1.0869565217391306,0.04749005873369483
Heston,entw,0.30000000000000004,9.2,1.0869565217391306,0.043847822098215694
Heston,entw,0.35000000000000003,9.2,1.0869565217391306,0.04254922324123789
Heston,entw,0.4,9.2,1.0869565217391306,0.04155201027274025
Heston,entw,0.45,9.2,1.0869565217391306,0.04343870243658454
Heston,entw,0.5,9.2,1.0869565217391306,11.282558496566367
Heston,entw,0.55,9.2,1.0869565217391306,0.9716610783290172
Heston,entw,0.6000000000000001,9.2,1.0869565217391306,0.03152334056921968
Heston,entw,0.65,9.2,1.0869565217391306,0.02846948294235907
Heston,entw,0.7000000000000001,9.2,1.0869565217391306,0.022491394568135314
Heston,entw,0.75,9.2,1.0869565217391306,0.018378884002485663
Heston,entw,0.8,9.2,1.0869565217391306,0.01603211755991496
Heston,entw,0.8500000000000001,9.2,1.0869565217391306,0.012071999217777574
Heston,entw,0.9,9.2,1.0869565217391306,0.010655585368444687
Heston,entw,0.9500000000000001,9.2,1.0869565217391306,0.0030798980288646582
Heston,entw,1.0,9.2,1.0869565217391306,0.0
Heston,entw,0.0,9.6,1.0416666666666667,0.07010037179252593
Heston,entw,0.05,9.6,1.0416666666666667,0.07667432616433789
Heston,entw,0.1,9.6,1.0416666666666667,0.07607145679118577
Heston,entw,0.15000000000000002,9.6,1.0416666666666667,0.06894745902233201
Heston,entw,0.2,9.6,1.0416666666666667,0.06499061288987829
Heston,entw,0.25,9.6,1.0416666666666667,0.060536129684114925
Heston,entw,0.30000000000000004,9.6,1.0416666666666667,0.05625626124020022
Heston,entw,0.35000000000000003,9.6,1.0416666666666667,0.054654145510430574
Heston,entw,0.4,9.6,1.0416666666666667,0.05628983260910947
Heston,entw,0.45,9.6,1.0416666666666667,0.071033198920192
Heston,entw,0.5,9.6,1.0416666666666667,20.91364265816088
Heston,entw,0.55,9.6,1.0416666666666667,1.9777773730753765
Heston,entw,0.6000000000000001,9.6,1.0416666666666667,0.03911679276753266
Heston,entw,0.65,9.6,1.0416666666666667,0.03402219080549984
Heston,entw,0.7000000000000001,9.6,1.0416666666666667,0.028421444762916526
Heston,entw,0.75,9.6,1.0416666666666667,0.02207012296908073
Heston,entw,0.8,9.6,1.0416666666666667,0.018092113144177135
Heston,entw,0.8500000000000001,9.6,1.0416666666666667,0.014435715874263844
Heston,entw,0.9,9.6,1.0416666666666667,0.013619316124577674
Heston,entw,0.9500000000000001,9.6,1.0416666666666667,0.003431368206119334
Heston,entw,1.0,9.6,1.0416666666666667,0.0
Heston,entw,0.0,10.0,1.0,0.08713931926270413
Heston,entw,0.05,10.0,1.0,0.0962223461564875
Heston,entw,0.1,10.0,1.0,0.09531288004089711
Heston,entw,0.15000000000000002,10.0,1.0,0.08460747471847974
Heston,entw,0.2,10.0,1.0,0.08048353670998276
Heston,entw,0.25,10.0,1.0,0.07614232568345591
Heston,entw,0.30000000000000004,10.0,1.0,0.07140353465478277
Heston,entw,0.35000000000000003,10.0,1.0,0.07011860318015795
Heston,entw,0.4,10.0,1.0,0.07417835385353455
Heston,entw,0.45,10.0,1.0,0.15485964043616574
Heston,entw,0.5,10.0,1.0,31.05163422436987
Heston,entw,0.55,10.0,1.0,2.6137824501304645
Heston,entw,0.6000000000000001,10.0,1.0,0.04674849021210625
Heston,entw,0.65,10.0,1.0,0.040413647609817804
Heston,entw,0.7000000000000001,10.0,1.0,0.03424399378946186
Heston,entw,0.75,10.0,1.0,0.026618253183242402
Heston,entw,0.8,10.0,1.0,0.020105215910008134
Heston,entw,0.8500000000000001,10.0,1.0,0.01642255360688205
Heston,entw,0.9,10.0,1.0,0.014228140456874039
Heston,entw,0.9500000000000001,10.0,1.0,0.0040863335790413124
Heston,entw,1.0,10.0,1.0,0.0
Heston,entw,0.0,10.4,0.9615384615384615,0.10817364390700535
Heston,entw,0.05,10.4,0.9615384615384615,0.11536751499142572
Heston,entw,0.1,10.4,0.9615384615384615,0.11306614519962244
Heston,entw,0.15000000000000002,10.4,0.9615384615384615,0.10158697930709604
Heston,entw,0.2,10.4,0.9615384615384615,0.09713598945058788
Heston,entw,0.25,10.4,0.9615384615384615,0.09115163054979059
Heston,entw,0.30000000000000004,10.4,0.9615384615384615,0.08633496402000773
Heston,entw,0.35000000000000003,10.4,0.9615384615384615,0.08454106208362777
Heston,entw,0.4,10.4,0.9615384615384615,0.09462144892620183
Heston,entw,0.45,10.4,0.9615384615384615,0.5140232820211454
Heston,entw,0.5,10.4,0.9615384615384615,54.608418448355366
Heston,entw,0.55,10.4,0.9615384615384615,2.3938555317019308
Heston,entw,0.6000000000000001,10.4,0.9615384615384615,0.0533389766062331
Heston,entw,0.65,10.4,0.9615384615384615,0.046672778347676136
Heston,entw,0.7000000000000001,10.4,0.9615384615384615,0.04106300830918652
Heston,entw,0.75,10.4,0.9615384615384615,0.03041354826164877
Heston,entw,0.8,10.4,0.9615384615384615,0.02233784581755116
Heston,entw,0.8500000000000001,10.4,0.9615384615384615,0.017901804780483532
Heston,entw,0.9,10.4,0.9615384615384615,0.014187227403645863
Heston,entw,0.9500000000000001,10.4,0.9615384615384615,0.0048279283861834
Heston,entw,1.0,10.4,0.9615384615384615,0.0
Heston,entw,0.0,10.8,0.9259259259259258,0.12709345255101812
Heston,entw,0.05,10.8,0.9259259259259258,0.13316380380143045
Heston,entw,0.1,10.8,0.9259259259259258,0.13086072196619325
Heston,entw,0.15000000000000002,10.8,0.9259259259259258,0.11711796482984682
Heston,entw,0.2,10.8,0.9259259259259258,0.11202267210502392
Heston,entw,0.25,10.8,0.9259259259259258,0.10611074372072093
Heston,entw,0.30000000000000004,10.8,0.9259259259259258,0.10068201867786475
Heston,entw,0.35000000000000003,10.8,0.9259259259259258,0.09795836015218518
Heston,entw,0.4,10.8,0.9259259259259258,0.12173248659550806
Heston,entw,0.45,10.8,0.9259259259259258,5.243845442882547
Heston,entw,0.5,10.8,0.9259259259259258,58.99233249684423
Heston,entw,0.55,10.8,0.9259259259259258,1.3707293504641616
Heston,entw,0.6000000000000001,10.8,0.9259259259259258,0.058742566560948895
Heston,entw,0.65,10.8,0.9259259259259258,0.05322034697505629
Heston,entw,0.7000000000000001,10.8,0.9259259259259258,0.047766965361510705
Heston,entw,0.75,10.8,0.9259259259259258,0.03296280538520402
Heston,entw,0.8,10.8,0.9259259259259258,0.02407398592274279
Heston,entw,0.8500000000000001,10.8,0.9259259259259258,0.019487913612462382
Heston,entw,0.9,10.8,0.9259259259259258,0.014604166425508769
Heston,entw,0.9500000000000001,10.8,0.9259259259259258,0.005739397476026031
Heston,entw,1.0,10.8,0.9259259259259258,0.0
Heston,entw,0.0,11.2,0.8928571428571429,0.13797694387373127
Heston,entw,0.05,11.2,0.8928571428571429,0.14346587093936902
Heston,entw,0.1,11.2,0.8928571428571429,0.14188951554308749
Heston,entw,0.15000000000000002,11.2,0.8928571428571429,0.127468558035297
Heston,entw,0.2,11.2,0.8928571428571429,0.1224709152224972
Heston,entw,0.25,11.2,0.8928571428571429,0.11725981890348192
Heston,entw,0.30000000000000004,11.2,0.8928571428571429,0.11192892733440929
Heston,entw,0.35000000000000003,11.2,0.8928571428571429,0.10960974571165205
Heston,entw,0.4,11.2,0.8928571428571429,0.1508956828045207
Heston,entw,0.45,11.2,0.8928571428571429,8.311237100533218
Heston,entw,0.5,11.2,0.8928571428571429,53.12818850063554
Heston,entw,0.55,11.2,0.8928571428571429,0.45352902171353415
Heston,entw,0.6000000000000001,11.2,0.8928571428571429,0.06231435668718799
Heston,entw,0.65,11.2,0.8928571428571429,0.06000388109396293
Heston,entw,0.7000000000000001,11.2,0.8928571428571429,0.06073368847198446
Heston,entw,0.75,11.2,0.8928571428571429,0.037118482724662005
Heston,entw,0.8,11.2,0.8928571428571429,0.02525997477604336
Heston,entw,0.8500000000000001,11.2,0.8928571428571429,0.020768126787988228
Heston,entw,0.9,11.2,0.8928571428571429,0.0157467263313793
Heston,entw,0.9500000000000001,11.2,0.8928571428571429,0.007013082904840262
Heston,entw,1.0,11.2,0.8928571428571429,0.0
Heston,entw,0.0,11.6,0.8620689655172414,0.13884913498920692
Heston,entw,0.05,11.6,0.8620689655172414,0.1450669950743093
Heston,entw,0.1,11.6,0.8620689655172414,0.14558817371873034
Heston,entw,0.15000000000000002,11.6,0.8620689655172414,0.1325113541766667
Heston,entw,0.2,11.6,0.8620689655172414,0.12841828312220316
Heston,entw,0.25,11.6,0.8620689655172414,0.1251655443852746
Heston,entw,0.30000000000000004,11.6,0.8620689655172414,0.12171085889848765
Heston,entw,0.35000000000000003,11.6,0.8620689655172414,0.1180584514891001
Heston,entw,0.4,11.6,0.8620689655172414,0.18074725651758294
Heston,entw,0.45,11.6,0.8620689655172414,10.35045741240411
Heston,entw,0.5,11.6,0.8620689655172414,29.071133828360544
