model,risk_type,t,K,moneyness,MR
Heston,esl,0.0,8.0,1.25,0.6248911706666738
Heston,esl,0.05,8.0,1.25,0.6348022973292461
Heston,esl,0.1,8.0,1.25,0.6308023403308548
Heston,esl,0.15000000000000002,8.0,1.25,0.6231731076848731
Heston,esl,0.2,8.0,1.25,0.6047765454375664
Heston,esl,0.25,8.0,1.25,0.5743431442428032
Heston,esl,0.30000000000000004,8.0,1.25,0.5605862444645806
Heston,esl,0.35000000000000003,8.0,1.25,0.573757848207007
Heston,esl,0.4,8.0,1.25,0.5557464726603489
Heston,esl,0.45,8.0,1.25,0.5303622886796862
Heston,esl,0.5,8.0,1.25,0.5268188402608573
Heston,esl,0.55,8.0,1.25,0.49116633365038603
Heston,esl,0.6000000000000001,8.0,1.25,0.4576703799532418
Heston,esl,0.65,8.0,1.25,0.44530370038171774
Heston,esl,0.7000000000000001,8.0,1.25,0.4201198279580375
Heston,esl,0.75,8.0,1.25,0.39378951188320416
Heston,esl,0.8,8.0,1.25,0.3495912275080945
Heston,esl,0.8500000000000001,8.0,1.25,0.33253888484227456
Heston,esl,0.9,8.0,1.25,0.30223630845725985
Heston,esl,0.9500000000000001,8.0,1.25,0.18753411042207976
Heston,esl,1.0,8.0,1.25,0.0
Heston,esl,0.0,8.4,1.1904761904761905,0.6611071984858748
Heston,esl,0.05,8.4,1.1904761904761905,0.6700546782598857
Heston,esl,0.1,8.4,1.1904761904761905,0.6698279278846107
Heston,esl,0.15000000000000002,8.4,1.1904761904761905,0.6559961526155295
Heston,esl,0.2,8.4,1.1904761904761905,0.6385957000199243
Heston,esl,0.25,8.4,1.1904761904761905,0.6102825663851812
Heston,esl,0.30000000000000004,8.4,1.1904761904761905,0.5972081688219598
Heston,esl,0.35000000000000003,8.4,1.1904761904761905,0.6094077305105519
Heston,esl,0.4,8.4,1.1904761904761905,0.5939185632693567
Heston,esl,0.45,8.4,1.1904761904761905,0.5693939462943534
Heston,esl,0.5,8.4,1.1904761904761905,0.5645010264539838
Heston,esl,0.55,8.4,1.1904761904761905,0.5291901287020839
Heston,esl,0.6000000000000001,8.4,1.1904761904761905,0.498007908928509
Heston,esl,0.65,8.4,1.1904761904761905,0.4820004968545274
Heston,esl,0.7000000000000001,8.4,1.1904761904761905,0.440809371905736
Heston,esl,0.75,8.4,1.1904761904761905,0.4234898290523229
Heston,esl,0.8,8.4,1.1904761904761905,0.36774182637800223
Heston,esl,0.8500000000000001,8.4,1.1904761904761905,0.3471989612006902
Heston,esl,0.9,8.4,1.1904761904761905,0.31597568449715296
Heston,esl,0.9500000000000001,8.4,1.1904761904761905,0.18815243425302416
Heston,esl,1.0,8.4,1.1904761904761905,0.0
Heston,esl,0.0,8.8,1.1363636363636362,0.796623706507884
Heston,esl,0.05,8.8,1.1363636363636362,0.6989885753965641
Heston,esl,0.1,8.8,1.1363636363636362,0.6986771233093745
Heston,esl,0.15000000000000002,8.8,1.1363636363636362,0.7868370141171082
