model,risk_type,t,K,moneyness,MR
Jump,ele,0.0,8.0,1.25,-0.34066063364290244
Jump,ele,0.05,8.0,1.25,-0.3191201487762856
Jump,ele,0.1,8.0,1.25,-0.29661376273704465
Jump,ele,0.15000000000000002,8.0,1.25,-0.27488256248205767
Jump,ele,0.2,8.0,1.25,-0.25120010313879426
Jump,ele,0.25,8.0,1.25,-0.22953541167283065
Jump,ele,0.30000000000000004,8.0,1.25,-0.209996669011267
Jump,ele,0.35000000000000003,8.0,1.25,-0.1889301366285635
Jump,ele,0.4,8.0,1.25,-0.17017064363258083
Jump,ele,0.45,8.0,1.25,-0.1516055508936589
Jump,ele,0.5,8.0,1.25,-0.13673887120552453
Jump,ele,0.55,8.0,1.25,-0.11841363342667788
Jump,ele,0.6000000000000001,8.0,1.25,-0.10352366106359834
Jump,ele,0.65,8.0,1.25,-0.08993727390400064
Jump,ele,0.7000000000000001,8.0,1.25,-0.07356027521360897
Jump,ele,0.75,8.0,1.25,-0.059598144691639376
Jump,ele,0.8,8.0,1.25,-0.04652874853103239
Jump,ele,0.8500000000000001,8.0,1.25,-0.0328350429535611
Jump,ele,0.9,8.0,1.25,-0.021869446755890087
Jump,ele,0.9500000000000001,8.0,1.25,-0.00975410790621567
Jump,ele,1.0,8.0,1.25,0.0
Jump,ele,0.0,8.4,1.1904761904761905,-0.321581678652347
Jump,ele,0.05,8.4,1.1904761904761905,-0.30069287361552144
Jump,ele,0.1,8.4,1.1904761904761905,-0.27918841042711073
Jump,ele,0.15000000000000002,8.4,1.1904761904761905,-0.25808386818653173
Jump,ele,0.2,8.4,1.1904761904761905,-0.23533119049106788
Jump,ele,0.25,8.4,1.1904761904761905,-0.21477242387013484
Jump,ele,0.30000000000000004,8.4,1.1904761904761905,-0.19587755705194165
Jump,ele,0.35000000000000003,8.4,1.1904761904761905,-0.17538177055379633
Jump,ele,0.4,8.4,1.1904761904761905,-0.15719004073470977
Jump,ele,0.45,8.4,1.1904761904761905,-0.1393082616180079
Jump,ele,0.5,8.4,1.1904761904761905,-0.12521036647911366
Jump,ele,0.55,8.4,1.1904761904761905,-0.10784201443576058
