model,risk_type,t,K,moneyness,MR
Jump,elw,0.0,8.0,1.25,0.004740085928639726
Jump,elw,0.05,8.0,1.25,0.005513013678292378
Jump,elw,0.1,8.0,1.25,0.006331845377668399
Jump,elw,0.15000000000000002,8.0,1.25,0.007300680330672327
Jump,elw,0.2,8.0,1.25,0.008271577429455057
Jump,elw,0.25,8.0,1.25,0.009134145093864454
Jump,elw,0.30000000000000004,8.0,1.25,0.009428127813338794
Jump,elw,0.35000000000000003,8.0,1.25,0.010032651671064485
Jump,elw,0.4,8.0,1.25,0.010896706178039173
Jump,elw,0.45,8.0,1.25,0.011775733818166545
Jump,elw,0.5,8.0,1.25,0.007662425512124482
Jump,elw,0.55,8.0,1.25,0.008355836224843483
Jump,elw,0.6000000000000001,8.0,1.25,0.006135261942039616
Jump,elw,0.65,8.0,1.25,0.004038744988867027
Jump,elw,0.7000000000000001,8.0,1.25,0.004089813571971135
Jump,elw,0.75,8.0,1.25,0.0033486581752202316
Jump,elw,0.8,8.0,1.25,0.0033794774146358453
Jump,elw,0.8500000000000001,8.0,1.25,0.0024377853482489
Jump,elw,0.9,8.0,1.25,0.0013131685044591723
Jump,elw,0.9500000000000001,8.0,1.25,0.0006290694883694936
Jump,elw,1.0,8.0,1.25,0.0
Jump,elw,0.0,8.4,1.1904761904761905,0.006974560299952914
Jump,elw,0.05,8.4,1.1904761904761905,0.007882757792832429
Jump,elw,0.1,8.4,1.1904761904761905,0.008863173503327548
Jump,elw,0.15000000000000002,8.4,1.1904761904761905,0.010036259169657669
Jump,elw,0.2,8.4,1.1904761904761905,0.011236666713095644
Jump,elw,0.25,8.4,1.1904761904761905,0.012283699654714209
Jump,elw,0.30000000000000004,8.4,1.1904761904761905,0.012795253992955669
Jump,elw,0.35000000000000003,8.4,1.1904761904761905,0.01391320803155427
Jump,elw,0.4,8.4,1.1904761904761905,0.015362432052352437
Jump,elw,0.45,8.4,1.1904761904761905,0.016876724163332524
Jump,elw,0.5,8.4,1.1904761904761905,0.011829125421171982
Jump,elw,0.55,8.4,1.1904761904761905,0.013037404376012862
Jump,elw,0.6000000000000001,8.4,1.1904761904761905,0.00814727629284473
Jump,elw,0.65,8.4,1.1904761904761905,0.005088896067747983
Jump,elw,0.7000000000000001,8.4,1.1904761904761905,0.0056272226005507076
Jump,elw,0.75,8.4,1.1904761904761905,0.004674223134695454
Jump,elw,0.8,8.4,1.1904761904761905,0.00446486777304389
Jump,elw,0.8500000000000001,8.4,1.1904761904761905,0.003169186884669495
Jump,elw,0.9,8.4,1.1904761904761905,0.0019249544765242987
Jump,elw,0.9500000000000001,8.4,1.1904761904761905,0.0007798895628219338
Jump,elw,1.0,8.4,1.1904761904761905,0.0
Jump,elw,0.0,8.8,1.1363636363636362,0.013059208894141694
Jump,elw,0.05,8.8,1.1363636363636362,0.014458567607732009
Jump,elw,0.1,8.8,1.1363636363636362,0.01606958055380514
Jump,elw,0.15000000000000002,8.8,1.1363636363636362,0.01793454821693663
Jump,elw,0.2,8.8,1.1363636363636362,0.01966140265140126
Jump,elw,0.25,8.8,1.1363636363636362,0.021233819278072774
Jump,elw,0.30000000000000004,8.8,1.1363636363636362,0.022542699466727933
Jump,elw,0.35000000000000003,8.8,1.1363636363636362,0.024710874724544807
Jump,elw,0.4,8.8,1.1363636363636362,0.02712173412672736
Jump,elw,0.45,8.8,1.1363636363636362,0.029878829021227737
Jump,elw,0.5,8.8,1.1363636363636362,0.017905043151106526
Jump,elw,0.55,8.8,1.1363636363636362,0.019708915132157445
Jump,elw,0.6000000000000001,8.8,1.1363636363636362,0.011264847380866305
Jump,elw,0.65,8.8,1.1363636363636362,0.007218073044965356
