model,risk_type,t,K,moneyness,MR
Jump,ente,0.0,8.0,1.25,-0.31899567999680467
Jump,ente,0.05,8.0,1.25,-0.29573205278376125
Jump,ente,0.1,8.0,1.25,-0.2715803419240991
Jump,ente,0.15000000000000002,8.0,1.25,-0.24806777670948743
Jump,ente,0.2,8.0,1.25,-0.22317952808421337
Jump,ente,0.25,8.0,1.25,-0.20033639429860783
Jump,ente,0.30000000000000004,8.0,1.25,-0.18108712284094275
Jump,ente,0.35000000000000003,8.0,1.25,-0.1596263512613444
Jump,ente,0.4,8.0,1.25,-0.13959015942684438
Jump,ente,0.45,8.0,1.25,-0.11980114819414134
Jump,ente,0.5,8.0,1.25,-0.11710096558561045
Jump,ente,0.55,8.0,1.25,-0.09787827880067146
Jump,ente,0.6000000000000001,8.0,1.25,-0.09046565577714227
Jump,ente,0.65,8.0,1.25,-0.0820902562662239
Jump,ente,0.7000000000000001,8.0,1.25,-0.06661996456793273
Jump,ente,0.75,8.0,1.25,-0.05407999405601738
Jump,ente,0.8,8.0,1.25,-0.041598999972135564
Jump,ente,0.8500000000000001,8.0,1.25,-0.02974325388015453
Jump,ente,0.9,8.0,1.25,-0.020246065911388
Jump,ente,0.9500000000000001,8.0,1.25,-0.009067528081966203
Jump,ente,1.0,8.0,1.25,0.0
Jump,ente,0.0,8.4,1.1904761904761905,-0.2913292357597186
Jump,ente,0.05,8.4,1.1904761904761905,-0.2682836979286407
Jump,ente,0.1,8.4,1.1904761904761905,-0.24461020355821572
Jump,ente,0.15000000000000002,8.4,1.1904761904761905,-0.22113525552008284
Jump,ente,0.2,8.4,1.1904761904761905,-0.19677028797252505
Jump,ente,0.25,8.4,1.1904761904761905,-0.17448268573828807
Jump,ente,0.30000000000000004,8.4,1.1904761904761905,-0.1547995889822924
Jump,ente,0.35000000000000003,8.4,1.1904761904761905,-0.13253032147802501
Jump,ente,0.4,8.4,1.1904761904761905,-0.11153151851718324
Jump,ente,0.45,8.4,1.1904761904761905,-0.09079973551976372
Jump,ente,0.5,8.4,1.1904761904761905,-0.09309790769425297
Jump,ente,0.55,8.4,1.1904761904761905,-0.07287523300529974
Jump,ente,0.6000000000000001,8.4,1.1904761904761905,-0.0773065047472149
Jump,ente,0.65,8.4,1.1904761904761905,-0.07305901925266511
Jump,ente,0.7000000000000001,8.4,1.1904761904761905,-0.05711796462478602
Jump,ente,0.75,8.4,1.1904761904761905,-0.045911050271491005
Jump,ente,0.8,8.4,1.1904761904761905,-0.034992743594250864
Jump,ente,0.8500000000000001,8.4,1.1904761904761905,-0.02481385602471753
Jump,ente,0.9,8.4,1.1904761904761905,-0.0169663738311282
Jump,ente,0.9500000000000001,8.4,1.1904761904761905,-0.007569619239863323
Jump,ente,1.0,8.4,1.1904761904761905,0.0
Jump,ente,0.0,8.8,1.1363636363636362,-0.24051366487534354
Jump,ente,0.05,8.8,1.1363636363636362,-0.2162982076988722
Jump,ente,0.1,8.8,1.1363636363636362,-0.1912039446622481
Jump,ente,0.15000000000000002,8.8,1.1363636363636362,-0.16557911782789902
Jump,ente,0.2,8.8,1.1363636363636362,-0.14006396929622789
Jump,ente,0.25,8.8,1.1363636363636362,-0.11618915521685491
Jump,ente,0.30000000000000004,8.8,1.1363636363636362,-0.09343328620846247
Jump,ente,0.35000000000000003,8.8,1.1363636363636362,-0.0674063951308782
Jump,ente,0.4,8.8,1.1363636363636362,-0.042682584778919286
Jump,ente,0.45,8.8,1.1363636363636362,-0.016685478707506363
Jump,ente,0.5,8.8,1.1363636363636362,-0.055580898126793676
