model,risk_type,t,K,moneyness,MR
Jump,entl,0.0,8.0,1.25,-0.4165169053217471
Jump,entl,0.05,8.0,1.25,-0.3843694183193435
Jump,entl,0.1,8.0,1.25,-0.35184912515165323
Jump,entl,0.15000000000000002,8.0,1.25,-0.32142165446189247
Jump,entl,0.2,8.0,1.25,-0.2892834915575422
Jump,entl,0.25,8.0,1.25,-0.2607615846198986
Jump,entl,0.30000000000000004,8.0,1.25,-0.23571811708852713
Jump,entl,0.35000000000000003,8.0,1.25,-0.209401083852634
Jump,entl,0.4,8.0,1.25,-0.18653519406703936
Jump,entl,0.45,8.0,1.25,-0.16440959909196262
Jump,entl,0.5,8.0,1.25,-0.14703805105522652
Jump,entl,0.55,8.0,1.25,-0.1260323051162643
Jump,entl,0.6000000000000001,8.0,1.25,-0.10928337899422129
Jump,entl,0.65,8.0,1.25,-0.09424175207096593
Jump,entl,0.7000000000000001,8.0,1.25,-0.07640629226843695
Jump,entl,0.75,8.0,1.25,-0.06144798942539906
Jump,entl,0.8,8.0,1.25,-0.04764600492691023
Jump,entl,0.8500000000000001,8.0,1.25,-0.033386211679489575
Jump,entl,0.9,8.0,1.25,-0.022112127831667962
Jump,entl,0.9500000000000001,8.0,1.25,-0.00980199084136951
Jump,entl,1.0,8.0,1.25,0.0
Jump,entl,0.0,8.4,1.1904761904761905,-0.3879911881656258
Jump,entl,0.05,8.4,1.1904761904761905,-0.35766525358425133
Jump,entl,0.1,8.4,1.1904761904761905,-0.32737749405355543
Jump,entl,0.15000000000000002,8.4,1.1904761904761905,-0.2985190721041073
Jump,entl,0.2,8.4,1.1904761904761905,-0.2683124676428043
Jump,entl,0.25,8.4,1.1904761904761905,-0.2417816973164083
Jump,entl,0.30000000000000004,8.4,1.1904761904761905,-0.21800372917450336
Jump,entl,0.35000000000000003,8.4,1.1904761904761905,-0.192834751936713
Jump,entl,0.4,8.4,1.1904761904761905,-0.17101378024331612
Jump,entl,0.45,8.4,1.1904761904761905,-0.15001886609243315
Jump,entl,0.5,8.4,1.1904761904761905,-0.13377184036303683
Jump,entl,0.55,8.4,1.1904761904761905,-0.11411204822368116
Jump,entl,0.6000000000000001,8.4,1.1904761904761905,-0.09970861380067941
Jump,entl,0.65,8.4,1.1904761904761905,-0.08603323961516654
Jump,entl,0.7000000000000001,8.4,1.1904761904761905,-0.06836661349749636
Jump,entl,0.75,8.4,1.1904761904761905,-0.054622815720311683
Jump,entl,0.8,8.4,1.1904761904761905,-0.042099836633890976
Jump,entl,0.8500000000000001,8.4,1.1904761904761905,-0.029203988626288254
Jump,entl,0.9,8.4,1.1904761904761905,-0.019522272244939222
Jump,entl,0.9500000000000001,8.4,1.1904761904761905,-0.008361545504233361
Jump,entl,1.0,8.4,1.1904761904761905,0.0
Jump,entl,0.0,8.8,1.1363636363636362,-0.350704119841723
Jump,entl,0.05,8.8,1.1363636363636362,-0.32225114353260964
Jump,entl,0.1,8.8,1.1363636363636362,-0.29414088648405606
Jump,entl,0.15000000000000002,8.8,1.1363636363636362,-0.2669262132573959
Jump,entl,0.2,8.8,1.1363636363636362,-0.23878081303909052
Jump,entl,0.25,8.8,1.1363636363636362,-0.214247156029561
Jump,entl,0.30000000000000004,8.8,1.1363636363636362,-0.19174288248379467
Jump,entl,0.35000000000000003,8.8,1.1363636363636362,-0.16786598643473347
Jump,entl,0.4,8.8,1.1363636363636362,-0.1472767114968358
Jump,entl,0.45,8.8,1.1363636363636362,-0.1274788690160525
Jump,entl,0.5,8.8,1.1363636363636362,-0.11349373782989945
Jump,entl,0.55,8.8,1.1363636363636362,-0.09574019873538646
Jump,entl,0.6000000000000001,8.8,1.1363636363636362,-0.08354394964771512
Jump,entl,0.65,8.8,1.1363636363636362,-0.07167202733879234
Jump,entl,0.7000000000000001,8.8,1.1363636363636362,-0.055923809352077046
Jump,entl,0.75,8.8,1.1363636363636362,-0.04387964052926023
Jump,entl,0.8,8.8,1.1363636363636362,-0.03359854400829255
Jump,entl,0.8500000000000001,8.8,1.1363636363636362,-0.023670449829758296
Jump,entl,0.9,8.8,1.1363636363636362,-0.014657302843485567
Jump,entl,0.9500000000000001,8.8,1.1363636363636362,-0.007298698999978054
Jump,entl,1.0,8.8,1.1363636363636362,0.0
Jump,entl,0.0,9.2,1.0869565217391306,-0.3041525840804248
Jump,entl,0.05,9.2,1.0869565217391306,-0.27740221076474464
Jump,entl,0.1,9.2,1.0869565217391306,-0.25119479583941307
Jump,entl,0.15000000000000002,9.2,1.0869565217391306,-0.22555384198627823
Jump,entl,0.2,9.2,1.0869565217391306,-0.1993094466461569
Jump,entl,0.25,9.2,1.0869565217391306,-0.1765821257133843
