model,risk_type,t,K,moneyness,MR
Jump,entw,0.0,8.0,1.25,0.00759169324390907
Jump,entw,0.05,8.0,1.25,0.009237047127621745
Jump,entw,0.1,8.0,1.25,0.011158876475405366
Jump,entw,0.15000000000000002,8.0,1.25,0.013518427830734536
Jump,entw,0.2,8.0,1.25,0.016169232564827496
Jump,entw,0.25,8.0,1.25,0.019050292078333753
Jump,entw,0.30000000000000004,8.0,1.25,0.02186197299398218
Jump,entw,0.35000000000000003,8.0,1.25,0.025970004742340347
Jump,entw,0.4,8.0,1.25,0.03165875657229411
Jump,entw,0.45,8.0,1.25,0.04029841133427392
Jump,entw,0.5,8.0,1.25,0.01994524991067248
Jump,entw,0.55,8.0,1.25,0.025070185698238268
Jump,entw,0.6000000000000001,8.0,1.25,0.009045512074316031
Jump,entw,0.65,8.0,1.25,0.004291087771545632
Jump,entw,0.7000000000000001,8.0,1.25,0.004395386987446903
Jump,entw,0.75,8.0,1.25,0.0035667990878864853
Jump,entw,0.8,8.0,1.25,0.0035994819245011023
Jump,entw,0.8500000000000001,8.0,1.25,0.002528299041168358
Jump,entw,0.9,8.0,1.25,0.001394571495396013
Jump,entw,0.9500000000000001,8.0,1.25,0.0006520924665354144
Jump,entw,1.0,8.0,1.25,0.0
Jump,entw,0.0,8.4,1.1904761904761905,0.017196698620902895
Jump,entw,0.05,8.4,1.1904761904761905,0.021366543440593855
Jump,entw,0.1,8.4,1.1904761904761905,0.02648762405737437
Jump,entw,0.15000000000000002,8.4,1.1904761904761905,0.03343799081390064
Jump,entw,0.2,8.4,1.1904761904761905,0.04156740124014169
Jump,entw,0.25,8.4,1.1904761904761905,0.05240663045280769
Jump,entw,0.30000000000000004,8.4,1.1904761904761905,0.06813552351691698
Jump,entw,0.35000000000000003,8.4,1.1904761904761905,0.09030538412175515
Jump,entw,0.4,8.4,1.1904761904761905,0.12099675588047787
Jump,entw,0.45,8.4,1.1904761904761905,0.17602235344860162
Jump,entw,0.5,8.4,1.1904761904761905,0.1227382103576562
Jump,entw,0.55,8.4,1.1904761904761905,0.19968681504317165
Jump,entw,0.6000000000000001,8.4,1.1904761904761905,0.0173626069510604
Jump,entw,0.65,8.4,1.1904761904761905,0.005435123152644383
Jump,entw,0.7000000000000001,8.4,1.1904761904761905,0.006129238627310185
Jump,entw,0.75,8.4,1.1904761904761905,0.005062615114448832
Jump,entw,0.8,8.4,1.1904761904761905,0.004822374256489681
Jump,entw,0.8500000000000001,8.4,1.1904761904761905,0.003450166689530132
Jump,entw,0.9,8.4,1.1904761904761905,0.0021469893966019615
