model,risk_type,t,K,moneyness,MR
Jump,esl,0.0,8.0,1.25,0.25308218045226477
Jump,esl,0.05,8.0,1.25,0.28424360497900997
Jump,esl,0.1,8.0,1.25,0.3159075086196034
Jump,esl,0.15000000000000002,8.0,1.25,0.34341760825545403
Jump,esl,0.2,8.0,1.25,0.3671947319500475
Jump,esl,0.25,8.0,1.25,0.3864862562731298
Jump,esl,0.30000000000000004,8.0,1.25,0.3879869105921474
Jump,esl,0.35000000000000003,8.0,1.25,0.3946397029940574
Jump,esl,0.4,8.0,1.25,0.3970192270054722
Jump,esl,0.45,8.0,1.25,0.3946304324470894
Jump,esl,0.5,8.0,1.25,0.3577372906823104
Jump,esl,0.55,8.0,1.25,0.35597702571992274
Jump,esl,0.6000000000000001,8.0,1.25,0.3332522929435474
Jump,esl,0.65,8.0,1.25,0.3019486370603559
Jump,esl,0.7000000000000001,8.0,1.25,0.27809191789012044
Jump,esl,0.75,8.0,1.25,0.24669664813846154
Jump,esl,0.8,8.0,1.25,0.21995362259599388
Jump,esl,0.8500000000000001,8.0,1.25,0.1872393627857834
Jump,esl,0.9,8.0,1.25,0.1327785803195693
Jump,esl,0.9500000000000001,8.0,1.25,0.08736583511368559
Jump,esl,1.0,8.0,1.25,0.0
Jump,esl,0.0,8.4,1.1904761904761905,0.31118377833843397
Jump,esl,0.05,8.4,1.1904761904761905,0.3154457645894131
Jump,esl,0.1,8.4,1.1904761904761905,0.34447031877865475
Jump,esl,0.15000000000000002,8.4,1.1904761904761905,0.3688810583696732
Jump,esl,0.2,8.4,1.1904761904761905,0.39363946268368216
Jump,esl,0.25,8.4,1.1904761904761905,0.40083506932984037
Jump,esl,0.30000000000000004,8.4,1.1904761904761905,0.4019179584194661
Jump,esl,0.35000000000000003,8.4,1.1904761904761905,0.4070171930270342
Jump,esl,0.4,8.4,1.1904761904761905,0.4139024184831289
Jump,esl,0.45,8.4,1.1904761904761905,0.4181565638696835
Jump,esl,0.5,8.4,1.1904761904761905,0.38058235324387846
Jump,esl,0.55,8.4,1.1904761904761905,0.3855162717580546
Jump,esl,0.6000000000000001,8.4,1.1904761904761905,0.3515771110171411
Jump,esl,0.65,8.4,1.1904761904761905,0.3175528260787419
Jump,esl,0.7000000000000001,8.4,1.1904761904761905,0.30982362932263974
Jump,esl,0.75,8.4,1.1904761904761905,0.2794194842872165
Jump,esl,0.8,8.4,1.1904761904761905,0.2504459013911177
Jump,esl,0.8500000000000001,8.4,1.1904761904761905,0.21257963857336765
Jump,esl,0.9,8.4,1.1904761904761905,0.15310214081179235
Jump,esl,0.9500000000000001,8.4,1.1904761904761905,0.10379640511853763
Jump,esl,1.0,8.4,1.1904761904761905,0.0
Jump,esl,0.0,8.8,1.1363636363636362,0.35048498684299956
Jump,esl,0.05,8.8,1.1363636363636362,0.3696371187148972
Jump,esl,0.1,8.8,1.1363636363636362,0.3951282725593255
Jump,esl,0.15000000000000002,8.8,1.1363636363636362,0.4168694489057305
Jump,esl,0.2,8.8,1.1363636363636362,0.4311934297518343
Jump,esl,0.25,8.8,1.1363636363636362,0.43214764543169054
Jump,esl,0.30000000000000004,8.8,1.1363636363636362,0.43390992352195235
Jump,esl,0.35000000000000003,8.8,1.1363636363636362,0.4416779894805559
Jump,esl,0.4,8.8,1.1363636363636362,0.4507117171627588
Jump,esl,0.45,8.8,1.1363636363636362,0.4595366335142077
Jump,esl,0.5,8.8,1.1363636363636362,0.4186681099062123
Jump,esl,0.55,8.8,1.1363636363636362,0.416447623047523
Jump,esl,0.6000000000000001,8.8,1.1363636363636362,0.3815189034208108
Jump,esl,0.65,8.8,1.1363636363636362,0.34748049790894076
Jump,esl,0.7000000000000001,8.8,1.1363636363636362,0.333907023773158
Jump,esl,0.75,8.8,1.1363636363636362,0.3071549091848028
Jump,esl,0.8,8.8,1.1363636363636362,0.27760498111175524
Jump,esl,0.8500000000000001,8.8,1.1363636363636362,0.22607087979324128
Jump,esl,0.9,8.8,1.1363636363636362,0.1708154507620297
Jump,esl,0.9500000000000001,8.8,1.1363636363636362,0.10246206980747563
Jump,esl,1.0,8.8,1.1363636363636362,0.0
Jump,esl,0.0,9.2,1.0869565217391306,0.43640138093016256
Jump,esl,0.05,9.2,1.0869565217391306,0.45277110462666476
Jump,esl,0.1,9.2,1.0869565217391306,0.46690067017062514
Jump,esl,0.15000000000000002,9.2,1.0869565217391306,0.48860599709063945
Jump,esl,0.2,9.2,1.0869565217391306,0.4953710265866479
Jump,esl,0.25,9.2,1.0869565217391306,0.4897652983364241
